title,company_name,location,via,thumbnail,extensions,description,job_id,posted_at,schedule_type,salary,date_time,search_term,search_location,work_from_home
"Quantitative Researcher - APAC Options Market Making (Top-Tier Global Hedge Fund) | Hong Kong, HK | In-Office",BAH Partners,Hong Kong,EFinancialCareers,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acdea69b1664d2b7594554d8356e6de841a9212ef585be0097d7.jpeg,"['4 days ago', 'Full-time']","Hong Kong or Sydney | Full-Time | Competitive Package + Relocation Support

The Position:
We're seeking an analytical mind to join the quantitative research team at a premier global buyside firm, focusing on APAC options market-making strategies. This is a research-focused role specialising in pricing, risk management, and execution optimisation - distinct from alpha generation.

Core Responsibilities:
• Develop and enhance market-making models for APAC options markets (India/China/Hong Kong focus)
• Conduct microstructure research to optimise execution strategies
• Refine pricing and hedging frameworks for index options (primary focus)
• Analyse order flow dynamics and liquidity patterns
• Implement statistical models for inventory risk management

Technical Requirements:
• Advanced degree in Mathematics, Physics, or a related quantitative field
• 3+ years of experience in options market-making research
• Expertise in stochastic calculus, probability theory, and numerical methods
• Strong Python skills (NumPy/SciPy/Pandas) for quantitative modelling
• Familiarity with volatility surface modelling and arbitrage-free pricing
• Knowledge of APAC derivatives market structure (India/China/Hong Kong)

If you are interested in this exciting opportunity or would like to explore other roles, please send your detailed resume to katie.huang@bahpartners.com or call +852 2544 4200 for a confidential discussion.

About BAH Partners: BAH Partners is the leading supplier of top technology talent to Asia Pacific’s premier technology-driven organisations across the banking, trading, FinTech, and e-commerce sectors.

Explore More Roles: Discover additional opportunities with BAH Partners at eFinancialCareers.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAtIEFQQUMgT3B0aW9ucyBNYXJrZXQgTWFraW5nIChUb3AtVGllciBHbG9iYWwgSGVkZ2UgRnVuZCkgfCBIb25nIEtvbmcsIEhLIHwgSW4tT2ZmaWNlIiwiY29tcGFueV9uYW1lIjoiQkFIIFBhcnRuZXJzIiwiYWRkcmVzc19jaXR5IjoiSG9uZyBLb25nIiwiaHRpZG9jaWQiOiI3V3FFNHlCeFhXSW1PLUFXQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlNHOXVaeUJMYjI1biIsImdsIjoidXMiLCJobCI6ImVuIn0=,4 days ago,Full-time,,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
Quant Researcher,Animoca Brands,Hong Kong,Aijobs.net,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acdeb4e27d082c18ac6019a57c8d77233af1e8e98de04e0cc79d.png,"['3 days ago', '61,249–113,750 a year', 'Full-time']","Animoca Brands Corporation Limited (ACN: 122 921 813) is a Web3 leader that leverages tokenization and blockchain to deliver digital property rights to consumers, helping to establish the open metaverse and its associated network effects. Animoca Brands realizes its mission via three integrated business pillars: operating Web3 businesses to advance blockchain adoption with native projects such as Moca Network, Anichess, The Sandbox, Open Campus, NEOM Web3 initiatives, and a regulated stablecoin project in partnership with Standard Chartered and HKT; providing digital asset advisory services including tokenomics advisory, liquidity provisioning, and institutional research to help external Web3 projects grow; and investment management, with a portfolio of investments in over 540 companies including industry leaders Pudgy Penguins, Yuga Labs, Axie Infinity, Polygon, Consensys, Magic Eden, OpenSea, Dapper Labs, YGG, and many others.- Conduct quantitative research and analysis to develop trading strategies and investment models in the crypto market.- Utilize statistical techniques and data analysis tools to extract insights and identify market trends.- Design and implement trading algorithms and quantitative models to optimize trading performance and risk management.- Collaborate with cross-functional teams to integrate quantitative research into trading strategies and investment decisions.- Stay updated on industry trends, market developments, and regulatory changes to inform research and decision-making processes. Master's or Ph.D. degree in quantitative finance, mathematics, statistics, computer science, or a related field, with a strong academic record.Minimum of 3-5 years of experience in quantitative research, preferably in the financial industry, with a demonstrated track record of success in developing and implementing trading strategies or quantitative models.Proficiency in programming languages such as Python, R, MATLAB, or C++ for data analysis, modeling, and algorithm development.Solid understanding of financial markets, including equity, fixed income, and derivatives, with a focus on the crypto market and its unique dynamics.Experience with quantitative research methodologies, including time series analysis, machine learning, optimization techniques, and backtesting frameworks.Knowledge of crypto-specific concepts such as blockchain technology, decentralized finance (DeFi), tokenomics, and smart contracts.Familiarity with crypto trading platforms, exchanges, and market data providers, as well as APIs for data retrieval and order execution.Strong analytical skills and attention to detail, with the ability to critically evaluate data, identify patterns, and draw meaningful insights.Excellent communication and presentation skills, with the ability to convey complex quantitative concepts to both technical and non-technical stakeholders.Proven ability to work collaboratively in cross-functional teams, with a proactive and solution-oriented approach to problem-solving.A passion for innovation and continuous learning, with a keen interest in staying abreast of the latest developments in quantitative finance, crypto markets, and emerging technologies.The Perks of Joining Animoca Brands:A Vibrant and Diverse Workplace: Immerse yourself in a dynamic, multi-cultural environment with colleagues from over 15 nationalities (and growing!). We celebrate diversity and foster a global perspective.Incentives in the Web3 Space: Be a part of the future and align your success with the growth of our innovative projects.Direct Impact and Flat Structure: Your voice matters. We operate with a flat organizational structure, ensuring your ideas are heard and implemented quickly.Comfortable and Creative Atmosphere: Embrace a relaxed and productive work environment with casual attire.Opportunities Across the Ecosystem: Expand your horizons by collaborating with various subsidiary brands within the Animoca Brands network, gaining exposure to a wide range of projects and technologies.Comprehensive Benefits Package: We care about your well-being. Enjoy a comprehensive benefits package, including medical, life, and transportation allowances.Personal Information Collection Statement:Personal data provided by the Job Applicant will be used strictly in accordance with the Employer's Personal Data Policies, a copy of which will be provided immediately upon his/her request. All classified data will be treated confidentially within the Human Resources & Administration Department. Personal data of unsuccessful applicants may be retained for a period of up to 3 months.",eyJqb2JfdGl0bGUiOiJRdWFudCBSZXNlYXJjaGVyIiwiY29tcGFueV9uYW1lIjoiQW5pbW9jYSBCcmFuZHMiLCJhZGRyZXNzX2NpdHkiOiJIb25nIEtvbmciLCJodGlkb2NpZCI6IjMzT3FPNmgtM0h0RGcxbTdBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKU0c5dVp5QkxiMjVuIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,3 days ago,Full-time,"61,249–113,750 a year",2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
"Quantitative Researcher, Equities",Green Lane Talent Management,Hong Kong,LinkedIn,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acde3e84d472499edba8699fb514556b78acb117c09d106186ad.jpeg,"['6 days ago', 'Full-time']","Job Description- Quantitative Researcher, Equities

QR as part of a small, collaborative team focusing on systematic investment based in Asia.

Location

SG, HK or equivalent time zone preferred

Principal Responsibilities
• Working alongside the PM on developing systematic trading strategies, with a primary focus on: idea generation, data gathering and research/analysis, model implementation and backtesting for systematic strategies with a focus on equity statistical arbitrage
• Combine sound financial insights and statistical learning techniques to explore, analyze, and harness a large variety of datasets in order to build strong predictive models which will be deployed to the investment process
• Work alongside the Senior Portfolio Manager on processing, integration and assessing various data sources to identify alphas and trading strategies

Preferred Technical Skills
• Strong research and programming skills
• Working knowledge of Python is necessary, KDB/Q is a plus
• Masters or PhD degree in a quantitative subject such as Computer Science, Applied Mathematics, Statistics, or related field
• Proficient in modern data science tools stacks (Jupyter, pandas, numpy, sklearn)
• Demonstrated knowledge of quantitative finance, mathematical modelling, statistical analysis, regression, and probability theory
• Excellent communication and analytical skills, with the ability to quickly understand and apply complex concepts

Preferred Experience
• Experience as a quantitative researcher in a mid‐low frequency systematic trading environment with a focus on equities and/or futures
• Demonstrated ability to conduct independent research using large data sets
• 2‐5 years of experience working in a systematic trading environment with a focus on equities
• Experience collaborating effectively with cross functional teams, multitasking and adapting in a fast‐paced environment

Target Start Date

As soon as possible",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciwgRXF1aXRpZXMiLCJjb21wYW55X25hbWUiOiJHcmVlbiBMYW5lIFRhbGVudCBNYW5hZ2VtZW50IiwiYWRkcmVzc19jaXR5IjoiSG9uZyBLb25nIiwiaHRpZG9jaWQiOiJzWk9kUmlfcWQyZ090WkJvQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlNHOXVaeUJMYjI1biIsImdsIjoidXMiLCJobCI6ImVuIn0=,6 days ago,Full-time,,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
Cubist Quantitative Researcher,Point72,Hong Kong,Built In,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acde36b9cd0a0cdbcf160c600de155117ac9bc521bdb88903b23.jpeg,"['16 days ago', 'Full-time']","ABOUT CUBIST

Cubist Systematic Strategies, an affiliate of Point72, deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources.

ROLE

Our research center in Hong Kong is seeking an experienced researcher with a strong background in alpha research. In this highly selective role you will have access to abundant research resources and exciting opportunities to discover high quality alpha signals that directly drive our investment decisions.

RESPONSIBILITIES
• Conduct original quantitative alpha signal research
• Manage all aspects of the research process, including data analysis, alpha signal discovery, backtesting, trading idea generation, alpha signal/portfolio analysis and the management of production code
• Evaluate new datasets for alpha potential
• Follow, digest, analyze and improve upon the latest academic research

DESIRABLE CANDIDATES
• 2+ years of research experience in Equities.
• Ph.D. or M.S. in finance, accounting, economics, mathematics, statistics, physics, computer science, operations research, or another quantitative discipline.
• Programming in any of the following: R, Python, or C++.
• Experience with SQL.
• Demonstrated ability to learn and apply new methodologies to alpha generation.
• Ability to work both independently and collaboratively within a team.
• Strong desire to deliver high quality results in a timely fashion.
• Detail-oriented.
• Willingness to take ownership of his/her work.",eyJqb2JfdGl0bGUiOiJDdWJpc3QgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIiLCJjb21wYW55X25hbWUiOiJQb2ludDcyIiwiYWRkcmVzc19jaXR5IjoiSG9uZyBLb25nIiwiaHRpZG9jaWQiOiJJX3RSV3E1b2xscm1uLTdDQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlNHOXVaeUJMYjI1biIsImdsIjoidXMiLCJobCI6ImVuIn0=,16 days ago,Full-time,,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
Senior Quantitative Researcher (Research leader),Tardis Group,Hong Kong,LinkedIn,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acdef37f9672580abd3f643f17ffa4e3d39b09f8850702bbf905.jpeg,"['5 days ago', 'Full-time']","Research Leader – US Equity Quantitative Strategies

My client is discreetly seeking a Research Leader to drive the development of medium-to-high frequency quantitative strategies focused on the US equity market.

Ideal Candidate:
• Proven track record of generating substantial profits through quantitative strategies in the US stock market, with deep and unique insights into market dynamics.
• Experience ranging from a senior researcher ready to transition into a leadership role, to someone passionate about building new strategies from the ground up.

What This Role Offers:
• The opportunity to shape and scale a new quantitative division, leading innovation and strategy development.
• A challenging yet highly rewarding environment where your expertise will have a direct impact on the company’s growth.

If you are interested in driving cutting-edge quant strategies and leading a dynamic team, please get in touch.",eyJqb2JfdGl0bGUiOiJTZW5pb3IgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIgKFJlc2VhcmNoIGxlYWRlcikiLCJjb21wYW55X25hbWUiOiJUYXJkaXMgR3JvdXAiLCJhZGRyZXNzX2NpdHkiOiJIb25nIEtvbmciLCJodGlkb2NpZCI6Ikp4aENKOXNmTjlpc1I1SUZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKU0c5dVp5QkxiMjVuIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,5 days ago,Full-time,,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
Global Quantitative Strategies | Quantitative Researcher (Asia),Citadel,Hong Kong,Built In,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acdef57b01096e79ad4e6b07e79d0d2c6ab22e78972330a51ed3.png,"['10 days ago', 'Full-time']","Job Description
About Global Quantitative Strategies (GQS)
GQS is the quantitative investment business of Citadel. Founded in 2012, GQS has rapidly grown to become one of Citadel's core investment strategies and one of the top quantitative investment teams in the world. Agile teams of researchers, engineers, and traders develop robust systems that allow us to operate performant at scale and apply advanced statistical and quantitative modeling techniques to identify and act on investment opportunities.
Quantitative Researchers (QRs) specialize in a variety of areas, including but not limited to: using sophisticated data analysis skills to build predictive models, driving construction of a complex multi asset portfolio by utilizing large scale portfolio optimization techniques, and developing sophisticated optimization algorithms. Researchers with an exceptional record of achievement in their respective fields and a drive to apply quantitative techniques to investing are encouraged to apply to GQS.
Learn more about us here.
Required Skills and Qualifications:
• Advanced degree in Physics, Computer Science, Mathematics, Statistics, Engineering or a related field
• Proven ability to conduct innovative and impactful research focused on solving real-world problems
• Relentless focus on continuous learning and making an impact; ability to question the status quo
• Strong mathematical and statistical modeling skills (e.g., time-series and cross-sectional analysis)
• Proficiency in coding (C++ or Python preferred)
• Demonstrated passion for financial markets and driven to analyze and model drivers of price formation and risk

About Citadel
Citadel is one of the world's leading alternative investment managers. We manage capital on behalf of many of the world's preeminent private, public and nonprofit institutions. We seek the highest and best use of investor capital in order to deliver market leading results and contribute to broader economic growth. For over 30 years, Citadel has cultivated a culture of learning and collaboration among some of the most talented and accomplished investment professionals, researchers and engineers in the world. Our colleagues are empowered to test their ideas and develop commercial solutions that accelerate their growth and drive real impact.",eyJqb2JfdGl0bGUiOiJHbG9iYWwgUXVhbnRpdGF0aXZlIFN0cmF0ZWdpZXMgfCBRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAoQXNpYSkiLCJjb21wYW55X25hbWUiOiJDaXRhZGVsIiwiYWRkcmVzc19jaXR5IjoiSG9uZyBLb25nIiwiaHRpZG9jaWQiOiJOZ19EMjJqZWZZZEFBZGViQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlNHOXVaeUJMYjI1biIsImdsIjoidXMiLCJobCI6ImVuIn0=,10 days ago,Full-time,,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
Quantitative Researcher - APAC Options Market Making (Top-Tier Global Hedge Fund),BAH Partners,Hong Kong,Indeed HK,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acde473a1849aab238e3c9bd3f835aef87e16149ba605192c2d4.jpeg,"['3 days ago', 'Full-time']","The Position:
We're seeking an analytical mind to join the quantitative research team at a premier global buyside firm, focusing on APAC options market-making strategies. This is a research-focused role specialising in pricing, risk management, and execution optimisation - distinct from alpha generation.

Core Responsibilities:
• Develop and enhance market-making models for APAC options markets (India/China/Hong Kong focus)
• Conduct microstructure research to optimise execution strategies
• Refine pricing and hedging frameworks for index options (primary focus)
• Analyse order flow dynamics and liquidity patterns
• Implement statistical models for inventory risk management

Technical Requirements:
• Advanced degree in Mathematics, Physics, or a related quantitative field
• 3+ years of experience in options market-making research
• Expertise in stochastic calculus, probability theory, and numerical methods
• Strong Python skills (NumPy/SciPy/Pandas) for quantitative modelling
• Familiarity with volatility surface modelling and arbitrage-free pricing
• Knowledge of APAC derivatives market structure (India/China/Hong Kong)

If you are interested in this exciting opportunity or would like to explore other roles, please send your detailed resume to katie.huang@bahpartners.com or call +852 2544 4200 for a confidential discussion.

About BAH Partners: BAH Partners is the leading supplier of top technology talent to Asia Pacific’s premier technology-driven organisations across the banking, trading, FinTech, and e-commerce sectors.

Explore More Roles: Discover additional opportunities with BAH Partners at eFinancialCareers.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAtIEFQQUMgT3B0aW9ucyBNYXJrZXQgTWFraW5nIChUb3AtVGllciBHbG9iYWwgSGVkZ2UgRnVuZCkiLCJjb21wYW55X25hbWUiOiJCQUggUGFydG5lcnMiLCJhZGRyZXNzX2NpdHkiOiJIb25nIEtvbmciLCJodGlkb2NpZCI6IlZVVTR2eEFwTTFLaERMX0tBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKU0c5dVp5QkxiMjVuIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,3 days ago,Full-time,,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
Quantitative Researcher / Quantitative Research Analyst,Citadel Securities,Hong Kong,Glassdoor,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acdefbbde0017ec0bb1082050efa10a5792837b8d0ed26147fc6.png,"['26 days ago', 'HK$250K–HK$350K a year', 'Full-time', 'No degree mentioned']","Job Description

Role Summary

At Citadel Securities, a leading global market maker, our team of quantitative researchers models the markets and brings trading strategies to life every day. Specifically, this team develops and tests automated quant trading strategies using sophisticated statistical techniques. We’re looking for an extraordinary quantitative researcher who is committed to our core values that include winning, acting with integrity, continuously learning, and cultivating a meritocracy.

Opportunities may be available from time to time in any location in which the business is based for suitable candidates. If you are interested in a career with Citadel, please share your details and we will contact you if there is a vacancy available.

Objectives
• Conduct research and statistical analyses in the evaluation of securities
• Work with large data sets, including unconventional data sources, to predict and test statistical market patterns
• Conceptualize valuation strategies, develop and continuously improve mathematical models, and translate algorithms into code
• Back test and implement trading models and signals in a live trading environment

Skills and Preferred Qualifications
• Advanced training in mathematics, statistics, physics, computer science, or another highly quantitative field
• Proficiency in probability & statistics (e.g. time-series analysis, machine learning, pattern recognition, NLP)
• Prior experience working in a data driven research environment
• Hands on programming experience in scripting (e.g. Python), analytical packages (e.g. R, Matlab) and/or compiled languages (e.g. C++)
• A background demonstrating strong analytical problem solving skills
• An ability to communicate advanced concepts in a concise and logical way
Proficiency in creating and using algorithms to meticulously investigate and work through large data or error-checking problems
• In accordance with applicable law, the base salary range for this role is $250,000 to $350,000.

In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,

as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,

and access to other healthcare programs.

About Citadel Securities

Citadel Securities is the next-generation capital markets firm and a leading global market maker. We provide institutional and retail investors with the liquidity they need to trade a broad array of equity and fixed income products in any market condition. The brightest minds in finance, science and technology use powerful, advanced analytics to solve the market’s most critical challenges, turning big ideas into real-world outcomes.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAvIFF1YW50aXRhdGl2ZSBSZXNlYXJjaCBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiQ2l0YWRlbCBTZWN1cml0aWVzIiwiYWRkcmVzc19jaXR5IjoiSG9uZyBLb25nIiwiaHRpZG9jaWQiOiJvUVZkcUpEcXRaVHhfclFWQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlNHOXVaeUJMYjI1biIsImdsIjoidXMiLCJobCI6ImVuIn0=,26 days ago,Full-time,HK$250K–HK$350K a year,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
Senior Quantitative Researcher,Balyasny Asset Management L.P.,Hong Kong,LinkedIn,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acde73b7eaf0eb17d568d2dfc045cc0a39eaa00864fbceb15c1d.jpeg,"['25 days ago', 'Full-time']","Balyasny Asset Management (BAM) is a global, multi-strategy investment Firm with over $21 billion in assets under management. We are a diversified business, with global breadth and depth. Our Firm has a clear mission: To consistently deliver uncorrelated returns in all market environments. Today, BAM employs more than 160 portfolio managers and 1,200 investment professionals across 19 offices in the U.S., Europe, the Middle East, and Asia. We are active across six investing strategies: Equities Long/Short, Equities Arbitrage, Macro, Commodities, Systematic, and Growth Equity. We also have a dedicated private investment team, BAM Elevate, and a standalone equities unit, Corbets Capital.

ROLE OVERVIEW

PM Engagement coaches equity Portfolio Managers with a specific focus on portfolio construction, provides analytics and insights into their portfolio and process, and helps them grow their business to be successful/ profitable at BAM. The team works with teams across fundamental long/ short equity, index arbitrage, and merger arbitrage strategies. The team is involved in research on topics including equity portfolio analytics, factor/ factor model research, and analysis of best practices in the portfolio construction/ investment process.

The Senior Quantitative Researcher, PM Engagement, is responsible for working with equity PMs on their portfolio construction and investment process, helping them understand their risk taking and improve their profitability and scalability. The researcher will be expected to contribute to the development of quantitative models for the analysis of portfolio risk & performance for strategies, including alternative equity strategies. Leveraging his or her excellent communications skills and deep understanding how investment process, portfolio construction and analytics impact outcomes, the researcher will be responsible for developing models, conducting analysis, and sharing insights on drivers of P&L, best practices, and portfolio construction concepts with portfolio managers and business management.

The successful candidate should be passionate about equity investing with experience in Long/Short or alternative equity strategies, and possess advanced quantitative abilities, strong analytical skills, and be a strong communicator able to explain quantitative concepts and recommendations to other investment professionals. They will demonstrate a strong sense of ownership and an ability generate and execute creative ideas as the team builds analytics and tools to support and grow the business.

In the role of Senior Quantitative Researcher, PM Engagement, the employee will be responsible for the following:
• Improving profitability and scalability of the equities business at BAM by working directly with PMs to drive performance and scale; supporting tailored analysis with quantitative research and a deep understanding of the investment process.
• Research: Develop models for analysis of investment process, portfolio construction, risk and return attribution for strategies
• Understand team investment processes and how to capture and analyze relevant data
• Develop analysis supported by data for individual teams and/ or using data across the business to provide analysis on best practices, insights, and areas to improve risk-adjusted returns
• Propose and substantiate new research ideas that can be delivered to Portfolio Managers/ Business
• Respond to analytical questions from portfolio managers and senior management related to risk, portfolio construction, investment process
• Relationships and Advising: Managing relationships with Portfolio Managers and work with them to grow and improve profitability of their business. Functioning as a representative of equity risk, interface with PMs. Ensure that views / themes are accurately represented within portfolios
• Encourage dialogue / communication around analytics and offensive risk taking as well as risk guidelines
• Communicate analysis and recommendations clearly through face-to-face meetings, presentations and written documentation with global PM teams focused on equity strategies, as well as business management
• Guide PMs on use of tools, concepts and leveraging resources/ analytics and insights to improve their process, portfolio construction/ hedging
• Project Ownership: Collaborate with other Quantitative Researchers across Risk & Development, Data, Product and Engineering teams on accessing data sets and developing tools that improve Portfolio Managers or Business efficiency, profitability, and understanding of portfolio/ risks
• Deliver complex projects with multiple stakeholders
• Provide feedback on tools and help provide specifications for new tools

Qualifications:

The candidate must be able to demonstrate expertise in quantitative analysis techniques including statistical analysis, experience working with market data and large data sets programmatically, and strong analytical skills.

Additionally, the candidate should have experience with financial data and equity investment strategies including risk, performance attribution, and investment process.

Key qualifications include:
• 5+ years of experience working on a team with experience understanding risk/ portfolio construction and analytics related to equity Long/ Short or other alternative equity strategies, including at least 2 years of direct interaction with risk takers or in a risk-taking role
• Strong programming skills for quantitative analysis
• Strong Python skills – including prior experience with time series analysis, managing data, and contributing to internal analysis libraries in Python
• Experience with SQL for managing and accessing data
• Proficiency with software development process and tools such as GitHub
• Excellent communication/ presentation skills, confidence, and ability to influence, coach, educate fundamental PMs
• Outstanding written and oral communication skills
• Interest in learning from other investment experts, using feedback to improve analysis and understanding of strategies
• Understanding of quantitative research & investing
• Superior quantitative skills demonstrated through an advanced degree (PhD or Masters) in sciences/ math/ quantitative discipline and/ or practical experience applying quantitative finance theory
• Experience implementing statistical models
• Understanding of factor models and their applications
• Attention to detail and passion/ grit for getting things done, digging into problems, and helping develop solutions
• Sense of ownership and entrepreneurialism to grow the business
• Passion for investing / economics / stock market = Desire to work with portfolio teams focused on equity strategies",eyJqb2JfdGl0bGUiOiJTZW5pb3IgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIiLCJjb21wYW55X25hbWUiOiJCYWx5YXNueSBBc3NldCBNYW5hZ2VtZW50IEwuUC4iLCJhZGRyZXNzX2NpdHkiOiJIb25nIEtvbmciLCJodGlkb2NpZCI6InRtSnlKbTZVTmVUMzBxQWFBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKU0c5dVp5QkxiMjVuIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,25 days ago,Full-time,,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
Quantitative Reseach Analyst,Gravitas Recruitment Group Hong Kong,Hong Kong,Gravitas Recruitment Group Hong Kong,https://serpapi.com/searches/685141ea4de49a30f94bd2de/images/776767e79e77acdecef8664b3c135bd7e68dd6b2b44c7c366e1ef2b77810f316.jpeg,"['6 days ago', 'Full-time', 'No degree mentioned']","We are seeking a driven and detail-oriented Quantitative Research Analyst to join our dynamic trading team based in Hong Kong. This role offers an excellent opportunity for professionals with a blend of analytical rigour, programming skills, and a passion for solving complex problems in a high-frequency trading environment. The position involves collaborating closely with traders and developers to support and enhance the firm's quantitative research capabilities and live trading strategies. The ideal candidate will be instrumental in designing and implementing a cutting-edge, low latency trading platform, as well as improving systems that underpin large-scale data analysis and machine learning applications.

You will be responsible for building and maintaining systems for tick-by-tick backtesting, constructing tools to analyse historical market data, and creating interfaces and tools to streamline the research process. This will involve developing robust and scalable solutions for handling large datasets, optimising computational performance, and increasing the efficiency of research pipelines. The role requires comfort with working independently as well as contributing to a collaborative team environment, while maintaining a clear focus on quality and performance in a fast-paced setting.

Applicants should have 1–5 years of practical experience with C++, and 1–2 years of meaningful experience with Python coding. A strong background in data structures, algorithms, and object-oriented design is essential, alongside proven academic excellence. Solid familiarity with Linux and some experience working with SQL databases are required. Candidates must have a meticulous approach to problem-solving and an eagerness to innovate from the ground up. The ability to manage multiple priorities under tight deadlines, while making independent decisions and contributing to larger team goals, is vital.

Strong communication skills in English are necessary to effectively collaborate and present ideas in a business context. A self-starter attitude, a passion for uncovering insights from data, and a commitment to continuously improving both tools and trading systems are key qualities for success in this role.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFjaCBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiR3Jhdml0YXMgUmVjcnVpdG1lbnQgR3JvdXAgSG9uZyBLb25nIiwiYWRkcmVzc19jaXR5IjoiSG9uZyBLb25nIiwiaHRpZG9jaWQiOiJoMXBiOGh0Q2pNTUN3c01yQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlNHOXVaeUJMYjI1biIsImdsIjoidXMiLCJobCI6ImVuIn0=,6 days ago,Full-time,,2025-06-17 12:22:38.986267,Quantitative Researcher,Hong Kong,
