title,company_name,location,via,thumbnail,extensions,description,job_id,work_from_home,schedule_type,date_time,search_term,search_location,posted_at,salary
Quant Trader (Market Making),Hyphen Connect,Anywhere,Jobgether,https://serpapi.com/searches/6851550ab24c5d2433ef452f/images/a98b12b28c48dc8f02faa670b64283165406bbe5119022b5761872ec567d1c78.jpeg,"['Work from home', 'Full-time']","This a Full Remote job, the offer is available from: EMEA

Our client is a Crypto HF, aims to enhance their investment offerings to clients by expanding their Market Making desk. Currently, the team is seeking a Quant Trader who possesses expertise in developing and implementing liquidity-focused strategies, risk management, and dynamic optimization. You will collaborate closely with the technology team and have the responsibility of designing systems to support your work. As the business grows, there is a potential for significant ownership of the desk.

This opportunity is open to candidates worldwide with remote work options.

In This Role, Your Key Responsibilities Will Include:
• Develop and execute market-making strategies across various crypto assets to provide liquidity and enhance market efficiency.
• Continuously monitor and analyze market conditions, adjusting trading strategies to optimize profitability and minimize risks.
• Utilize advanced quantitative models and algorithms to make informed trading decisions.
• Collaborate closely with the technology team to develop and improve trading systems and tools.
• Manage the trading book, ensuring accurate and timely execution of trades and proper risk management practices.
• Implement and oversee risk control strategies to mitigate potential market and operational risks.
• Provide real-time market insights and analysis to the investment management team.
• Maintain compliance with industry regulations and internal policies, ensuring all trading activities are conducted ethically and legally.
• Participate in the development of new trading strategies and contribute to the overall growth of the trading desk.

Key Requirements:
• Bachelor’s or Master’s degree in Finance, Economics, Mathematics, or a related field from a renowned university.
• Significant experience in a trading role within top name exchanges, trading firms, or hedge funds, with a focus on market making.
• In-depth knowledge of cryptocurrency markets and blockchain technology.
• Expertise in the development and execution of quantitative trading strategies.
• Self-motivated and eager to be successful.
• Experienced in using trading platforms and tools, with a deep understanding of market microstructure.
• Strong background in risk management and compliance within financial services.
• Ability to work under pressure in a fast-paced trading environment.

#LI-REMOTE

This offer from ""Hyphen Connect"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIgKE1hcmtldCBNYWtpbmcpIiwiY29tcGFueV9uYW1lIjoiSHlwaGVuIENvbm5lY3QiLCJhZGRyZXNzX2NpdHkiOiJOaWdlcmlhIiwiaHRpZG9jaWQiOiJzWGFObXF3STRHSTVaR1lPQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSFRtbG5aWEpwWVEiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,True,Full-time,2025-06-17 13:44:11.982423,Quantitative Trader,Nigeria,,
Commodity Trader,HPA Corporate Resourcing,"Lagos, Nigeria",Career Page,,"['15 days ago', 'Full-time']","Our client is a leading firm dealing in the Oil and gas sector & Energy Commodity Trading. With a commitment to excellence and innovation, it strives to deliver high-quality products/services while fostering a positive work environment for its employees. In continuation of its expansion and growth, the company seeks a dynamic & experienced individual to drive the Commodity Trader desk.

Job Summary:

Our client seeks a highly driven and experienced Commodity Trader with a versatile background in the oil & gas trading ecosystem, covering refined petroleum products, crude oil, and gas. The ideal candidate will possess a substantial book of clients and trading relationships, along with the ability to leverage AI-powered trading tools and analytics. This trader must have a deep understanding of commodity markets, a proven ability to originate and close profitable deals, and an existing network of off-takers, suppliers, and financial institutions across West Africa and beyond. This role requires a blend of strategic thinking, market agility, operational know-how, and technological savvy to grow trading volumes and margins sustainably while utilizing cutting-edge AI solutions for competitive advantage.

Key Responsibilities:
• Originate and execute profitable oil and gas trading deals across West Africa, including spot and term contracts.
• Originate, negotiate, and execute trading contracts for crude oil, refined products (e.g., PMS, AGO, DPK, LPG), and/or natural gas.
• Build and manage a strong portfolio of clients, suppliers, and partners across key markets in West Africa, Europe, and the Middle East.
• Monitor global oil & gas markets, benchmark indices (e.g., Platts, Argus), and supply-demand dynamics to inform pricing and trading strategies.
• Bring and actively maintain a substantial ""book"" of clients, including suppliers, off-takers, and financial institutions, demonstrating the ability to convert relationships into profitable trades
• Utilize AI-powered market intelligence platforms to identify trading opportunities, price anomalies, and arbitrage possibilities before competitors
• Develop and implement algorithmic trading strategies for specific market conditions when appropriate
• Collaborate with data science teams to build predictive models for price movements, supply-demand dynamics, and geopolitical impacts
• Leverage natural language processing tools to extract actionable insights from news, social media, and industry reports affecting commodity markets
• Implement AI-based risk assessment tools to evaluate counterparty credit risk and transaction exposure
• Utilize machine learning to optimize trade timing, volumes, and hedging strategies based on historical performance
• Incorporate satellite imagery analysis and alternative data sources for real-time monitoring of supply movements and storage levels
• Design and implement structured trade finance solutions supported by AI-based risk assessment tools
• Apply advanced data visualization techniques to communicate complex market dynamics to stakeholders
• Identify arbitrage and hedging opportunities to maximize trading margins and mitigate exposure.
• Coordinate with internal operations, logistics, risk, and finance teams to ensure efficient deal execution.
• Manage commercial risk, counterparty exposure, credit terms, and delivery schedules.
• Maintain up-to-date records of contracts, lifting schedules, product specs, and compliance documentation.
• Represent the company in high-level negotiations and industry events to expand the trading footprint.
• Contribute to business development strategies by opening new markets or launching new products.

Key Requirements
• Bachelor's degree in Economics, Finance, Business, Engineering, Data Science, or a related field. A master's degree or professional trading certification(s) is an added advantage
• 7-12 years of experience in commodity trading with a focus on oil & gas markets
• Demonstrable book of business with verifiable transaction history showing successful deal origination and execution
• Experience in structured trade finance and the ability to bring financial partners to support complex transactions
• Proven expertise in utilizing AI and data analytics tools for trading advantage (e.g., predictive analytics platforms, algorithmic trading systems)
• Proficiency in Python, R, or similar languages used for quantitative trading analysis
• Experience with machine learning applications in commodity price forecasting and risk management
• Strong network of off-takers, suppliers, refineries, marketers, and financiers in Africa and globally, with proven ability to convert relationships into transactions
• Demonstrated ability to integrate alternative data sources into trading decisions
• Solid understanding of trade finance instruments, INCOTERMS, vessel chartering, and supply chain coordination
• Experience in structuring complex S&P (Sale and Purchase) transactions in the oil and gas markets

Core Competencies
• Trade Finance Structuring
• AI-Powered Market Intelligence
• Algorithmic Trading Strategy Development
• Trade Finance Structuring with Technology Integration
• Client Portfolio Management and Relationship Conversion
• Alternative Data Utilization and Analysis
• Machine Learning for Risk Assessment and Mitigation
• Digital Contract Management and Documentation
• Predictive Analytics for Market Movements
• Blockchain Applications for Trading Transparency
• Real-time Data Integration for Decision Making
• Quantitative Trading Model Development
• API Integration with Trading Platforms

Special Note on Client Book Requirement:

The successful candidate must demonstrate a proven history of bringing and maintaining a substantial book of business. This includes:
• Verifiable transaction history showing successful deal origination and execution
• Established relationships with key players in West and East African markets
• Connection to financial institutions that can facilitate structured trade finance
• Ability to immediately activate these relationships to generate revenue
• Experience in leveraging these relationships specifically for S&P (Sale and Purchase) transactions in the oil and gas markets

The company will provide comprehensive support for these relationships through advanced trading infrastructure, robust operational backing, and innovative AI-powered tools to maximize the value of the trader's network.",eyJqb2JfdGl0bGUiOiJDb21tb2RpdHkgVHJhZGVyIiwiY29tcGFueV9uYW1lIjoiSFBBIENvcnBvcmF0ZSBSZXNvdXJjaW5nIiwiYWRkcmVzc19jaXR5IjoiTGFnb3MsIE5pZ2VyaWEiLCJodGlkb2NpZCI6IkF6WjJId1VpN25pZTB4VFNBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIVG1sblpYSnBZUSIsImdsIjoidXMiLCJobCI6ImVuIn0=,,Full-time,2025-06-17 13:44:14.133078,Algorithmic Trader,Nigeria,15 days ago,
Quant Trader (Market Making),Hyphen Connect,Anywhere,Jobgether,https://serpapi.com/searches/6851550cf3a0a742b916caf0/images/742e68cee7bdabe84f86a971bee54c7bf7197706f3cb1e56d3c8fdd084030b02.jpeg,"['Work from home', 'Full-time']","This a Full Remote job, the offer is available from: EMEA

Our client is a Crypto HF, aims to enhance their investment offerings to clients by expanding their Market Making desk. Currently, the team is seeking a Quant Trader who possesses expertise in developing and implementing liquidity-focused strategies, risk management, and dynamic optimization. You will collaborate closely with the technology team and have the responsibility of designing systems to support your work. As the business grows, there is a potential for significant ownership of the desk.

This opportunity is open to candidates worldwide with remote work options.

In This Role, Your Key Responsibilities Will Include:
• Develop and execute market-making strategies across various crypto assets to provide liquidity and enhance market efficiency.
• Continuously monitor and analyze market conditions, adjusting trading strategies to optimize profitability and minimize risks.
• Utilize advanced quantitative models and algorithms to make informed trading decisions.
• Collaborate closely with the technology team to develop and improve trading systems and tools.
• Manage the trading book, ensuring accurate and timely execution of trades and proper risk management practices.
• Implement and oversee risk control strategies to mitigate potential market and operational risks.
• Provide real-time market insights and analysis to the investment management team.
• Maintain compliance with industry regulations and internal policies, ensuring all trading activities are conducted ethically and legally.
• Participate in the development of new trading strategies and contribute to the overall growth of the trading desk.

Key Requirements:
• Bachelor’s or Master’s degree in Finance, Economics, Mathematics, or a related field from a renowned university.
• Significant experience in a trading role within top name exchanges, trading firms, or hedge funds, with a focus on market making.
• In-depth knowledge of cryptocurrency markets and blockchain technology.
• Expertise in the development and execution of quantitative trading strategies.
• Self-motivated and eager to be successful.
• Experienced in using trading platforms and tools, with a deep understanding of market microstructure.
• Strong background in risk management and compliance within financial services.
• Ability to work under pressure in a fast-paced trading environment.

#LI-REMOTE

This offer from ""Hyphen Connect"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIgKE1hcmtldCBNYWtpbmcpIiwiY29tcGFueV9uYW1lIjoiSHlwaGVuIENvbm5lY3QiLCJhZGRyZXNzX2NpdHkiOiJOaWdlcmlhIiwiaHRpZG9jaWQiOiJzWGFObXF3STRHSTVaR1lPQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSFRtbG5aWEpwWVEiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,True,Full-time,2025-06-17 13:44:14.133078,Algorithmic Trader,Nigeria,,
Head of Engineering - Financial Services,Yassir,"Lagos, Nigeria",LinkedIn Nigeria,https://serpapi.com/searches/6851553d5b92f8e9b5997e7b/images/df41779d1b7b8972d5576fec6943dce3dc1142d6ea25f90de806bd5c747334b3.jpeg,['Full-time'],"Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (:$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.

We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally.

Helping usher the continent into a digital economy era. We’re not just about serving people - we’re about creating a marketplace to bring people what they need while infusing social values.

Are you a visionary leader with a passion for cutting-edge technology? Do you thrive in dynamic environments where innovation drives success? If so, we have an exciting opportunity for you! At Yassir we are revolutionizing the tech industry with our groundbreaking super app. Our platform seamlessly integrates multiple services, providing users with unparalleled convenience and efficiency. As we continue to expand, we’re seeking a Head of Engineering to lead our talented team and drive our ambitious goals forward.

About Your Role As Head Of Engineering
• Hire outstanding engineering talents and scale our tech team across Europe/Africa
• Contribute to the company technical culture and be responsible for the success and personal growth of our engineers
• Oversee mobile, front-end and back-end development teams and their projects. Ensure they can deliver their best work by spotting and alleviating blockers, setting IT processes, coaching teammates, and setting the bar for technical excellence
• Review architecture of products and suggest improvements
• Work with the product team to plan and oversee the execution of the product roadmap and contribute to designing strategies for future developments

About Your Experience
• Work experience as a head of engineering, engineer director or in a similar senior-level position at an engineering department
• Successful track record recruiting outstanding tech talents and managing multiple engineering teams
• Extensive experience with cloud technologies, microservices architecture, continuous delivery, and modern human-computer interfaces
• Hands-on experience in back-end and front-end development and in enterprise architecture
• Good understanding of agile methodologies
• Leadership abilities with a strategic mind
• Excellent project management skills, ideally experience managing remote teams
• Experience in a rapidly growing company in the mobility, on-demand or fintech space is a plus
• BSc/MSc in Engineering, Computer Science or relevant field

Why you should join Yassir
• 😎 You will be part of one of the first Algerian startups to go through the Y Combinator program and one of the fastest-growing tech companies in North Africa. We are current in +40 cities (Algeria, Tunisia, Morocco, Senegal, France and Germany)
• 🤙🏽Have a lasting impact on our company's culture
• 🚀 Perfect timing with renowned investors to build something great
• 📈 Extremely steep learning curve with own responsibility and intensive guidance
• 💯 Make a real impact on the world by helping us bring affordable financial and on-demand services to millions of Africans

At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.

Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together.

We look forward to receiving your application!

Best of luck,

Your Yassir TA Team",eyJqb2JfdGl0bGUiOiJIZWFkIG9mIEVuZ2luZWVyaW5nIC0gRmluYW5jaWFsIFNlcnZpY2VzIiwiY29tcGFueV9uYW1lIjoiWWFzc2lyIiwiYWRkcmVzc19jaXR5IjoiTGFnb3MsIE5pZ2VyaWEiLCJodGlkb2NpZCI6ImZfWjc0TV95bGlMSnNSZy1BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIVG1sblpYSnBZUSIsImdsIjoidXMiLCJobCI6ImVuIn0=,,Full-time,2025-06-17 13:45:03.284984,Financial Engineer,Nigeria,,
Engineering Manager - Financial Services,Yassir,Anywhere,Built In San Francisco,https://serpapi.com/searches/6851553d5b92f8e9b5997e7b/images/df41779d1b7b8972d691d683ed500b859b0a60d09547c23f7afd084d5eaf266e.jpeg,"['14 days ago', 'Work from home', 'Full-time']","Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.

We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally.

Helping usher the continent into a digital economy era. We’re not just about serving people - we’re about creating a marketplace to bring people what they need while infusing social values.

About the role

As part of our expansion effort, we are looking for an engineering manager to lead our team of financial services developers. You will lead a tech team supporting Yassir's product development and delivery. You will own and build large-scale systems and micro-services. Together with your team, you will design, develop, and deliver powerful applications in a highly dynamic environment. To be successful in this role, you should have outstanding technical skills and you are not afraid to be hands-on, you are confident in leading and serving tech teams, good at juggling multiple products, and thrive in high-growth environments.

About your responsibilities as Engineering Manager
• Work with the product and design teams to understand end-user requirements, formulate use cases, and then translate that into pragmatic and effective technical solutions.
• Contribute to hiring the engineering team for the product you are responsible for.
• Work with the different stakeholders to establish a culture of technical excellence and be responsible for the success and personal growth of your team.
• Oversee engineering teams and their projects. Ensure they can deliver their best work by spotting and alleviating blockers and coaching teammates.
• Build robust and scalable software in Java.
• Help improve existing code quality through introducing quality assurance and performing code reviews.
• Participate in brainstorming sessions and contribute ideas to our technology, algorithms, and product.

About your experience
• Previous experience with digital products or in a similar product role at a FinTech company, digital bank, or Payment provider
• At least three years of work experience as an engineering manager or tech lead at an engineering department
• Extensive experience with cloud technologies, microservices architecture, continuous delivery, and modern human-computer interfaces
• Good understanding of agile methodologies
• Excellent leadership and project management skills, ideally experience managing remote teams
• Solid software design knowledge – you should know how to create software that is extensible, reusable, and meets desired architectural objectives
• Demonstrated ability to prioritize, self-start, contribute under pressure, and meet tight deadlines
• Highly organized, creative and critical thinker
• Comfortable working in an entrepreneurial environment
• Experience working with core banking software is a plus
• BSc/MSc in Engineering, Computer Science, or relevant field

At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.

Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together.

We look forward to receiving your application!

Best of luck,

Your Yassir TA Team",eyJqb2JfdGl0bGUiOiJFbmdpbmVlcmluZyBNYW5hZ2VyIC0gRmluYW5jaWFsIFNlcnZpY2VzIiwiY29tcGFueV9uYW1lIjoiWWFzc2lyIiwiaHRpZG9jaWQiOiJjOUQzbVd0VEw0VzFrVEU4QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSFRtbG5aWEpwWVEiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,True,Full-time,2025-06-17 13:45:03.284984,Financial Engineer,Nigeria,14 days ago,
Staff Android Engineer - Financial Services,Yassir,"Lagos, Nigeria (+12 others)",Lever,https://serpapi.com/searches/6851553d5b92f8e9b5997e7b/images/df41779d1b7b89720e8f79ecfade667c57f107e9b4116dc6d28587507b2074b4.png,['Contractor'],"Yassir is the leading super App in the Maghreb region set to changing the way daily services are provided. It currently operates in 45 cities across Algeria, Morocco and Tunisia with recent expansions into France, Canada and Sub-Saharan Africa. It is backed (~$200M in funding) by VCs from Silicon Valley, Europe and other parts of the world.

We offer on-demand services such as ride-hailing and last-mile delivery. Building on this infrastructure, we are now introducing financial services to help our users pay, save and borrow digitally.

Helping usher the continent into a digital economy era. We’re not just about serving people - we’re about creating a marketplace to bring people what they need while infusing social values.

About your role

As an Android Staff Engineer, you will drive the technical standards for the Android applications across our consumer domain, working with multiple squads inside the domain. You will lead Android engineers with tech roadmaps, architecture decisions, and feature development and release cycle. You will mentor junior developers. You will contribute to scaling up Android engineers in multiple squads and bringing great talents on board by conducting technical interviews.

Responsibilities
• Design, build and maintain features for the domain applications
• Provide technical leadership and manage dependencies
• Conduct design and code reviews
• Help the domain team members with technical blockers supporting them and helping them grow
• Continuously discover, evaluate, and implement new technologies to maximize efficiency
• Participate in architecture and design discussions
• Participate strongly in building the technical roadmap
• Conduct technical interviews
• Help Improving engineering standards, tooling, and processes

Requirements
• BSc/MSc in Engineering, Computer Science or relevant field
• At least 8 years of Android mobile engineering experience. 3 years of which with Kotlin
• Excellent communication skills
• Enjoy solving problems and helping others meet their goals
• Solid understanding of the full mobile development lifecycle
• Substantial experience with Git in a team environment
• Hands-on experience with mobile DevOps CI/CD tools
• Experience working with different architectures
• Experience writing testable code and unit tests
• Have published many Android applications to the Store
• Experience in a fast-growing startup in a the on-demand services space is a plus

At Yassir, we believe in the power of diversity and the importance of an inclusive culture. So, if you're ready to bring your unique perspective and experiences to the table, then we're excited to listen.

Don't just apply for a job, come and be a part of our journey. Let's create a better tomorrow together.

We look forward to receiving your application!

Best of luck,

Your Yassir TA Team",eyJqb2JfdGl0bGUiOiJTdGFmZiBBbmRyb2lkIEVuZ2luZWVyIC0gRmluYW5jaWFsIFNlcnZpY2VzIiwiY29tcGFueV9uYW1lIjoiWWFzc2lyIiwiYWRkcmVzc19jaXR5IjoiTGFnb3MsIE5pZ2VyaWEiLCJodGlkb2NpZCI6IktDU2UwN3liTFpNRjEyNDdBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIVG1sblpYSnBZUSIsImdsIjoidXMiLCJobCI6ImVuIn0=,,Contractor,2025-06-17 13:45:03.284984,Financial Engineer,Nigeria,,
Senior Data Engineer at Flex Finance,FLEX & FINANCE,"Lagos, Nigeria",LinkedIn Nigeria,,"['27 days ago', 'Full-time']","Never Miss a Job Update Again.

We have started building our professional LinkedIn page.
• Company:
• Location: Nigeria
• State:
• Job type: Full-Time
• Job category:

Flex Finance is Africa’s leading Spend management and requisition platform that helps finance teams and business owners manage all company spending in one place. We combined robust payment infrastructure with spend management architecture and data-rich expense reports to revolutionize how African businesses track spending.

We Are Recruiting To Fill The Position Below

Job Title: Senior Data Engineer

Location: Lagos

Job type: Full-time

Job Summary
• We are seeking a highly skilled Senior Data Engineer to join our engineering team and lead our data infrastructure’s design, development, and maintenance.
• You will be pivotal in building pipelines that power real-time financial analytics, risk management, and AI-driven decision-making across our product suite.

Key Responsibilities
• Architect, build, and maintain scalable data pipelines and ETL processes from multiple data sources (transaction data, third-party APIs, internal services).
• Optimize and manage our data lake and warehouse (AWS, Redshift, or similar) to support analytics and product features.
• Partner with product, engineering, and finance teams to define data requirements and deliver accessible, clean, and reliable datasets.
• Implement best practices for data governance, security, compliance (especially PCI DSS), and access control.
• Monitor, debug, and improve the performance of our data infrastructure and tooling.
• Mentor junior data engineers and contribute to technical design reviews.
• Work closely with our AI/ML team to support experimentation, model training, and production inference with high-quality datasets.

Requirements
• Bachelor’s or Master’s Degree in Computer Science, Data Engineering, or related field.
• 5+ years of experience in data engineering or backend engineering roles.
• Deep proficiency in Python, SQL, and distributed data processing (e.g., Apache Spark, Airflow).
• Hands-on experience with cloud data architecture (preferably AWS – Lambda, S3, Redshift, DynamoDB).
• Experience building real-time and batch data pipelines.
• Solid understanding of database systems (SQL and NoSQL), performance tuning, and data modeling.
• Experience working with financial or transactional data is a plus.
• Familiarity with compliance and regulatory requirements for data handling in fintech is a strong advantage.

Nice To Have
• Experience with GraphQL or REST API data integrations.
• Exposure to business intelligence tools like Metabase, Looker, or Power BI.
• Familiarity with AI/ML pipelines or experimentation frameworks.
• Previous experience in a fast-paced startup or fintech environment.

Benefits
• Competitive salary and performance bonuses
• Equity options
• Flexible remote-first work environment
• The chance to shape the future of financial infrastructure in Africa
• A high-performance culture with a supportive team.

Application Closing Date

Not Specified.

Don't Keep! Kindly Share:
• *
•",eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBFbmdpbmVlciBhdCBGbGV4IEZpbmFuY2UiLCJjb21wYW55X25hbWUiOiJGTEVYIFx1MDAyNiBGSU5BTkNFIiwiYWRkcmVzc19jaXR5IjoiTGFnb3MsIE5pZ2VyaWEiLCJodGlkb2NpZCI6ImJaUGZXMXBISUFnaE5nOXhBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lIVG1sblpYSnBZUSIsImdsIjoidXMiLCJobCI6ImVuIn0=,,Full-time,2025-06-17 13:45:03.284984,Financial Engineer,Nigeria,27 days ago,
"Mid-Level Clojure / ClojureScript Engineer (Remote, 45k-55k EUR)",Lifecheq,Anywhere,Himalayas.app,https://serpapi.com/searches/6851553d5b92f8e9b5997e7b/images/df41779d1b7b89723483c7d2f8a566051ec441bfc2d15c9a778590faf3734051.jpeg,"['€45K–€55K a year', 'Work from home', 'Contractor', 'No degree mentioned']","What are we all about?

LifeCheq is a personal finance fintech business operating across South Africa. Our unique approach to financial advice and our market-leading advice platform has redefined the category. Our technology touches consumers, financial advisers and large enterprise institutions.

Clojure is core to our technology, and its philosophy is foundational to how we designed our systems. We rely on easy to read and immutable data structures, pure functions, and create complexity through composition of simple grokkable pieces. We primarily use Clojure for our backends, with a mixture of ClojureScript and TypeScript for our frontends. Key technologies include event sourcing, Lacinia (GraphQL), re-frame and sci.

Our business is funded by reputable institutional investors including Naspers, Futuregrowth and African Rainbow Capital, that believe in our mission: to help people make better financial decisions about their lives.
How you’ll grow in this role
• You will work in a cross functional squad, along with non-Clojure engineers, financial experts, designers and product people. Each squad with a clear focus on a set of customer related goals and outcomes, and autonomy in how to best realise that. With great autonomy comes great responsibility.
• Personal financial advice is one of the toughest business domains to crack: it will flex your design and coding skills, it will challenge how you test, integrate and deploy.
• As we continue growing, contribute to how we architect, deploy and monitor our systems.
• Learn with our 13 people strong Clojure team, that has an average of 14 years of experience;
• We’re scaling our operations significantly: grow with the company, and choose your technical or management path.

What skills you’ll bring
• Minimum 3 years of professional software development experience, fluency in core Clojure/ClojureScript;
• Flexibility across frontend/backend is a big plus, but specialisation in either is also welcome;
• Energy, joy, curiosity.
• This is a full-time, remote position. We need you to be fluent in English, and be able to work core hours for a UTC+2 time zone.",eyJqb2JfdGl0bGUiOiJNaWQtTGV2ZWwgQ2xvanVyZSAvIENsb2p1cmVTY3JpcHQgRW5naW5lZXIgKFJlbW90ZSwgNDVrLTU1ayBFVVIpIiwiY29tcGFueV9uYW1lIjoiTGlmZWNoZXEiLCJhZGRyZXNzX2NpdHkiOiJOaWdlcmlhIiwiaHRpZG9jaWQiOiJTRmhrUTBVazRWNW5UbXp4QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSFRtbG5aWEpwWVEiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,True,Contractor,2025-06-17 13:45:03.284984,Financial Engineer,Nigeria,,€45K–€55K a year
Fixed Income Trader,MeritAfrika Ltd,Nigeria,Glassdoor,,"['14 days ago', 'Full-time']","About MeritAfrika
MeritAfrika Ltd is a Nigerian investment management firm specializing in fixed income securities, with a particular focus on emerging markets such as Sub-Saharan Africa and Nigeria. MeritAfrika values the quality of its people and is committed to recruiting the best talent while providing a supportive environment for professional development. We are looking for a driven and commercially minded Sales Trader to join our team.

Key Responsibilities
• Identify, develop, and maintain strong relationships with institutional and corporate clients
• Trading of Eurobonds across Sub Saharan Africa.
• Monitor market trends and provide timely insights and trade ideas to clients
• Collaborate with internal teams to enhance trading strategies and client offerings
• Ensure compliance with regulatory requirements and internal controls
• Actively contribute to the growth and performance of the sales trading desk

What We’re Looking For

· Bachelor's degree in Finance or related field
• 3+ years of experience in a sales trading, brokerage, or client-facing financial markets role
• Proven ability to build and manage client relationships
• Strong analytical, communication, and negotiation skills
• SEC Sponsored Individual (preferably)
• Relevant professional qualifications (e.g., ACS, CFA, ACI) are a plus

Benefits:
• Competitive and negotiable salary
• Pension plan
• Medical insurance coverage

Job Type: Full-time

Pay: ₦1,000,000.00 - ₦1,500,000.00 per month",eyJqb2JfdGl0bGUiOiJGaXhlZCBJbmNvbWUgVHJhZGVyIiwiY29tcGFueV9uYW1lIjoiTWVyaXRBZnJpa2EgTHRkIiwiYWRkcmVzc19jaXR5IjoiTmlnZXJpYSIsImh0aWRvY2lkIjoiU2Excm5sb2VVbHZ5U1hHeEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUhUbWxuWlhKcFlRIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,,Full-time,2025-06-17 13:45:15.676060,Trader,Nigeria,14 days ago,
Financial Market Trader,Merjoh Ltd,Nigeria,Indeed,,['Full-time'],"2 months ago

Financial Market Trader

Merjoh Ltd

Accounting, Auditing & Finance

Remote (Work From Home) Full Time

Banking, Finance & Insurance NGN 75,000 - 150,000 Plus Commission

Easy Apply

Job Summary

We are seeking a motivated Entry Level Forex Trader to join our dynamic team. You must have a keen interest in the financial markets and a passion for currency or crypto trading. As a financial markets trader, you will already possess a winning edge but are open to extra guidance and mentorship in refining your trading skills and strategies.
• Minimum Qualification : High School (S.S.C.E)
• Experience Level : Entry level
• Experience Length : 2 years

Job Description/Requirements

Responsibilities:
• Monitor and analyze Forex markets to make informed trading decisions.
• Execute trades based on defined strategies and risk management techniques.
• Maintain up-to-date knowledge of market conditions and economic events that can affect currency prices.
• Collaborate with senior traders and participate in strategy sessions to improve trading performance.
• Keep accurate records of trades and provide reports on trading activity and results.Adhere to all our trading compliance regulations and guidelines.

Requirements:
• Bachelor’s degree in Finance, Economics, or Mathematics is a benefit but not mandatory
• Strong analytical skills and attention to detail.
• Proficiency in trading platforms and computers.Experience in financial markets is required.

What We Offer:
• 10k trading account
• Scaling profit share
• On-the-job training and mentorship.
• Remote work with flexible hours.
• Competitive bonuses.
• Opportunities for advancement.",eyJqb2JfdGl0bGUiOiJGaW5hbmNpYWwgTWFya2V0IFRyYWRlciIsImNvbXBhbnlfbmFtZSI6Ik1lcmpvaCBMdGQiLCJhZGRyZXNzX2NpdHkiOiJOaWdlcmlhIiwiaHRpZG9jaWQiOiJ4THltTnlGRjNuVHpYMUJjQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSFRtbG5aWEpwWVEiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,,Full-time,2025-06-17 13:45:15.676060,Trader,Nigeria,,
