title,company_name,location,via,thumbnail,extensions,description,job_id,posted_at,schedule_type,salary,date_time,search_term,search_location,work_from_home
Quantitative Researcher / Quantitative Research Analyst,Citadel Securities,Singapore,Built In,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb195968591393d1ac0962e59ef2c72b503173e34f52b6b98255369ec94704.png,"['11 days ago', 'Full-time', 'No degree mentioned']","Job Description
Role Summary
At Citadel Securities, a leading global market maker, our team of quantitative researchers models the markets and brings trading strategies to life every day. Specifically, this team develops and tests automated quant trading strategies using sophisticated statistical techniques. We're looking for an extraordinary quantitative researcher who is committed to our core values that include winning, acting with integrity, continuously learning, and cultivating a meritocracy.
Opportunities may be available from time to time in any location in which the business is based for suitable candidates. If you are interested in a career with Citadel, please share your details and we will contact you if there is a vacancy available.
Objectives
• Conduct research and statistical analyses in the evaluation of securities
• Work with large data sets, including unconventional data sources, to predict and test statistical market patterns
• Conceptualize valuation strategies, develop and continuously improve mathematical models, and translate algorithms into code
• Back test and implement trading models and signals in a live trading environment

Skills and Preferred Qualifications
• Advanced training in mathematics, statistics, physics, computer science, or another highly quantitative field
• Proficiency in probability & statistics (e.g. time-series analysis, machine learning, pattern recognition, NLP)
• Prior experience working in a data driven research environment
• Hands on programming experience in scripting (e.g. Python), analytical packages (e.g. R, Matlab) and/or compiled languages (e.g. C++)
• A background demonstrating strong analytical problem solving skills
• An ability to communicate advanced concepts in a concise and logical way
• Proficiency in creating and using algorithms to meticulously investigate and work through large data or error-checking problems

In accordance with applicable law, the base salary range for this role is $250,000 to $350,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.
About Citadel Securities
Citadel Securities is the next-generation capital markets firm and a leading global market maker. We provide institutional and retail investors with the liquidity they need to trade a broad array of equity and fixed income products in any market condition. The brightest minds in finance, science and technology use powerful, advanced analytics to solve the market's most critical challenges, turning big ideas into real-world outcomes.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAvIFF1YW50aXRhdGl2ZSBSZXNlYXJjaCBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiQ2l0YWRlbCBTZWN1cml0aWVzIiwiYWRkcmVzc19jaXR5IjoiU2luZ2Fwb3JlIiwiaHRpZG9jaWQiOiJuU3A5YTNucHpodWk1UF92QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlUybHVaMkZ3YjNKbCIsImdsIjoidXMiLCJobCI6ImVuIn0=,11 days ago,Full-time,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
Associate - Quant Research - ALMT,BNP Paribas Corporate & Institutional Banking,Singapore,Groupe BNP Paribas,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb1959685913930f0394009e29e8e5b8f4a713bd0a6c1cdabedf2db649669b.jpeg,"['15 days ago', 'Full-time']","Business Area/Dept Overview

ALM Treasury (Asset & Liabilities Management & Treasury), a transversal activity throughout the BNP Paribas Group, is responsible for managing the liquidity, interest rate and foreign exchange risks of the Bank’s balance sheet. ALM Treasury comprises a large team at its head office in Paris and local teams present in the Group’s branches and subsidiaries in France and abroad.

ALM Treasury has three operational responsibilities and two prudential mandates.

The three operational responsibilities are:
• The management of the Group's liquidity position, both in business-as-usual conditions and in crisis situations
• The management of the interest rate risks in the banking book
• The management of operational and structural foreign exchange risks, linked to the financing of the investments in foreign currencies and the sell down of the results in foreign currencies

The prudential mandate refers to the liquidity risks linked to the Group’s profile and geographical presence. It consists in assessing the liquidity risks and protecting the Group’s signature.

Job Purpose

Purpose: Within ALM Treasury Markets, the ALMT QR team has been tasked with strengthening the department’s Pricing, Risk Management and P&L Explain capabilities. This project will leverage on the platform developed within Global Markets while integrating ALM-T specific features to provide ALM Treasurers with a comprehensive pricing, risk and P&L Explain setup.

The ALMT QR, Associate level role, focuses on the management, development, delivery, maintenance and support of cross-asset analytics software libraries. The role holder will deliver designated tasks and activities accurately, within the required time frame and in accordance with defined processes. The role holder will seek supervision as required.

Core accountabilities of role
• A fully competent and experienced professional accountable for the delivery of often complex but routine activities within the team.
• Develops and adapts various model improvements around their accuracy or performance, such as the IRFX curve methodologies construction.
• Exercises judgement and applies knowledge to areas of improvement within the research process.
• Can operate autonomously, with the responsibility to report and escalate to line management where necessary.
• Designs and implements new pricing, risk management tools and methodologies, and improves the existing tools, processes and methodologies.
• Assists more senior members of the QR team with maintaining and enhancing pricing analytics, improving interfaces, optimising code and following the team’s best practice. For example:
• Develops, tests, delivers and supports tools based on analytics libraries
• Develops and implements analytic tools to calculate the various pricing analytics for Swaps, Govies, Xccy Swaps, FxSwaps.
• Supports the team on pricing all related requests
• Develops risks management tools
• Develops tools for the ALMT treasury desks
• Contributes to the development of the team analytics library.
• Assists the Bank in adapting to new regulations and capital charges by providing ideas or tools to estimate their impacts.
• Requires a strong and permanent cooperation with other quantitative developers and analysts, as well as with the trading/treasury desks and the IT divisions to ensure all quant developments integrate optimally with the IT ecosystem, thereby ensuring the best deliveries to the business.
• Contributes to project planning and tracking by being engaged in the planning process, and updating project stakeholders including senior Quants, Front Officers, ALMT Steering officers, ALMTCOO & IT. Using the appropriate tools such as Jira.
• Maintains open communication with the team and direct line management. In addition, as appropriate, liaises with internal risk functions: Legal, Compliance, Market and Credit Risk Management.

Able to work independently within the Singapore office while reporting to team head, located in Paris.

Knowledge, Skill and Experience
• Professional qualification in mathematics, statistics, physics, engineering or finance / econometrics or a PhD in another Science or engineering field, with an interest in finance modelling is required with some additional experience where relevant. Qualification through extensive experience in a relevant technical area is acceptable.
• Detailed knowledge of quantitative finance and options (knowledge of stochastic calculus and structured/exotic derivatives is advantageous but not required).
• Good working knowledge of a wide range of BNPP policies, procedures, regulations and legislation.
• Displays dedication & prioritises problems by considering the impact on the business; identifies quick-wins.
• Excellent business relationship management and development skills.
• Effective communicator who can align people to the broader vision of the business both internally and externally.
• Computer literacy and a good understanding of a range of standard computer software, e.g. Microsoft PowerPoint, Excel and word.
• Strong programming and coding knowledge, ideally knowledge of Ada, C, C++, C# languages and/or Python with a good understanding of what is required to write code which is both easy to test and debug and also achieves good computational performance.",eyJqb2JfdGl0bGUiOiJBc3NvY2lhdGUgLSBRdWFudCBSZXNlYXJjaCAtIEFMTVQiLCJjb21wYW55X25hbWUiOiJCTlAgUGFyaWJhcyBDb3Jwb3JhdGUgXHUwMDI2IEluc3RpdHV0aW9uYWwgQmFua2luZyIsImFkZHJlc3NfY2l0eSI6IlNpbmdhcG9yZSIsImh0aWRvY2lkIjoiVHF2MnlGd1N4NzFrdzR0c0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUpVMmx1WjJGd2IzSmwiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,15 days ago,Full-time,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
"Quantitative Researcher, Quantitative Strategies",Millennium,Singapore,LinkedIn Singapore,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb195968591393b98735d33132e642c01b76c825c6d1c3ecb979f4812dcaaa.jpeg,"['4 days ago', 'Full-time']","Job Description: Quantitative Researcher, Quantitative Strategies

Please direct all resume submissions to QuantTalentASIA@mlp.com and reference REQ-11766 in the subject.

Job Description

Quantitative Researcher as part of a small, collaborative team with a focus on equity and futures statistical arbitrage based in Asia

Location

Hong Kong, Singapore

Principal Responsibilities
• Working alongside the PM on developing systematic trading strategies, with a primary focus on: idea generation, data gathering and research/analysis, model implementation and backtesting for systematic equity strategies with a focus on Asian market statistical arbitrage / systematic strategies
• Combine sound financial insights and statistical learning techniques to explore, analyze, and harness a large variety of datasets in order to build strong predictive models which will be deployed to the investment process
• Collaborate with the PM in a transparent environment, engaging with the whole investment process

Preferred Technical Skills
• Strong research and programming skills
• Working knowledge of Matlab/Python and SQL are necessary
• Masters or PhD degree in a quantitative subject such as Computer Science, Applied Mathematics, Statistics, or related field

Preferred Experience
• Experience as a quantitative researcher in a mid-low frequency systematic trading environment with a focus on equities and/or futures
• Experience trading in Chinese equity markets stat arb and/or equity index futures across Asian markets
• Demonstrated ability to conduct independent research using large data sets
• Candidates with quantitative development experience will be considered as well, provided they also have relevant research experience

Highly Valued Relevant Experience
• Professional experience in a systematic trading environment (prop desk or hedge fund)
• Product experience in statistical arbitrage strategies

Target Start Date
• As soon as possible

Please direct all resume submissions to QuantTalentASIA@mlp.com and reference REQ-11766 in the subject.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciwgUXVhbnRpdGF0aXZlIFN0cmF0ZWdpZXMiLCJjb21wYW55X25hbWUiOiJNaWxsZW5uaXVtIiwiYWRkcmVzc19jaXR5IjoiU2luZ2Fwb3JlIiwiaHRpZG9jaWQiOiJzeDkwRWxneDRSa3NfQlFBQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlUybHVaMkZ3YjNKbCIsImdsIjoidXMiLCJobCI6ImVuIn0=,4 days ago,Full-time,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
Cubist Quantitative Researcher,Point72,Singapore,Built In,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb1959685913934dbd46eda9d5c8f1c6ea5606172a7c0d23f9e024570cda5a.jpeg,"['16 days ago', 'Full-time']","ABOUT CUBIST

Cubist Systematic Strategies, an affiliate of Point72, deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources.

ROLE

Our research center in Singapore is seeking an experienced researcher with a strong background in alpha research. In this highly selective role you will have access to abundant research resources and exciting opportunities to discover high quality alpha signals that directly drive our investment decisions.

RESPONSIBILITIES
• Conduct original quantitative alpha signal research
• Manage all aspects of the research process, including data analysis, alpha signal discovery, backtesting, trading idea generation, alpha signal/portfolio analysis and the management of production code
• Evaluate new datasets for alpha potential
• Follow, digest, analyze and improve upon the latest academic research

DESIRABLE CANDIDATES
• 2+ years of research experience in Equities.
• Ph.D. or M.S. in finance, accounting, economics, mathematics, statistics, physics, computer science, operations research, or another quantitative discipline.
• Programming in any of the following: R, Python, or C++.
• Experience with SQL.
• Demonstrated ability to learn and apply new methodologies to alpha generation.
• Ability to work both independently and collaboratively within a team.
• Strong desire to deliver high quality results in a timely fashion.
• Detail-oriented.
• Willingness to take ownership of his/her work.",eyJqb2JfdGl0bGUiOiJDdWJpc3QgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIiLCJjb21wYW55X25hbWUiOiJQb2ludDcyIiwiYWRkcmVzc19jaXR5IjoiU2luZ2Fwb3JlIiwiaHRpZG9jaWQiOiJNQjlzMGhrTjRFSDk0R3ZrQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlUybHVaMkZ3YjNKbCIsImdsIjoidXMiLCJobCI6ImVuIn0=,16 days ago,Full-time,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
"Quantitative Researcher – Market Microstructure, Liquidity and Transaction Cost Analysis – Equities | Singapore, SG",PSD,Singapore,EFinancialCareers,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb195968591393800865cc6e39f6964e1eaa1bdb545e15d53c10c1d02299b9.jpeg,"['5 days ago', 'Full-time', 'No degree mentioned']","Quantitative Researcher – Market Microstructure, Liquidity and Transaction Cost Analysis – Equities

Location: Singapore (as preference), but could be based in London/New York

Job Type: Permanent

Overview

A global institutional investment firm, covering a diverse set of asset classes and business sectors is looking for a quantitative researcher to join their research function to perform quantitative analysis, with particular emphasis on market microstructure and liquidity dynamics to optimize execution performance and systematize investment decision frameworks. This role will provides access to an extensive network of global industry leaders and ability to work in a distinguished international long-term investment institution.

Position Overview

The firm is looking for an accomplished professional with deep expertise in equity markets to join their expanding team and strengthen their ability to provide forward-thinking and data-driven analysis to the portfolio management and trading team.

Key Responsibilities

• Work with the Head of department to develop the strategic direction for execution research across equities and other listed securities.
• Deliver innovative quantitative solutions and contribute to department research discussions and provide mentorship to junior team members.
• Research various trading counterparties, algo selection, market impact modelling and intraday trading and execution scheduling.
• Systematically identify drivers of execution performance and develop frameworks for their analysis.
• Proactively link themes, concepts, and ideas across asset classes to deliver insightful market analysis with a liquidity and microstructure perspective.
• Deliver research from idea generation to through to production, working with a team of developers to implement models.
• Show curiosity about equity markets, an identify opportunities to enhance trading and execution with strong understanding of market microstructure.
• Work with large databases and transaction information through inhouse and external systems.

Qualifications and Skills
• Substantial professional background in analytical roles (including analyst, strategist, researcher, trader, data scientist, or quantitative product manager positions)
• Demonstrated history of developing models, conducting analysis, preparing reports, and creating tools using quantitative methodologies, preferably with stakeholder-facing responsibilities
• Deep fascination with international equity market structure and current developments, coupled with the capability to convert raw data into practical recommendations
• Comprehensive knowledge of electronic and systematic execution processes, along with associated evaluations including Transaction Cost Analysis (TCA) and projected cost modeling
• Background collaborating directly with trading professionals (both systematic and discretionary) and technology teams is advantageous though not mandatory
• Thorough grasp of machine learning techniques' relevance and implementation for execution optimization and counterparty assessment
• Hands-on experience in research project design and multi-stakeholder coordination
• Proficient programming abilities in languages including Python, R, SQL, and kdb/Q
• Meticulous attention to detail with unwavering dedication to upholding superior standards of precision and methodological rigor across all responsibilities",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciDigJMgTWFya2V0IE1pY3Jvc3RydWN0dXJlLCBMaXF1aWRpdHkgYW5kIFRyYW5zYWN0aW9uIENvc3QgQW5hbHlzaXMg4oCTIEVxdWl0aWVzIHwgU2luZ2Fwb3JlLCBTRyIsImNvbXBhbnlfbmFtZSI6IlBTRCIsImFkZHJlc3NfY2l0eSI6IlNpbmdhcG9yZSIsImh0aWRvY2lkIjoiWGdoT3pPSnE3SzcyenJQc0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUpVMmx1WjJGd2IzSmwiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,5 days ago,Full-time,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
Campus Quantitative Researcher (Intern),Jump Trading,Singapore,Jump Trading,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb195968591393b1b9cb004e410eea221cab54857b2ccd39d373cef43b6750.png,['Internship'],"Jump Trading Group is committed to world class research. We empower exceptional talents in Mathematics, Physics, and Computer Science to seek scientific boundaries, push through them, and apply cutting edge research to global financial markets. Our culture is unique. Constant innovation requires fearlessness, creativity, intellectual honesty, and a relentless competitive streak. We believe in winning together and unlocking unique individual talent by incenting collaboration and mutual respect. At Jump, research outcomes drive more than superior risk adjusted returns. We design, develop, and deploy technologies that change our world, fund start-ups across industries, and partner with leading global research organizations and universities to solve problems.

Our trading teams are each comprised of a dynamic group of traders, quantitative researchers, and engineers who work together to examine the global markets, seeking to understand the complexities of various traded products and exchanges. They leverage their impeccable statistical analysis and data mining skills, using the results of their research to make forecasts and develop profitable predictive trading models.

-------------------------------
Quantitative Researcher, Internship (Singapore/Mumbai)
• Timing of application consideration and interviews will vary to accommodate university timelines.
-------------------------------

About the Role:

We build predictive models from big data and develop algorithms to automatically execute trades in dozens of financial exchanges around the world.

At Jump you will have the opportunity to contribute in a blend of three roles – quant researcher / data scientist, trader, and software developer – based on your incoming skills and background, interest and curiosity, and the new skills and industry knowledge that you will learn at Jump.

Our 10-week internship program begins with a training program focused on enhancing your knowledge of trading, programming, and quant research. The training consists of in-house courses and trading simulation developed and delivered by experienced quant researchers, traders, and developers. We have experts from around the firm who will teach you advanced skills in a variety of areas such as Machine Learning, Trading / Market Mechanics, Statistics, R, Python, C++, and our research process.

You will later be coached to successfully apply those skills during rotations with trading teams and research projects with mentorship from experienced quants/traders. You will help build predictive models, leveraging one of the largest supercomputers in the world, and devise automated trading strategies to test in the markets against world-class competition. Other duties as assigned or needed.

Who Should Apply?

We are seeking the sharpest analytical minds from top undergraduate and graduate programs. Ideal candidates have an uncommon drive to learn and improve, an entrepreneurial spirit, and strong skills in programming and/or quantitative analysis (statistics, data mining, mathematics, machine learning, etc.).

No prior knowledge of finance or trading is necessary. We’ll give you the training that you’ll need.

Reliable and predictable availability required.

Although we strongly value training in Computer Science and Mathematics, we are excited to meet people with exceptional achievements in any technical discipline. Recent hires include students from fields such as Electrical Engineering, Statistics, Physics, Neuroscience, Materials Science, Operations Research, and more.

If you have outstanding skills in math and programming and you are curious about the challenge of improving research with daily feedback from competitive markets, we hope you’ll apply.",eyJqb2JfdGl0bGUiOiJDYW1wdXMgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIgKEludGVybikiLCJjb21wYW55X25hbWUiOiJKdW1wIFRyYWRpbmciLCJhZGRyZXNzX2NpdHkiOiJTaW5nYXBvcmUiLCJodGlkb2NpZCI6InJqSlhmQkR0OXBXRC1UVlhBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTJsdVoyRndiM0psIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,,Internship,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
"Quantitative Researcher, Deep Research",WorldQuant,Singapore,Built In,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb195968591393cb76e1dbdf2c3fee8e6c80f7ce277eb2a0a9066bd8d532cb.jpeg,"['15 days ago', 'Full-time']","WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.

WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it.

The Role:
• This is a highly unique opportunity for a Quantitative Researcher to join a new and rapidly growing team. In this role you will partner with a close-knit team of data scientists, data engineers, technologists and data sourcing colleagues to identify and research new sector or broad Alphas based on a deep understanding of fundamentals.
• Develop a structured and methodical research agenda combining fundamental knowledge, data exploration and quantitative analysis.
• Become a domain expert on each fundamental topic you cover, identify key information drivers to target your research.
• Conduct detailed data exploration to acquire a comprehensive understanding of the data used to generate Alphas; enrich a wide range of structured and unstructured data into datasets to enable your quantitative research.
• Take a process orientated approach to understand the value drivers of your Alphas.

What You’ll Bring:
• At least 1 year experience as a Data Scientist, ideally in a financial / investment setting.
• Proven experience of extracting insights from large and complex datasets using SQL and Python. Experience with alternative datasets a plus.
• Demonstrable financial knowledge - passed at least Level I of the CFA program, or similar financial qualification (i.e., MBA or accountancy background). Thorough understanding about various valuation approaches and methods.
• Expertise in time series analysis and models.
• Proficient in coding in C/C++ and Python.
• Excellent communications skills (both written and oral English).
• Strong analytical and conceptual skills encompassing finance and related areas of financial investment.
• Familiarity with various research/database platforms (Bloomberg, Reuters etc.) would be preferred.

By submitting this application, you acknowledge and consent to terms of the WorldQuant Privacy Policy. The privacy policy offers an explanation of how and why your data will be collected, how it will be used and disclosed, how it will be retained and secured, and what legal rights are associated with that data (including the rights of access, correction, and deletion). The policy also describes legal and contractual limitations on these rights. The specific rights and obligations of individuals living and working in different areas may vary by jurisdiction.

Copyright © 2025 WorldQuant, LLC. All Rights Reserved.
WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciwgRGVlcCBSZXNlYXJjaCIsImNvbXBhbnlfbmFtZSI6IldvcmxkUXVhbnQiLCJhZGRyZXNzX2NpdHkiOiJTaW5nYXBvcmUiLCJodGlkb2NpZCI6IjVybXRzYjJmNzFhSU9oazRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTJsdVoyRndiM0psIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,15 days ago,Full-time,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
Quantitative Researcher,MERIDIAN & SATURN CAPITAL PTE. LTD.,Singapore,MyCareersFuture,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb195968591393d64ac25d9217fff187ce3542ef857e8bc41ef12e8a1b766f.jpeg,"['27 days ago', 'SGD\xa06K–SGD\xa09K a month', 'Full-time']","MS Capital is a private fund management company with a strong founding team of long-accumulated experience in strategy modelling, trading system and platform development, adopting advanced artificial intelligence technology as the cornerstone, and enforcing strict investment management, to achieve sustained and stable returns. We are expending the team, searching for experienced candidates have strong background & skills in programing, statistics modelling, data analysis, etc.

Roles & Responsibilities:

· Research and develop international market, secondary market trading and investment strategies

· Leverage programming and analytical tools to drive quantitative strategies through a data-driven approach with continuous iteration

· Extracting patterns from market microstructure, trading, fundamentals, events and other multivariate data to build diversified quantitative strategy models

Qualifications

· Bachelor's degree or above in bussiness, quantitative finance, mathematics, computer science, or related field

· Familiar with Python / C++ or other high-level programing languages

· Strong communication skills and learning ability.

· Experience in quantitative research, through industry internships, academic, or personal projects.

Plus Points:

· Experienced in using big data to predict and test statistical market models

· Experienced in AI / ML research for quantitative analysis

· Experienced in competitions such as Kaggle, ILSVRC, and other internationally recognised competitions including IMO, IOI, IPhO, etc.

Interested applicants please apply directly here or send your resume to hr@mscapital.sg",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciIsImNvbXBhbnlfbmFtZSI6Ik1FUklESUFOIFx1MDAyNiBTQVRVUk4gQ0FQSVRBTCBQVEUuIExURC4iLCJhZGRyZXNzX2NpdHkiOiJTaW5nYXBvcmUiLCJodGlkb2NpZCI6IjhDOGEzbElZVS02Mi1uMGxBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTJsdVoyRndiM0psIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,27 days ago,Full-time,SGD 6K–SGD 9K a month,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
Quantitative Researcher - HFT,Algo Capital Group,Singapore,Singapore Jobs Expertini,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb1959685913933eb2fd9abbdc5b15508f5b06bb5365086c34b35af0328697.jpeg,"['1 day ago', 'Full-time']","Quantitative Researcher – High Frequency Trading
A world leading prop firm is seeking a highly skilled and experienced Quantitative Researcher to join their world-class HFT team. In this role, you will be responsible for designing, implementing, and optimizing high-performance algorithmic trading strategies. You will collaborate with top academic minds in research and engineering to continually improve existing strategies and stay at the forefront of quantitative trading advancements.
Responsibilities:
Design, implement, and optimize HFT algorithmic strategies
Collaborate with the best academic minds in research and engineering to continually improve existing strategies and develop new ones.
Manage risk effectively to optimize trading performance.
Investigate and implement new trading products and strategies.
Stay up-to-date with the latest advancements in quantitative trading and apply them to improve trading strategies.
Qualifications:
Bachelor’s or master’s degree in a quantitative field such as Mathematics, Physics, Statistics, Computer Science, or related fields.
Proven track record of designing, implementing, and optimizing algorithmic trading strategies.
Proficient in machine learning techniques and tools.
Excellent analytical and problem-solving skills.
Strong coding skills in languages such as Python, C++, or Java.
Ability to work in a fast-paced, dynamic environment.
Strong communication and leadership skills.
A competitive compensation package, including a base salary and performance-based bonuses, is offered. You will have the opportunity to work with cutting-edge technology and collaborate with top academic minds in the field of quantitative trading. Please apply now for more information.
Seniority level
Seniority level Mid-Senior level
Employment type
Employment type Full-time
Job function
Job function Finance, Information Technology, and Analyst
Industries Capital Markets, Investment Management, and Financial Services
Referrals increase your chances of interviewing at Algo Capital Group by 2x
Get notified about new Quantitative Researcher jobs in
Singapore, Singapore .
Analyst, Quantitative Research & Trading
Quantitative Researcher – Vol Mid Frequency
Quantitative Researcher - Mid Freq Futures & Equities
Quantitative Researcher – Mid Frequency Crypto
Quantitative Researcher (HFT Alpha Generation)
VP, Fixed Income and Multi Asset, Macro Quant (FX and Rates) - Portfolio Manager 16169
VP, Lead Quantitative Strategist, External Managers 16076
Research Fellow (Probability and Analysis)
Fundamental Researcher, MI-Canvas International
Senior Researcher, Natural Language Processing
Research Fellow, Dept of Analytics and Operations
Research Assistant (Society & Culture) (28627)
Senior Data Scientist - Singapore Efficiency Team
Senior Quantitative User Experience Researcher (Frontend) (Bangkok-based, Relocation provided)
Principal Quantitative User Experience Researcher (Frontend) (Bangkok-based, Relocation provided)
GenAI Data Engineer/Scientist (Financial Services), Manager/Senior Consultant, Technology Consulting
AVP/VP, Data Scientist, Internal Audit Department 16461
Manager, Artificial Intelligence Office (Data Scientist)
Health Data Scientist (Project Manager/Team Leader)
We’re unlocking community knowledge in a new way. Experts add insights directly into each article, started with the help of AI.
#J-18808-Ljbffr",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAtIEhGVCIsImNvbXBhbnlfbmFtZSI6IkFsZ28gQ2FwaXRhbCBHcm91cCIsImFkZHJlc3NfY2l0eSI6IlNpbmdhcG9yZSIsImh0aWRvY2lkIjoibzhYclQxOG9kcTRvN0NiVkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUpVMmx1WjJGd2IzSmwiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,1 day ago,Full-time,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
Quantitative Researcher – Mid Frequency Crypto,Algo Capital Group,Singapore,LinkedIn Singapore,https://serpapi.com/searches/685140cdcf8870799741b21c/images/3ffb19596859139342c6d557fcae3a0272202584ff342fc733b65d04834a4a40.jpeg,"['5 days ago', 'Full-time', 'No degree mentioned']","Quantitative Researcher – Mid Freq Crypto

Apply advanced mathematical models and statistical techniques to develop alpha-generating MFT strategies in crypto. Our client, a world-leading proprietary trading fund is seeking Senior Quantitative Traders to develop and execute mid-frequency trading strategies in the digital asset space. If you have experience in market microstructure, statistical arbitrage and are eager to dive into real-time trading, this role is for you. You’ll collaborate with a multidisciplinary team of engineers and quants to deploy real-time, scalable trading solutions and have the autonomy to implement your own trading strategies.

What you’ll do:
• Design and implement mid-frequency trading strategies for digital assets.
• Work closely with infrastructure teams to optimize latency and execution.
• Leverage data to continuously refine strategies and stay ahead of market trends.

What’s in it for you?
• Be immersed in cutting-edge mid-frequency trading systems and strategies for the crypto space.
• Competitive salary with profit-sharing opportunities based on performance.
• A dynamic and fast-paced environment with tier-1 infrastructure access.

Key Skills & Knowledge:
• 4+ years’ experience with Python.
• Extensive expertise in mathematics and statistics, with a particular focus on statistical modelling and signal generation.
• Experience as a crypto mid-frequency quantitative trader, proven multi-year track record of consistent PnL within a systematic statistical arbitrage context and a 3+ Sharpe ratio.

Please apply now for more information.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciDigJMgTWlkIEZyZXF1ZW5jeSBDcnlwdG8iLCJjb21wYW55X25hbWUiOiJBbGdvIENhcGl0YWwgR3JvdXAiLCJhZGRyZXNzX2NpdHkiOiJTaW5nYXBvcmUiLCJodGlkb2NpZCI6ImZlZVJKc0U2dDNTakNPX3JBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTJsdVoyRndiM0psIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,5 days ago,Full-time,,2025-06-17 12:17:59.546321,Quantitative Researcher,Singapore,
