title,company_name,location,via,thumbnail,extensions,description,job_id,work_from_home,schedule_type,date_time,search_term,search_location,posted_at,salary
Quant Trader,Gate.io,Anywhere,Jobgether,https://serpapi.com/searches/685155dbbd1c20e50b749058/images/4dd9775c64d08baa1fc7f1786849e3d5e9273d74186c68395a1a162cbb74572f.jpeg,['Work from home'],"This a Full Remote job, the offer is available from: APAC

我们的愿景
作为全球⼗⼤数字资产交易所之⼀（仍在上升🚀），我们在交易、安全 和区块链产品创新⽅⾯提供⼀流的服务体验。
我们的⽬标是让所有⼈都能参与到加密市场的建设中来，使得最前沿的、最有潜⼒的加密货币项⽬得以安全上线并交易。你有兴趣加⼊这样⼀⽀去中⼼化团队吗？

岗位职责
• 負責日常交易交易策略的執行，風險管理，確保策略順利實施；
• 研究交易策略，負責構建、調整和優化投資組合，控制風險，實現收益目
• 與IT開發人員合作優化系統，結合實盤經驗將策略進行系統實現。
• 交易首長交辦的其他工作
任职资格
• -全日制碩士及以上學歷，電腦、金融工程、數量經濟、數理金融、統計學、應用數學等相關專業
• -對做市和量化交易有熱情，海外相關工作經歷者優先；
• -熟悉量化業務及規則，精通各類定價、套利及回測模型；
• -團隊合作意識强、抗壓能力强、書面及語言表達能力强、工作責任心强、正直誠信；
• -具備使用Python等語言進行程式設計的基礎，擁有一定程度的資料處理，策略編寫回測或實現能力；
• -工作認真高效，抗壓能力强，有良好的團隊意識Gate价值观
我们崇尚价值⾄上的原则，您的知识、愿景和⾃主性将在这⾥充分发挥， 我们专注于使⽤最好的产品和服务来赢得全球客户的赞誉，并将去中⼼化的理念带到世界各地。
我们的价值观包含正直、洞察、创新、求知与合作，在Gate.io ，我们致⼒于打造独特的Gate风格，并寻找与Gate.io价值观相契合的你。

我们的公司
Gate.io成⽴于2013年，是领先的加密货币交易所之⼀，在全球范围内提供 与多种领先数字资产交易相关的服务。Gate.io拥有超千万的注册⽤户，被认为是全球最安全和最可靠的加密货币平台之⼀。 Gate.io已经过区块链透明度验证，根据流动性和交易量 ，⼀直稳居全球⼗⼤加密货币交易所⾏列（CoinGecko）。

This offer from ""Gate.io"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIiLCJjb21wYW55X25hbWUiOiJHYXRlLmlvIiwiYWRkcmVzc19jaXR5IjoiU3JpIExhbmthIiwiaHRpZG9jaWQiOiJ6bjdpV1FDVHhrdFFoNHdnQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlUzSnBJRXhoYm10aCIsImdsIjoidXMiLCJobCI6ImVuIn0=,True,,2025-06-17 13:47:41.085851,Quantitative Trader,Sri Lanka,,
Quant Trader (Market Making),Hyphen Connect,Anywhere,Jobgether,https://serpapi.com/searches/685155dbbd1c20e50b749058/images/4dd9775c64d08baa152ce526e4e769a8232ea2b8906bde9ad268978b80729dfa.jpeg,"['Work from home', 'Full-time']","This a Full Remote job, the offer is available from: APAC

Our client is a Crypto HF, aims to enhance their investment offerings to clients by expanding their Market Making desk. Currently, the team is seeking a Quant Trader who possesses expertise in developing and implementing liquidity-focused strategies, risk management, and dynamic optimization. You will collaborate closely with the technology team and have the responsibility of designing systems to support your work. As the business grows, there is a potential for significant ownership of the desk.

This opportunity is open to candidates worldwide with remote work options.

In This Role, Your Key Responsibilities Will Include:
• Develop and execute market-making strategies across various crypto assets to provide liquidity and enhance market efficiency.
• Continuously monitor and analyze market conditions, adjusting trading strategies to optimize profitability and minimize risks.
• Utilize advanced quantitative models and algorithms to make informed trading decisions.
• Collaborate closely with the technology team to develop and improve trading systems and tools.
• Manage the trading book, ensuring accurate and timely execution of trades and proper risk management practices.
• Implement and oversee risk control strategies to mitigate potential market and operational risks.
• Provide real-time market insights and analysis to the investment management team.
• Maintain compliance with industry regulations and internal policies, ensuring all trading activities are conducted ethically and legally.
• Participate in the development of new trading strategies and contribute to the overall growth of the trading desk.

Key Requirements:
• Bachelor’s or Master’s degree in Finance, Economics, Mathematics, or a related field from a renowned university.
• Significant experience in a trading role within top name exchanges, trading firms, or hedge funds, with a focus on market making.
• In-depth knowledge of cryptocurrency markets and blockchain technology.
• Expertise in the development and execution of quantitative trading strategies.
• Self-motivated and eager to be successful.
• Experienced in using trading platforms and tools, with a deep understanding of market microstructure.
• Strong background in risk management and compliance within financial services.
• Ability to work under pressure in a fast-paced trading environment.

#LI-REMOTE

This offer from ""Hyphen Connect"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIgKE1hcmtldCBNYWtpbmcpIiwiY29tcGFueV9uYW1lIjoiSHlwaGVuIENvbm5lY3QiLCJhZGRyZXNzX2NpdHkiOiJTcmkgTGFua2EiLCJodGlkb2NpZCI6Ii1BXzctZmNybTg2Q0JaZlRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTNKcElFeGhibXRoIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,True,Full-time,2025-06-17 13:47:41.085851,Quantitative Trader,Sri Lanka,,
Quantitative Researcher,Gate.io,Anywhere,Himalayas.app,https://serpapi.com/searches/685155dbbd1c20e50b749058/images/4dd9775c64d08baa5fcaf2bfb9798b1242e0881ebb1a2fc76ef5e283bbead5d6.jpeg,"['Work from home', 'Full-time']","我们的愿景
作为全球⼗⼤数字资产交易所之⼀（仍在上升🚀)），我们在交易、安全 和区块链产品创新⽅⾯提供⼀流的服务体验。
我们的⽬标是让所有⼈都能参与到加密市场的建设中来，使得最前沿的、最有潜⼒的加密货币项⽬得以安全上线并交易。你有兴趣加⼊这样⼀⽀去中⼼化团队吗？
岗位职责
• 清理市场量价数据，深度挖掘隐含金融信息，建立统计学模型、时间序列模型或机器学习模型
• 洞察相关市场，参与高频交易框架搭建、高频回测与模拟体系搭建和相关策略开发
• 与trader团队密切合作 ,建立并优化模型自动交易流程
任职要求
• 海内外知名高校硕士及以上，数学、统计学、物理、工程、计算机等相关专业
• 对高频策略、做市策略、中短期CTA策略至少一种有经验，市场不限，最好有实盘表现
• 有Kaggle等竞赛经验和名次者，有做市商从业经验者优先
• 熟练掌握 Python或其他编程语言,逻辑思能力强,对数字敏感
关于Gate
我们崇尚价值⾄上的原则，您的知识、愿景和⾃主性将在这⾥充分发挥， 我们专注于使⽤最好的产品和服务来赢得全球客户的赞誉，并将去中⼼化的理念带到世界各地。
我们的价值观包含正直、洞察、创新、求知与合作，在Gate.io ，我们致⼒于打造独特的Gate风格，并寻找与Gate.io价值观相契合的你。
Gate.io成⽴于2013年，是领先的加密货币交易所之⼀，在全球范围内提供与多种领先数字资产交易相关的服务。Gate.io拥有超千万的注册⽤户，被认为是全球最安全和最可靠的加密货币平台之⼀。 Gate.io已经过区块链透明度验证，根据流动性和交易量，⼀直稳居全球⼗⼤加密货币交易所⾏列（CoinGecko）。",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciIsImNvbXBhbnlfbmFtZSI6IkdhdGUuaW8iLCJhZGRyZXNzX2NpdHkiOiJTcmkgTGFua2EiLCJodGlkb2NpZCI6IndGZVhVLVNwVGJMMm41dUNBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTNKcElFeGhibXRoIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,True,Full-time,2025-06-17 13:47:41.085851,Quantitative Trader,Sri Lanka,,
Quantitative Researcher,Gate.io,Anywhere,Jobgether,https://serpapi.com/searches/685155dbbd1c20e50b749058/images/4dd9775c64d08baaa300f30b6bdbaf01422fa4e3b9901111d0715234c0c40168.jpeg,"['Work from home', 'Full-time']","This a Full Remote job, the offer is available from: APAC

我们的愿景
作为全球⼗⼤数字资产交易所之⼀（仍在上升🚀)），我们在交易、安全 和区块链产品创新⽅⾯提供⼀流的服务体验。
我们的⽬标是让所有⼈都能参与到加密市场的建设中来，使得最前沿的、最有潜⼒的加密货币项⽬得以安全上线并交易。你有兴趣加⼊这样⼀⽀去中⼼化团队吗？

岗位职责
• 清理市场量价数据，深度挖掘隐含金融信息，建立统计学模型、时间序列模型或机器学习模型
• 洞察相关市场，参与高频交易框架搭建、高频回测与模拟体系搭建和相关策略开发
• 与trader团队密切合作 ,建立并优化模型自动交易流程
任职要求
• 海内外知名高校硕士及以上，数学、统计学、物理、工程、计算机等相关专业
• 对高频策略、做市策略、中短期CTA策略至少一种有经验，市场不限，最好有实盘表现
• 有Kaggle等竞赛经验和名次者，有做市商从业经验者优先
• 熟练掌握 Python或其他编程语言,逻辑思能力强,对数字敏感关于Gate
我们崇尚价值⾄上的原则，您的知识、愿景和⾃主性将在这⾥充分发挥， 我们专注于使⽤最好的产品和服务来赢得全球客户的赞誉，并将去中⼼化的理念带到世界各地。
我们的价值观包含正直、洞察、创新、求知与合作，在Gate.io ，我们致⼒于打造独特的Gate风格，并寻找与Gate.io价值观相契合的你。

Gate.io成⽴于2013年，是领先的加密货币交易所之⼀，在全球范围内提供与多种领先数字资产交易相关的服务。Gate.io拥有超千万的注册⽤户，被认为是全球最安全和最可靠的加密货币平台之⼀。 Gate.io已经过区块链透明度验证，根据流动性和交易量，⼀直稳居全球⼗⼤加密货币交易所⾏列（CoinGecko）。

This offer from ""Gate.io"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciIsImNvbXBhbnlfbmFtZSI6IkdhdGUuaW8iLCJhZGRyZXNzX2NpdHkiOiJTcmkgTGFua2EiLCJodGlkb2NpZCI6IjlCY281dkdnOWl4TkVxMmZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTNKcElFeGhibXRoIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,True,Full-time,2025-06-17 13:47:41.085851,Quantitative Trader,Sri Lanka,,
Quant Trader,Gate.io,Anywhere,Jobgether,https://serpapi.com/searches/685155dd018c4885ffd75e18/images/4c006606eaec32d746e9f77ea0924180dbdc94321c60489ae83cfccb5186ddc4.jpeg,['Work from home'],"This a Full Remote job, the offer is available from: APAC

我们的愿景
作为全球⼗⼤数字资产交易所之⼀（仍在上升🚀），我们在交易、安全 和区块链产品创新⽅⾯提供⼀流的服务体验。
我们的⽬标是让所有⼈都能参与到加密市场的建设中来，使得最前沿的、最有潜⼒的加密货币项⽬得以安全上线并交易。你有兴趣加⼊这样⼀⽀去中⼼化团队吗？

岗位职责
• 負責日常交易交易策略的執行，風險管理，確保策略順利實施；
• 研究交易策略，負責構建、調整和優化投資組合，控制風險，實現收益目
• 與IT開發人員合作優化系統，結合實盤經驗將策略進行系統實現。
• 交易首長交辦的其他工作
任职资格
• -全日制碩士及以上學歷，電腦、金融工程、數量經濟、數理金融、統計學、應用數學等相關專業
• -對做市和量化交易有熱情，海外相關工作經歷者優先；
• -熟悉量化業務及規則，精通各類定價、套利及回測模型；
• -團隊合作意識强、抗壓能力强、書面及語言表達能力强、工作責任心强、正直誠信；
• -具備使用Python等語言進行程式設計的基礎，擁有一定程度的資料處理，策略編寫回測或實現能力；
• -工作認真高效，抗壓能力强，有良好的團隊意識Gate价值观
我们崇尚价值⾄上的原则，您的知识、愿景和⾃主性将在这⾥充分发挥， 我们专注于使⽤最好的产品和服务来赢得全球客户的赞誉，并将去中⼼化的理念带到世界各地。
我们的价值观包含正直、洞察、创新、求知与合作，在Gate.io ，我们致⼒于打造独特的Gate风格，并寻找与Gate.io价值观相契合的你。

我们的公司
Gate.io成⽴于2013年，是领先的加密货币交易所之⼀，在全球范围内提供 与多种领先数字资产交易相关的服务。Gate.io拥有超千万的注册⽤户，被认为是全球最安全和最可靠的加密货币平台之⼀。 Gate.io已经过区块链透明度验证，根据流动性和交易量 ，⼀直稳居全球⼗⼤加密货币交易所⾏列（CoinGecko）。

This offer from ""Gate.io"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIiLCJjb21wYW55X25hbWUiOiJHYXRlLmlvIiwiYWRkcmVzc19jaXR5IjoiU3JpIExhbmthIiwiaHRpZG9jaWQiOiJ6bjdpV1FDVHhrdFFoNHdnQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlUzSnBJRXhoYm10aCIsImdsIjoidXMiLCJobCI6ImVuIn0=,True,,2025-06-17 13:47:42.505251,Algorithmic Trader,Sri Lanka,,
Quant Trader (Market Making),Hyphen Connect,Anywhere,Jobgether,https://serpapi.com/searches/685155dd018c4885ffd75e18/images/4c006606eaec32d75edec07139d82a920a1076d8d2fd481dc78e00c74349cf2e.jpeg,"['Work from home', 'Full-time']","This a Full Remote job, the offer is available from: APAC

Our client is a Crypto HF, aims to enhance their investment offerings to clients by expanding their Market Making desk. Currently, the team is seeking a Quant Trader who possesses expertise in developing and implementing liquidity-focused strategies, risk management, and dynamic optimization. You will collaborate closely with the technology team and have the responsibility of designing systems to support your work. As the business grows, there is a potential for significant ownership of the desk.

This opportunity is open to candidates worldwide with remote work options.

In This Role, Your Key Responsibilities Will Include:
• Develop and execute market-making strategies across various crypto assets to provide liquidity and enhance market efficiency.
• Continuously monitor and analyze market conditions, adjusting trading strategies to optimize profitability and minimize risks.
• Utilize advanced quantitative models and algorithms to make informed trading decisions.
• Collaborate closely with the technology team to develop and improve trading systems and tools.
• Manage the trading book, ensuring accurate and timely execution of trades and proper risk management practices.
• Implement and oversee risk control strategies to mitigate potential market and operational risks.
• Provide real-time market insights and analysis to the investment management team.
• Maintain compliance with industry regulations and internal policies, ensuring all trading activities are conducted ethically and legally.
• Participate in the development of new trading strategies and contribute to the overall growth of the trading desk.

Key Requirements:
• Bachelor’s or Master’s degree in Finance, Economics, Mathematics, or a related field from a renowned university.
• Significant experience in a trading role within top name exchanges, trading firms, or hedge funds, with a focus on market making.
• In-depth knowledge of cryptocurrency markets and blockchain technology.
• Expertise in the development and execution of quantitative trading strategies.
• Self-motivated and eager to be successful.
• Experienced in using trading platforms and tools, with a deep understanding of market microstructure.
• Strong background in risk management and compliance within financial services.
• Ability to work under pressure in a fast-paced trading environment.

#LI-REMOTE

This offer from ""Hyphen Connect"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIgKE1hcmtldCBNYWtpbmcpIiwiY29tcGFueV9uYW1lIjoiSHlwaGVuIENvbm5lY3QiLCJhZGRyZXNzX2NpdHkiOiJTcmkgTGFua2EiLCJodGlkb2NpZCI6Ii1BXzctZmNybTg2Q0JaZlRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTNKcElFeGhibXRoIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,True,Full-time,2025-06-17 13:47:42.505251,Algorithmic Trader,Sri Lanka,,
Cryptocurrency Trading Systems Developer (Remote Work),Kenetic Capital,"Colombo, Sri Lanka",Rooster - Jobs,https://serpapi.com/searches/685155dd018c4885ffd75e18/images/4c006606eaec32d79b82cff1a5176c6e3b5f5e4cfcc466c2db0e1497fed0c29c.png,['Full-time'],"Cryptocurrency Trading Systems Developer (Remote)

Kenetic is looking for an experienced developer to help us build trading systems for crypto currencies in the rapidly evolving class of digital assets. We’re a young, rapidly expanding, and highly profitable firm, amongst the brightest minds in the industry. You’ll help develop and support systems that execute millions of trades on ‘crypto’ exchanges across the globe.

Who we are:

Kenetic Trading is a proprietary trading firm that deploys algorithmic high frequency trading strategies in the global cryptocurrency markets. Based in Hong Kong, we’re a 24/7 business, trading decentralized digital assets in 10+ locations around the globe, with a team of world-class talent spanning 5 countries.

We’re one of the fastest growing market makers in the industry. Our arbitrage engines execute millions of orders a day, and our trading team combines a systematic approach with sophisticated pricing models, iterating often to ensure consistent, robust trading performance.

More information can be found on our company website: http://www.kenetic.capital

What we offer:

· Opportunity to learn from our experienced development and trading team in a culture that encourages curiosity and actively supports your growth.

· Informal, collaborative and social culture that rewards great results.

· The flexibility of working from home, with opportunities to travel to Hong Kong for team activities.

· We’ve been operating a remote workforce for 1.5 years, with continual video streaming to ensure all staff feel connected and engaged.

What you’ll do:

● Develop C++ software to connect to crypto currency exchanges

● Develop trading system infrastructure in python as directed

● Develop tools, simulation engines and other trading system features as required by our quantitative traders

● Work with our core system team to deploy trading system components in our production trading platform

● Identify opportunities to optimise system latency and resiliency

● Analyse trading logs and build tools to assist in the analysis of trading algorithm performance

● Create tools to automate the configuration, deployment, monitoring and troubleshooting of trading system components

● Be responsible for troubleshooting system issues as and when they occur

● Engage with the team during system design discussions, code reviews, trading idea brainstorms and daily office banter.

● Join our team remotely via video conference daily during core work hours.

Who you are:

● A software engineer with 5+ years experience in developing clean, maintainable and performant code.

● You have experience in working with network programming, a strong familiarity with tcp/ip and socket level concepts.

● Bonus points will be awarded to candidates who have developed websocket connectivity for any of the following cryptocurrency exchanges: Binance, Bitmex, Bitfinex, Deribit, Bitstamp or GDAX, and who can articulate the challenges they faced.

● You can find the balance between delivering clean, testable, reliable code and rapidly deploying new system features to take advantage of market opportunities.

● You are reliable, take pride in delivering robust software and are willing to be on call to support the systems you develop.

● You’re able to precisely articulate software concepts and designs

● You have 3+ years experience developing in c++, on linux

● You have a Bachelor's degree (or above) in Computer Science, Software Engineering or similar, with excellent results.

● You have 2+ years administering linux machines

● You have excellent written and verbal English

● Highly Desirable:

● Experience with high-transaction, latency optimised, distributed systems

● Experience configuring and monitoring linux machines

● Experience with inter process messaging using tcp and shared memory

● Experience with cloud computing infrastructure such as AWS",eyJqb2JfdGl0bGUiOiJDcnlwdG9jdXJyZW5jeSBUcmFkaW5nIFN5c3RlbXMgRGV2ZWxvcGVyIChSZW1vdGUgV29yaykiLCJjb21wYW55X25hbWUiOiJLZW5ldGljIENhcGl0YWwiLCJhZGRyZXNzX2NpdHkiOiJDb2xvbWJvLCBTcmkgTGFua2EiLCJodGlkb2NpZCI6IktXVlpzQWdUdGdPaFZvU0xBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTNKcElFeGhibXRoIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,,Full-time,2025-06-17 13:47:42.505251,Algorithmic Trader,Sri Lanka,,
Electronic Trading Specialist,Pizza Hut Rockledge,"Kandy, Sri Lanka",Jobs,,"['9 days ago', 'LKR\xa0129K a month', 'Full-time', 'No degree mentioned']","Electronic Trading Specialist needed at Pizza Hut Rockledge - Kandy, Sri Lanka. Posted on 2025-06-08. Salary: 85670 Sri Lankan Rupee. Apply now for this exciting opportunity!
Are you the person who can contribute to our ongoing success at Pizza Hut Rockledge as a Electronic Execution Trader? Join us and be part of a work environment that fosters innovation.

We believe in the importance of teamwork and innovation at Pizza Hut Rockledge, and we need someone capable of providing solutions that meet our growing needs.

At Pizza Hut Rockledge, we strongly believe in collaboration and integration among team members to achieve mutual success in a supportive work environment.

At Pizza Hut Rockledge, you will manage your projects by collaborating with different teams to achieve goals and deliver outstanding results.

Get ready to be part of our success at Pizza Hut Rockledge! Apply today and don’t miss out on this opportunity.

Skills:

- Excellent communication and collaboration skills to work effectively with internal teams and external partners
- Ability to monitor market trends and adjust trading strategies to maximize profits and minimize losses
- Strong technical skills in programming languages such as Python, C++, or Java to enhance trading strategies
- Strong understanding of financial markets and trading platforms to execute trades effectively
- Familiarity with algorithmic trading strategies to optimize trade execution and minimize risk

Responsibilities:

- Stay up-to-date with financial market trends and technological advancements in electronic trading
- Develop and optimize trading algorithms to enhance trade execution and profitability
- Report and document trading activity for internal and external audits and regulatory purposes
- Monitor and analyze market conditions to make informed trading decisions based on real-time data
- Maintain a high level of understanding of regulatory requirements to ensure compliance in all trading activities

Alerts
- Join us and experience a work environment full of innovation and progress.
- Handling Pressure: Maintaining good performance in difficult situations.
- Effective Communication Skills: Conveying ideas clearly and interacting successfully with others.
- Excellence in Customer Service: Delivering high-quality services that meet and exceed customer expectations.
- Use advanced communication techniques to deliver messages clearly and easily.

Notes
- Works efficiently and avoids empty conversations.
- Adhere to instructions and guidelines to ensure tasks are performed correctly.
- Financial Analysis: Interpreting and analyzing financial data to make informed decisions.
- Those who apply first and meet the qualifications will be prioritized.
- With us, you will earn a high salary that reflects your work.

Electronic Trading Specialist in Kandy - Sri Lanka Jobs",eyJqb2JfdGl0bGUiOiJFbGVjdHJvbmljIFRyYWRpbmcgU3BlY2lhbGlzdCIsImNvbXBhbnlfbmFtZSI6IlBpenphIEh1dCBSb2NrbGVkZ2UiLCJhZGRyZXNzX2NpdHkiOiJLYW5keSwgU3JpIExhbmthIiwiaHRpZG9jaWQiOiI2eU5uNUVOdTVSMTZrLTg1QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJSlUzSnBJRXhoYm10aCIsImdsIjoidXMiLCJobCI6ImVuIn0=,,Full-time,2025-06-17 13:47:42.505251,Algorithmic Trader,Sri Lanka,9 days ago,LKR 129K a month
"Senior Staff Engineer, SAP-FINANCIAL-MGMT",Nagarro,Sri Lanka,Smart Recruiters Jobs,https://serpapi.com/searches/685155fd1dcfe23fc7af2922/images/263fefab490fbbbc1a3e40f3b2ece1c9f8c3bd651af71dc55b292266cce9c319.png,"['Full-time', 'No degree mentioned']","Company Description

We are a Digital Product Engineering company that is scaling in a big way! We build products, services, and experiences that inspire, excite, and delight. We work at scale — across all devices and digital mediums, and our people exist everywhere in the world (15000+ experts across 26 countries, to be exact). Our work culture is dynamic and non-hierarchical. We are looking for great new colleagues. That is where you come in!

Job Description

Must have Skills : SAP FI (Strong), SAP S/4HANA Private Cloud/On-Premise (Strong), SAP CO (Strong), English, SAP Financial Business Process Knowledge (Strong)

Job Description :

Scope of Work: Requirement Gathering and Analysis, System Configuration, Data Migration, Testing, Reporting and Analytics, Training and Knowledge Transfer, Go-Live and Post-Go-Live activity Support Delivery Expectation of FICO Consultant:
• Documented business requirements and process flows.
• Validating solution mapping with SAP fit to standard.
• Configured SAP FICO modules aligned with business needs and SAP best practices.
• Prepare Test scripts and conduct IT testing for all phases.
• Prepare Training materials and user documentation 6. Resolved issues and defects during testing Required Skills and Experience.
• Proven experience in SAP FICO module implementation, preferably in SAP S/4HANA latest technology & version.
• Strong knowledge of financial processes, including GL, AP, AR, AA, PS, and Treasury Management.
• Experience with data migration, testing, and integration with other SAP modules.
• Familiarity with SAP Fiori and SAP Analytics Cloud (SAC) is a plus.
• Excellent communication and stakeholder management skills.",eyJqb2JfdGl0bGUiOiJTZW5pb3IgU3RhZmYgRW5naW5lZXIsIFNBUC1GSU5BTkNJQUwtTUdNVCIsImNvbXBhbnlfbmFtZSI6Ik5hZ2Fycm8iLCJhZGRyZXNzX2NpdHkiOiJTcmkgTGFua2EiLCJodGlkb2NpZCI6IjFxMFl1UEdTNnZDRUsxMFdBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lKVTNKcElFeGhibXRoIiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,,Full-time,2025-06-17 13:48:20.570217,Financial Engineer,Sri Lanka,,
"Manager, Software Engineering",London stock Exchange,"Western Province, Sri Lanka",Outscal,https://serpapi.com/searches/685155fd1dcfe23fc7af2922/images/263fefab490fbbbc7e2ea31530b26da98fc9e42e70204b8ae33b5c8b8555b5f6.png,"['15 days ago', 'Full-time']","Summary

As a Manager, Software Engineering at LSEG, you will lead a team of high-calibre Software Engineers within a global FX engineering team. Your responsibilities include shaping a world-class engineering culture, collaborating with development and QA teams, promoting agile methodologies, and effectively communicating complex information. You will be involved in developing, maintaining, and quality controlling the FXall trading platform, one of the largest FX relationship trading platforms globally. The role requires managing a team and ensuring the delivery of high-quality software solutions.

Must Have
• Bachelor’s degree in engineering/IT/Computer Science
• Strong full stack JAVA expertise
• 10+ years of work experience in engineering
• Proven engineering manager experience
• Experience in software engineering principles and CI/CD tools
• Experience in financial markets domain

Good To Have
• Exposure to FX trading

LSEG is more than a diversified global financial markets infrastructure and data business. We are dedicated, open-access partners with a dedication to excellence in delivering the services our customers expect from us. With extensive experience, deep knowledge and worldwide presence across financial markets, we enable businesses and economies around the world to fund innovation, handle risk and build jobs. It’s how we have supported the financial stability and growth of communities and economies globally for more than 300 years.

LSEG is headquartered in the United Kingdom, with significant operations in 60+ countries across EMEA, North America, Latin America and Asia Pacific. We employ 25,000 people globally, more than half located in Asia Pacific. LSEG’s ticker symbol is LSEG.

As a Manager, Software Engineering you will join a global FX engineering team who develops, maintains and quality controls an end-to-end FX trading solution called FXall - one of the biggest FX relationship trading platforms in the world.

FXall streamlines pre- through post-trade process, complete trades efficiently, access hundreds of liquidity providers, and get full trade decision support and post-trade functionality - including confirmations, settlement instructions, and trade performance reporting. FXall supports multiple regulated venues in one platform enabling asset managers, hedge funds and corporates to confidently align with Dodd-Frank, MiFID II, and other global/regional regulations.

Your Role
• Help shape a world-class engineering culture by managing a team of high calibre Software Engineers.
• Work with upstream and downstream development teams to implement functionality with quality at source.
• Work with QA teams to design test cases and to implement automated test suites.
• Promote a culture of partnership, high performance and, ensuring standards and industry practices are followed via agile scrum methodologies.
• Communicate with clarity, precision, and influence, communicating complex information in a clear and concise format.

Required education/expertise
• Bachelor’s degree in engineering/IT/Computer Science (or equivalent) from a recognised university.
• Strong full stack JAVA expertise (strength in C#, Python is a benefit).
• 10+ years of work experience in a reputed engineering organisation, delivering to large scale technology transformation programs preferably in financial market infrastructure space.
• Proven engineering manager experience with strong analytical skills and problem-solving mentality.
• Strong experience in software engineering principles, CI/CD tools and automation processes.
• Experience in financial markets domain (exposure to FX trading is a plus)

LSEG is a leading global financial markets infrastructure and data provider. Our purpose is driving financial stability, empowering economies and enabling customers to create sustainable growth.

Our purpose is the foundation on which our culture is built. Our values of Integrity, Partnership, Excellence and Change underpin our purpose and set the standard for everything we do, every day. They go to the heart of who we are and guide our decision making and everyday actions.

Working with us means that you will be part of a dynamic organisation of 25,000 people across 65 countries. However, we will value your individuality and enable you to bring your true self to work so you can help enrich our diverse workforce. You will be part of a collaborative and creative culture where we encourage new ideas and are committed to sustainability across our global business. You will experience the critical role we have in helping to re-engineer the financial ecosystem to support and drive sustainable economic growth. Together, we are aiming to achieve this growth by accelerating the just transition to net zero, enabling growth of the green economy and creating inclusive economic opportunity.

LSEG offers a range of tailored benefits and support, including healthcare, retirement planning, paid volunteering days and wellbeing initiatives.

We are proud to be an equal opportunities employer. This means that we do not discriminate on the basis of anyone’s race, religion, colour, national origin, gender, sexual orientation, gender identity, gender expression, age, marital status, veteran status, pregnancy or disability, or any other basis protected under applicable law. Conforming with applicable law, we can reasonably accommodate applicants' and employees' religious practices and beliefs, as well as mental health or physical disability needs.

Please take a moment to read this privacy notice carefully, as it describes what personal information London Stock Exchange Group (LSEG) (we) may hold about you, what it’s used for, and how it’s obtained, your rights and how to contact us as a data subject.

If you are submitting as a Recruitment Agency Partner, it is essential and your responsibility to ensure that candidates applying to LSEG are aware of this privacy notice.",eyJqb2JfdGl0bGUiOiJNYW5hZ2VyLCBTb2Z0d2FyZSBFbmdpbmVlcmluZyIsImNvbXBhbnlfbmFtZSI6IkxvbmRvbiBzdG9jayBFeGNoYW5nZSIsImFkZHJlc3NfY2l0eSI6Ildlc3Rlcm4gUHJvdmluY2UsIFNyaSBMYW5rYSIsImh0aWRvY2lkIjoid0tzUHRHVU1reUpxRzBhbEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUpVM0pwSUV4aGJtdGgiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,,Full-time,2025-06-17 13:48:20.570217,Financial Engineer,Sri Lanka,15 days ago,
