title,company_name,location,via,thumbnail,extensions,description,job_id,work_from_home,schedule_type,posted_at,date_time,search_term,search_location,salary
Quant Trader (Market Making),Hyphen Connect,Anywhere,Jobgether,https://serpapi.com/searches/685153ff3d40b6eb0a5e8f3b/images/79c191b7a7fc3e279e4154a7677721e2c6c25f55f28df93c800c9bcd8aa45c07.jpeg,"['Work from home', 'Full-time']","This a Full Remote job, the offer is available from: EMEA

Our client is a Crypto HF, aims to enhance their investment offerings to clients by expanding their Market Making desk. Currently, the team is seeking a Quant Trader who possesses expertise in developing and implementing liquidity-focused strategies, risk management, and dynamic optimization. You will collaborate closely with the technology team and have the responsibility of designing systems to support your work. As the business grows, there is a potential for significant ownership of the desk.

This opportunity is open to candidates worldwide with remote work options.

In This Role, Your Key Responsibilities Will Include:
• Develop and execute market-making strategies across various crypto assets to provide liquidity and enhance market efficiency.
• Continuously monitor and analyze market conditions, adjusting trading strategies to optimize profitability and minimize risks.
• Utilize advanced quantitative models and algorithms to make informed trading decisions.
• Collaborate closely with the technology team to develop and improve trading systems and tools.
• Manage the trading book, ensuring accurate and timely execution of trades and proper risk management practices.
• Implement and oversee risk control strategies to mitigate potential market and operational risks.
• Provide real-time market insights and analysis to the investment management team.
• Maintain compliance with industry regulations and internal policies, ensuring all trading activities are conducted ethically and legally.
• Participate in the development of new trading strategies and contribute to the overall growth of the trading desk.

Key Requirements:
• Bachelor’s or Master’s degree in Finance, Economics, Mathematics, or a related field from a renowned university.
• Significant experience in a trading role within top name exchanges, trading firms, or hedge funds, with a focus on market making.
• In-depth knowledge of cryptocurrency markets and blockchain technology.
• Expertise in the development and execution of quantitative trading strategies.
• Self-motivated and eager to be successful.
• Experienced in using trading platforms and tools, with a deep understanding of market microstructure.
• Strong background in risk management and compliance within financial services.
• Ability to work under pressure in a fast-paced trading environment.

#LI-REMOTE

This offer from ""Hyphen Connect"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIgKE1hcmtldCBNYWtpbmcpIiwiY29tcGFueV9uYW1lIjoiSHlwaGVuIENvbm5lY3QiLCJhZGRyZXNzX2NpdHkiOiJUw7xya2l5ZSIsImh0aWRvY2lkIjoic1hhTm1xd0k0R0k1WkdZT0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSUdWSFZ5YTJWNSIsImdsIjoidXMiLCJobCI6ImVuIn0=,True,Full-time,,2025-06-17 13:39:46.356502,Quantitative Investment Manager,Turkey,
Crypto Quantitative Analyst /Istanbul- Remote/,Token Metrics,Anywhere,GrabJobs,https://serpapi.com/searches/685153ff3d40b6eb0a5e8f3b/images/79c191b7a7fc3e27fceb8c43e615666294c92e7bf5bb167a85f30de4c41f4a83.jpeg,"['Work from home', 'Full-time', 'No degree mentioned']","Token Metrics provides AI-based cryptocurrency ratings and price predictions. Our customers leverage our professional analysts, analytics, and artificial intelligence to make profitable crypto investments.

Token Metrics is seeking a quantitative analyst to assist our team in designing crypto quantitative trading strategies.

If you're the right person, you've got a passion for trading, Python, have strong analytical skills and the ability to communicate and work in a fast-paced environment.

Responsibilities
• Developing, testing, and optimizing algorithmic trading strategies
• Identifying new trading ideas and investment opportunities
• Researching and analyzing large data sets to find patterns
• Developing risk management tools
Requirements
• Proficiency in Python
• Experience working with large data sets
• Ability to design and back-test trading strategies
• Strong background in statistics

About Token Metrics

Token Metrics helps crypto investors build profitable portfolios using artificial intelligence based crypto indices, rankings, and price predictions.

Token Metrics has a diverse set of customers, from retail investors and traders to crypto fund managers, in more than 50 countries.

Original job Crypto Quantitative Analyst /Istanbul- Remote/ posted on GrabJobs ©. To flag any issues with this job please use the Report Job button on GrabJobs.",eyJqb2JfdGl0bGUiOiJDcnlwdG8gUXVhbnRpdGF0aXZlIEFuYWx5c3QgL0lzdGFuYnVsLSBSZW1vdGUvIiwiY29tcGFueV9uYW1lIjoiVG9rZW4gTWV0cmljcyIsImFkZHJlc3NfY2l0eSI6IklzdGFuYnVsLCDEsHN0YW5idWwsIFTDvHJraXllIiwiaHRpZG9jaWQiOiI0Qm5LN3RTWlIwa1BCWFRsQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1ZIVnlhMlY1IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,True,Full-time,,2025-06-17 13:39:46.356502,Quantitative Investment Manager,Turkey,
Quant Trader,Gate.io,Anywhere,Jobgether,https://serpapi.com/searches/685153ff3d40b6eb0a5e8f3b/images/79c191b7a7fc3e2787c056f818f975746299fa0c64c85198f637321188ca83f9.jpeg,['Work from home'],"This a Full Remote job, the offer is available from: APAC

我们的愿景
作为全球⼗⼤数字资产交易所之⼀（仍在上升🚀），我们在交易、安全 和区块链产品创新⽅⾯提供⼀流的服务体验。
我们的⽬标是让所有⼈都能参与到加密市场的建设中来，使得最前沿的、最有潜⼒的加密货币项⽬得以安全上线并交易。你有兴趣加⼊这样⼀⽀去中⼼化团队吗？

岗位职责
• 負責日常交易交易策略的執行，風險管理，確保策略順利實施；
• 研究交易策略，負責構建、調整和優化投資組合，控制風險，實現收益目
• 與IT開發人員合作優化系統，結合實盤經驗將策略進行系統實現。
• 交易首長交辦的其他工作
任职资格
• -全日制碩士及以上學歷，電腦、金融工程、數量經濟、數理金融、統計學、應用數學等相關專業
• -對做市和量化交易有熱情，海外相關工作經歷者優先；
• -熟悉量化業務及規則，精通各類定價、套利及回測模型；
• -團隊合作意識强、抗壓能力强、書面及語言表達能力强、工作責任心强、正直誠信；
• -具備使用Python等語言進行程式設計的基礎，擁有一定程度的資料處理，策略編寫回測或實現能力；
• -工作認真高效，抗壓能力强，有良好的團隊意識Gate价值观
我们崇尚价值⾄上的原则，您的知识、愿景和⾃主性将在这⾥充分发挥， 我们专注于使⽤最好的产品和服务来赢得全球客户的赞誉，并将去中⼼化的理念带到世界各地。
我们的价值观包含正直、洞察、创新、求知与合作，在Gate.io ，我们致⼒于打造独特的Gate风格，并寻找与Gate.io价值观相契合的你。

我们的公司
Gate.io成⽴于2013年，是领先的加密货币交易所之⼀，在全球范围内提供 与多种领先数字资产交易相关的服务。Gate.io拥有超千万的注册⽤户，被认为是全球最安全和最可靠的加密货币平台之⼀。 Gate.io已经过区块链透明度验证，根据流动性和交易量 ，⼀直稳居全球⼗⼤加密货币交易所⾏列（CoinGecko）。

This offer from ""Gate.io"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIiLCJjb21wYW55X25hbWUiOiJHYXRlLmlvIiwiYWRkcmVzc19jaXR5IjoiVMO8cmtpeWUiLCJodGlkb2NpZCI6InpuN2lXUUNUeGt0UWg0d2dBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHVkhWeWEyVjUiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,True,,,2025-06-17 13:39:46.356502,Quantitative Investment Manager,Turkey,
Risk Control Manager（Quantitative Trading）,Gate.io,Anywhere,Jobgether,https://serpapi.com/searches/685153ff3d40b6eb0a5e8f3b/images/79c191b7a7fc3e274e31edd96130c4f056c9a36b8ee5301c9af010763fd1b858.jpeg,['Work from home'],"This a Full Remote job, the offer is available from: APAC

Gate.io 作为全球十大数字资产交易所之一 ，我们在交易、安全和区块链产品创新方面提 供一流的服务体验。 我们的目标是让所有人都能参与到加密市场的建设中来，使得最前沿的、 最有潜力的加密 货币项目得以安全上线并交易。你有兴趣加入这样一支去中心化团队吗?

岗位职责
• 負責總體風控、尤其是一級市場的事前風控的工作職能；
• 主要產出為量化風控日常評估、風控事件緊急響應、各業務線負責人缺席狀態的替補；
• 整體市場事前風險的監控和預警，包括基本面風險等；
• 同時協助事中風險事件、事故的緊急處理；
• 為各個前線業務線前線交易同事做「自由人」替補。
任职资格
• 本科及以上学历，理工科专业（包括不限于金融工程，计算机，数学，统计，物理等）专业；
• 至少1年以上的量化交易經驗，有crypto交易經驗更佳；
• 至少1年以上的風險控製相關工作經歷，有FRM等相關證書更佳。Gate.io 成立于2013年，是领先的加密货币交易所之一，在全球范围内提供与多种领先数字资产交易相关的服务。Gate.io 拥有超千万的注册用户，被认为是全球最安全和最可靠的加密货币平台之一。Gate.io 已经过区块链透明度验证，根据流动性和交易量，一 直稳居全球十大加密货币交易所行列(CoinGecko)。
我们崇尚价值至上的原则，您的知识、愿景和自主性将在这里充分发挥，我们专注于使用最好的产品和服务来赢得全球客户的赞誉，并将去中心化的理念带到世界各地。
我们的价值观包含正直、洞察、创新、求知与合作，在 Gate.io ，我们致力于打造独特的Gate⻛格，并寻找与 Gate.io 价值观相契合的你。

This offer from ""Gate.io"" has been enriched by Jobgether.com and got a 77% flex score.",eyJqb2JfdGl0bGUiOiJSaXNrIENvbnRyb2wgTWFuYWdlcu+8iFF1YW50aXRhdGl2ZSBUcmFkaW5n77yJIiwiY29tcGFueV9uYW1lIjoiR2F0ZS5pbyIsImFkZHJlc3NfY2l0eSI6IlTDvHJraXllIiwiaHRpZG9jaWQiOiJJOWhlLUROS1pmYUZxUWFhQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1ZIVnlhMlY1IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,True,,,2025-06-17 13:39:46.356502,Quantitative Investment Manager,Turkey,
Quantitative Developer,TankX,"Fatih, Topkapı, Fatih/İstanbul, Türkiye",BeBee,,"['8 days ago', 'Full-time']","About TankX

TankX is a global leader in high-frequency trading and liquidity provision, specializing in digital assets, FX, and fixed-income markets.

We leverage advanced technology, mathematical models, and software engineering expertise to deliver competitive pricing on a global scale. As a fast-growing technology company, we foster an environment of innovation, collaboration, and professional growth.

We are currently looking for a Quantitative Developer to enhance our team with hands-on experience in algorithmic and high-frequency trading.

Responsibilities:
• Develop and optimize high-frequency trading models.
• Design, implement, and optimize low-latency trading algorithms using advanced statistical and mathematical models.
• Stay up-to-date with changing trading approaches and continuously develop technical skills.
• Monitor and manage trading risk exposure through the development of risk models and mitigation strategies.
• Benchmark the performance of trading strategies in real-time.
• Troubleshoot and debug issues in existing systems.
• Demonstrate initiative, problem-solving skills, and collaboration in a fast-paced, data-driven trading environment.

Required Qualifications:
• Bachelor's or Master's degree in Computer Engineering, Computer Science, or a related quantitative field.
• Any level of relevant work experience in software development or a technical role.
• Demonstrated academic success with a strong foundation in mathematics and programming.
• Proficiency in Python and familiarity with best coding practices.
• Experience with CICD tools, specifically GitHub.
• Solid understanding of data structures, algorithms, object-oriented design principles, and data analysis methods.
• A solid understanding of asynchronous programming.
• Fundamental knowledge of financial markets and quantitative trading, with a willingness to learn new concepts.
• Excellent communication skills and the ability to explain complex subjects to non-technical stakeholders.
• Ability to work well in a fast-paced, data-driven environment with strong attention to detail.
• Proficiency in English for professional communication and knowledge sharing.

Preferred Qualifications:
• Proficiency in C++ or Go.
• Knowledge of FIX, ITCH, OUCH, WebSocket, and REST protocols.
• Familiarity with in-memory databases and message brokers.
• Double major with another quantitative field such as Mathematics.
• Proven record of success at competitive events such as scientific olympiads or online programming contests at the national or international level.

What We Offer:
• A hands-on learning experience in quantitative finance and software development.
• Mentorship from experienced developers and industry professionals.
• Exposure to real-time trading systems and algorithm development.
• An opportunity to work with a multibillion-dollar trade volume.
• A hybrid and flexible work environment in a modern, centrally located office.
• A competitive compensation package.
• Bonus structure and equity option.
• Private health insurance with dental coverage and meal card.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIiwiY29tcGFueV9uYW1lIjoiVGFua1giLCJhZGRyZXNzX2NpdHkiOiJGYXRpaCwgVG9wa2FwxLEsIEZhdGloL8Swc3RhbmJ1bCwgVMO8cmtpeWUiLCJodGlkb2NpZCI6Ik1aU1lRMDNKQ2pEcldXNGhBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHVkhWeWEyVjUiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,,Full-time,8 days ago,2025-06-17 13:39:46.356502,Quantitative Investment Manager,Turkey,
Equities Prop Trader,Ace Trading,Türkiye,LinkedIn,https://serpapi.com/searches/68515414c2034856d28f3458/images/a0637a7b05303fe756545803a9bc4160b1664f39a026c92023b7ea7f08161422.jpeg,"['12 days ago', 'Full-time']","Proprietary Trader - Job Description

We are actively seeking highly motivated, talented, and energetic candidates to join our rapidly growing team of traders. This role offers an exciting opportunity to dive into the world of stock trading and is ideally suited for recent university graduates eager to launch their careers in this field.

As a Proprietary Trader Trainee, you will undergo a comprehensive preparation process, focusing on multi-asset trading on bond derivatives listed on NYSE, NASDAQ, and AMEX. Our thorough, methodical approach to training combines extensive internal training programs and 1- on-1 mentorship, providing you with a deep understanding of our proprietary strategies.

Following the successful completion of the training program, candidates will be transitioned into full-fledged Trader positions, where they will manage real accounts funded by us on the US Stock markets. This immersive, hands-on experience allows traders to apply their knowledge and skills to live markets, demonstrating their grasp of the industry.

Moreover, successful candidates will have the opportunity to receive a monthly scholarship from the company, adding another layer of support as you cultivate your trading skills.

We are eager to welcome new talent to our team, with our next group training set to begin on 1st of July 2025. Embark on this exciting journey with us and take the first step towards a fulfilling career in stock trading.

The ideal candidates will have the following qualifications:

1. Excellent English language skills: Proficiency in both written and spoken English is essential for communicating effectively within our diverse team and for understanding market information and news.

2. Excellent computer literacy: In this role, a significant portion of your work will be done on computers. You should be comfortable using various software and systems, as well as have a basic understanding of troubleshooting

and problem-solving tech issues.

3. Educational Background: We are seeking recent graduates with a bachelor’s degree in business, IT, Psychology, or Mathematics/Physics. These disciplines provide a strong foundation for understanding the financial markets and our trading strategies.

4. Ability to work under pressure: Trading can be a high-pressure environment, especially during volatile market conditions. The ability to stay calm, think clearly, and make well-reasoned decisions under

stress is crucial.

5. Strong and resilient personality: Trading involves risk and can be challenging. Resilience and mental strength are key for managing these challenges and maintaining focus on your goals.

6. Outstanding analytical skills: Successful trading requires a strong ability to analyze data, recognize patterns.

7. Willingness to learn market trading strategies: Our training program will provide you with a wealth of knowledge on trading strategies. A willingness to learn and adapt is important for staying current in this rapidly changing industry.

8. Enthusiasm to help develop new trading strategies: We encourage our traders to be innovative and to contribute their ideas. If you are excited about improving our strategies and helping us stay competitive, we want to hear from you.

Job description:

1. Managing a Trading Account: As a Proprietary Trader, you will be entrusted with managing a trading account for our company. This includes analyzing market trends, executing trades, monitoring performance, and making strategic decisions on a day-to-day basis.

2. Working with Monthly Targets: These targets are designed to challenge and motivate you. Meeting or exceeding these targets will be a key part of your development as a successful trader.

3. Decision-taking in a Changing Environment: The financial markets are dynamic and ever-changing. As a Proprietary Trader, you'll need to adapt swiftly to these changes, making informed, strategic decisions under pressure. Your ability to navigate uncertainty, analyze the implications of market shifts, and adjust your trading strategies accordingly will be critical for success.

What we offer:

As part of our team, you'll benefit from:

1. Access to the World's Biggest Financial Markets: You'll have the opportunity to actively trade on some of the world's largest and most influential financial markets - NYSE, NASDAQ, and AMEX.

2. Opportunity to Learn from Experienced Traders: We provide an environment that encourages growth and learning, where you can glean insights and acquire new skills from our successful traders.

3. Opportunity to Develop Your Own Strategies: Not only will you be applying our proprietary strategies, but you will also have the freedom to develop and implement your own trading strategies, fostering innovation and personal growth.

4. Monthly Scholarship Fully Funded by the Company: Successful candidates will receive a monthly scholarship funded entirely by the company, offering financial support as you hone your trading skills.

5. Competitive Bonus Scheme: We offer a highly competitive bonus scheme for those who achieve satisfactory results, providing a significant incentive for high performance.

If this role interests you and aligns with your career aspirations, we would love to hear from you.

Please send us your resume along with a motivational letter answering the following questions:

● Why do you want to join our program?

● Why do you believe you will be a good trader?

We look forward to considering your application and potentially welcoming you to our team.",eyJqb2JfdGl0bGUiOiJFcXVpdGllcyBQcm9wIFRyYWRlciIsImNvbXBhbnlfbmFtZSI6IkFjZSBUcmFkaW5nIiwiYWRkcmVzc19jaXR5IjoiVMO8cmtpeWUiLCJodGlkb2NpZCI6InE0dGI2UWhZeHdIUDhfOWRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHVkhWeWEyVjUiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,,Full-time,12 days ago,2025-06-17 13:40:05.815039,Trader,Turkey,
Equities Prop Trader,Ace Trading,Türkiye,BeBee,,"['3 days ago', 'Full-time']","Job Title: Equities Prop Trader

We are seeking highly motivated and talented candidates to join our team of traders in a rapidly growing field.

This role offers an exciting opportunity to dive into stock trading, ideal for recent university graduates eager to launch their careers.
About the Role:
• You will undergo a comprehensive preparation process focusing on multi-asset trading on bond derivatives listed on NYSE, NASDAQ, and AMEX.
• Our thorough approach combines extensive internal training programs and 1-on-1 mentorship, providing you with a deep understanding of our proprietary strategies.
Key Responsibilities:
• Managing a Trading Account: You will analyze market trends, execute trades, monitor performance, and make strategic decisions on a day-to-day basis.
• Working with Monthly Targets: These targets are designed to challenge and motivate you. Meeting or exceeding these targets will be a key part of your development as a successful trader.
• Decision-taking in a Changing Environment: The financial markets are dynamic and ever-changing. As a Proprietary Trader, you'll need to adapt swiftly to these changes, making informed, strategic decisions under pressure.
What We Offer:
• Access to the World's Biggest Financial Markets: You'll have the opportunity to actively trade on some of the world's largest and most influential financial markets - NYSE, NASDAQ, and AMEX.
• Opportunity to Learn from Experienced Traders: We provide an environment that encourages growth and learning, where you can glean insights and acquire new skills from our successful traders.
• Monthly Scholarship Fully Funded by the Company: Successful candidates will receive a monthly scholarship funded entirely by the company, offering financial support as you hone your trading skills.
Requirements:
• Excellent English language skills: Proficiency in both written and spoken English is essential for communicating effectively within our diverse team and for understanding market information and news.
• Excellent computer literacy: You should be comfortable using various software and systems, as well as have a basic understanding of troubleshooting and problem-solving tech issues.
• Educational Background: We are seeking recent graduates with a bachelor's degree in business, IT, Psychology, or Mathematics/Physics.
• Ability to work under pressure: Trading can be a high-pressure environment, especially during volatile market conditions. The ability to stay calm, think clearly, and make well-reasoned decisions under stress is crucial.
• Strong and resilient personality: Trading involves risk and can be challenging. Resilience and mental strength are key for managing these challenges and maintaining focus on your goals.",eyJqb2JfdGl0bGUiOiJFcXVpdGllcyBQcm9wIFRyYWRlciIsImNvbXBhbnlfbmFtZSI6IkFjZSBUcmFkaW5nIiwiYWRkcmVzc19jaXR5IjoiVMO8cmtpeWUiLCJodGlkb2NpZCI6ImsyOFhMWjBpTEdhT1pKNnNBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lHVkhWeWEyVjUiLCJnbCI6InVzIiwiaGwiOiJlbiJ9,,Full-time,3 days ago,2025-06-17 13:40:05.815039,Trader,Turkey,
Junior Quantitative Trader,Paragon Trading,Türkiye,BeBee,,"['8 days ago', 'Full-time']","Role Overview

This full-time Junior Quantitative Trader position at Paragon Trading focuses on developing and implementing sophisticated trading strategies, engaging in market making activities, and leveraging quantitative investing and analytics techniques to drive business growth.
Key Requirements
• Demonstrated passion for derivatives and financial markets analysis
• Proficiency in mathematical and statistical methods for data-driven decision making
• Bachelor's or Master's degree from a reputable institution (A strong quantitative background is essential)
• Ability to think creatively and develop innovative solutions
• Advanced proficiency in Python programming language",eyJqb2JfdGl0bGUiOiJKdW5pb3IgUXVhbnRpdGF0aXZlIFRyYWRlciIsImNvbXBhbnlfbmFtZSI6IlBhcmFnb24gVHJhZGluZyIsImFkZHJlc3NfY2l0eSI6IlTDvHJraXllIiwiaHRpZG9jaWQiOiJfWkVHR3h4dER1bzJmcU1sQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1ZIVnlhMlY1IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,,Full-time,8 days ago,2025-06-17 13:40:05.815039,Trader,Turkey,
"Rates Trader, Assistant Vice President",ING Türkiye,Türkiye,BeBee,https://serpapi.com/searches/68515414c2034856d28f3458/images/a0637a7b05303fe703355fbfc1289739045dc0472d55715a51cbf9962fd943a1.jpeg,"['8 days ago', 'Full-time']","At ING-Turkiye, we encourage you to discover and develop yourself while empowering others. We're on a journey that's centered around our customers, powered by technology and digital innovation, driven by smart, determined professionals.

We want you to be creative, successful, and excel in your career life, working agile so new ideas come to life faster. Interested?
About the Role

As a Rates Trader, you will work closely with the Financial Markets Trading and Sales teams to deliver client solutions and efficiently manage the risks linked to that business.
What We Offer
• Flexible working models where you can manage your time and do your thing.
• Every 3rd week of the month, you'll have the opportunity to work remotely.
• Develop yourself with global/local ING Academy opportunities; special certification programs with top universities, training programs that will help you empower yourself.
• An informal, dynamic environment with innovative colleagues supporting your endeavors.
• Share your innovation ideas while discovering PACE methodology.
• Taking part in local and global projects and/or career opportunities.
• A comprehensive health insurance package for you and your beloved ones (spouse/children).
Your Qualifications
• Bachelor's degree in Finance, Economics, Business, Engineering, or a related field.
• Minimum 5 years proven experience in Rates Trading.
• Strong team-working, communication, and coordination skills across all levels of the organization.
• Proficiency in MS Office programs (particularly MS Excel, PowerPoint) and preferably coding skills (e.g., Python).
• A deep understanding of markets, economies, and politics with the ability to assess their impact on asset prices.
• Strong analytical thinking and problem-solving abilities, including the capacity to take calm decisions during challenging times.
• Results-oriented and capable of performing effectively under stress.
• Fluency in English and Turkish, both written and verbal.
• SPK Capital Market Activities level 3 License and Derivative Instruments License.
Your Responsibilities
• Reporting directly to the Head of Trading, ensuring clear and transparent communication at all times.
• Providing accurate and competitive pricing for internal and external client requests, aligned with the product mandate, established limits, and desk's risk profile.
• Managing proprietary positions within approved limits to support the desk's financial objectives.
• Identifying opportunities to enhance market share & product income, as well as implementing initiatives to achieve these goals.
• Contributing innovative ideas to automate and improve the sales-trading workflow.
• Taking a lead in new product implementations.
• Participating in IT / Front-Office system development projects focusing on operational efficiency, standardization, and automation.
About Us

ING-Turkiye is committed to empowering its employees to do more of what they love. We pride ourselves on our customer-centric approach, fueled by technological innovation and the passion of our people.

Candidates are expected not to share any sensitive personal data.
Seniority Level

Mid-Senior Level
Employment Type

Full-time
Job Function

Other
Industries

Banking",eyJqb2JfdGl0bGUiOiJSYXRlcyBUcmFkZXIsIEFzc2lzdGFudCBWaWNlIFByZXNpZGVudCIsImNvbXBhbnlfbmFtZSI6IklORyBUw7xya2l5ZSIsImFkZHJlc3NfY2l0eSI6IlTDvHJraXllIiwiaHRpZG9jaWQiOiJtSkNXUnB3WTM3WUtZVzFoQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1ZIVnlhMlY1IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,,Full-time,8 days ago,2025-06-17 13:40:05.815039,Trader,Turkey,
Intraday Trader,Enerjisa Commodities,Türkiye,Learn4Good,,"['10 days ago', 'TRY\xa0150K–TRY\xa0300K a year', 'Full-time', 'No degree mentioned']","Location: Umraniye

Enerjisa Commodities is an energy trading company based in Amsterdam and İstanbul. The parent company, Enerjisa Üretim, has an installed capacity of nearly 4,000 MW in Türkiye, utilizing five different technologies, with a growing share of renewables. As the trading arm of Enerjisa Üretim, Enerjisa Commodities boasts sharp trading acumen, a strong track record, and is Türkiye’s leading energy trading company.

It operates in the European gas and power markets.

Enerjisa Commodities is on a strong growth trajectory to encompass all aspects of energy trading. Our goals include expanding in power and gas markets across Europe, trading environmental commodities globally, and becoming a climate solutions partner for corporations. Our team is our greatest asset, and we are seeking new colleagues to help us achieve these objectives.

We are currently looking for Intraday Trader to join our team at the İstanbul Office.
Key Responsibilities
• Execute trades in day-ahead and intraday power markets across Europe, with a current focus on Germany.
• Develop, automate, and refine trading strategies and tools using Python or other programming languages.
• Monitor and analyze real-time market data, grid imbalances, weather forecasts, and price signals to identify trading opportunities.
• Support the team by building dashboards, backtesting strategies, and improving operational efficiency.
• Follow nomination and scheduling issues as needed, including communicating with third parties to resolve any problems.
• Contribute to reporting related to trading performance and activities.Who are we looking for?
• Strong coding skills (Python preferred); experience in building trading tools, automations, or data pipelines is highly valued.
• Fresh graduates are welcome; 1–2 years of experience in energy markets or quantitative roles is a strong plus.
• Proficiency in English is required; knowledge of another European language is a plus.
• Understanding of meteorology and weather forecasts is advantageous.
• A team player who can thrive in a fast-paced, multicultural environment.
• No restrictions for 7/24 shift work.

Our core values include:
• Upholding the highest standards of ethics and compliance.
• Valuing each individual's uniqueness and fostering a collaborative environment.
• Maintaining a friendly, vibrant atmosphere where successes are celebrated together.
• Challenging the status quo and thinking innovatively.
• Trading not only energy but also ideas and experiences.
• Being transparent, open-minded, and straightforward.
Sectors

Petrol and Gas
#J-18808-Ljbffr",eyJqb2JfdGl0bGUiOiJJbnRyYWRheSBUcmFkZXIiLCJjb21wYW55X25hbWUiOiJFbmVyamlzYSBDb21tb2RpdGllcyIsImFkZHJlc3NfY2l0eSI6IlTDvHJraXllIiwiaHRpZG9jaWQiOiJ0T0dSeTg2bU5Hd2s1SUpCQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJR1ZIVnlhMlY1IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,,Full-time,10 days ago,2025-06-17 13:40:05.815039,Trader,Turkey,TRY 150K–TRY 300K a year
