,word,count
56,and,136779
27,to,70770
24,the,62325
10,of,52844
61,in,42794
50,with,32211
81,for,27711
83,or,23573
272,is,19221
89,our,16920
16,experience,16599
245,quantitative,15868
22,we,15772
133,risk,14842
111,on,14552
175,as,13790
65,you,13758
437,trading,13599
127,data,12279
119,will,11653
115,management,11119
416,work,11016
49,are,10692
39,an,10444
88,model,10380
35,this,10078
254,skills,9564
46,be,9511
110,team,9085
491,financial,8753
20,at,8395
178,research,8343
622,models,8077
284,that,7314
11,business,7047
168,market,6968
82,role,6861
139,including,6825
226,strong,6802
36,by,6701
624,analysis,6582
227,strategies,6546
59,other,6270
177,development,6239
425,your,6191
124,investment,5893
6,new,5840
315,benefits,5596
478,performance,5504
201,portfolio,5331
340,all,5253
247,ability,5201
216,years,5128
307,time,5090
13,job,5000
187,from,4864
671,support,4691
805,knowledge,4603
237,related,4558
757,develop,4543
506,markets,4523
41,environment,4403
155,their,4304
217,working,4189
295,position,4157
663,analytics,4021
68,opportunity,3977
1668,bank,3958
596,have,3930
231,degree,3917
297,based,3889
823,python,3868
256,technical,3805
8,us,3757
70,not,3739
174,such,3729
521,across,3702
303,range,3632
281,engineering,3612
728,employees,3599
943,modeling,3561
78,may,3461
236,finance,3401
554,one,3377
327,company,3375
233,required,3369
135,responsibilities,3349
372,any,3305
424,more,3304
665,statistical,3275
589,technology,3249
302,salary,3236
33,opportunities,3232
670,tools,3221
662,global,3183
114,asset,3166
1085,learning,3161
276,high,3149
574,systems,3133
361,status,3127
67,about,3069
102,through,3062
2308,energy,3059
128,solutions,3033
311,compensation,3032
287,communication,3013
266,within,3001
1283,validation,2992
479,firm,2990
686,science,2986
618,programming,2978
826,capital,2973
173,teams,2921
257,requirements,2909
153,process,2898
367,information,2823
607,analytical,2809
215,qualifications,2780
613,power,2779
1293,field,2772
116,industry,2750
471,provide,2736
701,well,2719
330,disability,2712
896,credit,2618
1206,preferred,2602
151,understanding,2592
837,what,2577
570,design,2560
675,software,2548
415,pay,2536
250,complex,2476
617,mathematics,2461
345,employment,2457
685,computer,2456
568,can,2450
64,if,2448
118,candidate,2432
147,equity,2427
1492,testing,2397
1042,statistics,2396
163,build,2384
47,who,2366
667,techniques,2359
537,group,2355
309,eligible,2329
513,make,2326
1231,results,2324
120,responsible,2324
615,advanced,2315
499,culture,2306
1343,office,2302
511,help,2288
760,include,2283
109,join,2281
198,senior,2281
720,it,2273
301,base,2272
323,paid,2266
754,strategy,2257
338,equal,2214
265,developing,2208
104,re,2206
75,please,2203
31,into,2201
593,excellent,2193
528,using,2185
1,world,2166
508,products,2155
76,apply,2147
472,clients,2130
1616,execution,2126
0,location,2105
134,key,2104
483,services,2100
885,systematic,2091
123,leading,2086
603,impact,2067
766,both,2026
17,level,2021
1458,processes,2017
493,which,2015
312,also,2009
7,york,2006
239,plus,1989
306,education,1974
762,learn,1970
1761,machine,1963
171,collaborate,1960
172,internal,1957
561,large,1949
339,employer,1942
1104,analyst,1931
717,people,1923
645,day,1886
386,applicable,1886
282,ensure,1881
314,competitive,1861
205,maintain,1858
351,gender,1849
132,manage,1848
503,building,1848
756,expertise,1845
572,highly,1844
745,individual,1839
710,discretionary,1828
785,best,1823
3475,america,1822
1179,minimum,1818
500,part,1810
342,applicants,1799
332,insurance,1774
136,identify,1771
329,life,1762
219,focus,1757
396,com,1753
48,they,1752
871,looking,1748
34,do,1747
69,but,1734
802,quality,1733
587,projects,1728
2232,quant,1721
280,stakeholders,1720
657,various,1718
908,growth,1717
463,description,1705
1413,regulatory,1702
326,employee,1686
