title,company_name,location,via,thumbnail,extensions,description,job_id,posted_at,schedule_type,salary,date_time,search_term,search_location,work_from_home
Front Office Quantitative Developer (Python) – HFT – NYC – WFH - Market Leading Compensation,Mondrian Alpha,"New York, NY",LinkedIn,https://serpapi.com/searches/685130ef932b0efa0d486db1/images/a82a73db96490fab1ca7eb0f7f3c056283733936372bcedc509f86087d0fccc4.jpeg,"['1 day ago', 'Full-time']","Front Office Quantitative Developer (Python) – HFT – NYC – WFH - Market Leading Compensation

Join a high-performing investment firm with a global footprint and a deeply collaborative culture, where you'll build the next generation of risk analytics infrastructure from the ground up.

We are hiring a Senior Python Developer to join a lean, high-impact Risk Technology team as an individual contributor. This is a newly created role due to increased project demand and the success of internally developed tools. You’ll work closely with risk managers and investment professionals to design and scale core systems that support portfolio-level risk attribution, exposure analytics, and performance reporting.

Key Responsibilities:
• Design, build, and optimize high-performance systems to process massive datasets for real-time and batch analytics.
• Developing front office tooling for Portfolio Managers and Traders
• Develop internal tools for risk attribution, PnL decomposition, and exposure reporting.
• Collaborate directly with risk managers and other stakeholders to translate requirements into scalable software systems.
• Maintain and evolve the infrastructure supporting firmwide risk reporting at the board and portfolio level.

Required Technical Skills:
• Deep Python and C++ expertise, particularly around performance optimization, memory management, and multi-threading.
• Strong foundation in data structures, algorithms, and memory models.
• Ideally, experience with Java, C++, or C# to complement lower-level computing knowledge.
• Demonstrated ability to solve complex technical problems from first principles (not reliant on ChatGPT or rote memorization).

Preferred Background:
• Experience from high-performance trading firms, quant shops, or HFTs (e.g., top-tier hedge funds or tech-driven trading firms).
• Strong CS fundamentals, with a track record of building complex, performant systems end-to-end.
• Background in technical competitions, open-source projects, or academic excellence in technical domains a strong plus.

Why Join?
• Work on mission-critical systems alongside a small, elite engineering team with high visibility across the firm.
• Enjoy the flexibility to shape the architecture and drive innovation from the ground up.
• Hybrid NYC-based model with optional access to satellite offices and a high degree of ownership.

If you’re a hands-on builder who thrives on complex technical challenges and wants to drive innovation in a flat, collaborative environment—apply now.",eyJqb2JfdGl0bGUiOiJGcm9udCBPZmZpY2UgUXVhbnRpdGF0aXZlIERldmVsb3BlciAoUHl0aG9uKSDigJMgSEZUIOKAkyBOWUMg4oCTIFdGSCAtIE1hcmtldCBMZWFkaW5nIENvbXBlbnNhdGlvbiIsImNvbXBhbnlfbmFtZSI6Ik1vbmRyaWFuIEFscGhhIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJYNVB1LWN3MXp5MHhMTE05QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,1 day ago,Full-time,,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
Senior Quantitative Developer Credit Trading,Selby Jennings,"New York, NY",Indeed,https://serpapi.com/searches/685130ef932b0efa0d486db1/images/a82a73db96490fabf025d7be5c9afb14eadcb5e78f602253836aacf8d4fef0b7.jpeg,"['3 days ago', '400K–650K a year', 'Full-time', 'No degree mentioned']","A leading hedge fund is looking to hire a Sr. Quantitative Developer to support their Credit Trading desk. The fund has been operational for 20+ years, manages over $30B in total assets and runs both quantitative and fundamental strategies across all asset classes. The fund is known for their excellent history of investment returns and their emphasis on the importance of technology in their investment process.

The ideal candidate will have 5+ years of experience, strong knowledge of credit products, coding skills in both Python and C++, and a track record working with front office stakeholders. This is a very fast paced environment, so they need a Dev who can effectively communicate with traders just as well as they code!

Responsibilities:
• Support traders and researchers by building frameworks for pricing, performance attribution, PnL, and investment decision making tools
• Develop trading systems to support various investment strategies, including relative value, fundamental, and structured products (CLOs, credit indexes, tranches, index vol products, etc)
• Develop enhancements to trading algorithms, data feeds, and microservices
• Enhance/implement models and distributed compute m to manage risk in portfolios
• Build analytics libraries for portfolio managers

Qualifications:
• 5+ years of experience in quant development or software engineering
• Strong coding skills in both Python and C++
• Excellent communication skills and attention to detail
• Working knowledge of credit or fixed income related financial products",eyJqb2JfdGl0bGUiOiJTZW5pb3IgUXVhbnRpdGF0aXZlIERldmVsb3BlciBDcmVkaXQgVHJhZGluZyIsImNvbXBhbnlfbmFtZSI6IlNlbGJ5IEplbm5pbmdzIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJka1FzX0trS3B0U0MzakZZQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,3 days ago,Full-time,400K–650K a year,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
Quantitative Developer (Python) - Tier 1 Fund - Discreet Search - Up to $400k TC,Mondrian Alpha,"New York, NY",LinkedIn,https://serpapi.com/searches/685130ef932b0efa0d486db1/images/a82a73db96490fabd2b02e75a48cc9f581a53f45ef278ffcc11960b84cacc645.jpeg,"['6 days ago', 'Full-time', 'No degree mentioned', 'Health insurance']","I am working with a leading global hedge fund who are seeking an elite Quantitative Developer to join their New York office.

My client is seeking a skilled Python Quantitative Developer to join their Quant Team and drive their new systematic platform to unparalleled heights.

As a member of this team, you will be working closely with existing quants to optimise and enhance their existing systematic trading platform, and work closely with systematic PMs on idea generation and construction of strategies that support their investment ideas.

You will be joining a highly prolific team in the firm, working alongside some of the brightest quants and engineers in the industry, and tasked with building out a new systematic trading platform that will service various systematic portfolio managers. You will report directly into the Head of Technology and have continuous exposure to and interaction with PMs, traders and senior management.

My client anticipates to pay a strong performer upwards of $400k year 1 total compensation package. As well as a market-leading compensation package, they offer exceptional benefits including a top-tier healthcare package, fully subsidised qualifications plus breakfast and lunch paid for each day.

To apply, either respond to this advert or send your CV directly to sasha.duquesne@mondrian-alpha.com.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIChQeXRob24pIC0gVGllciAxIEZ1bmQgLSBEaXNjcmVldCBTZWFyY2ggLSBVcCB0byAkNDAwayBUQyIsImNvbXBhbnlfbmFtZSI6Ik1vbmRyaWFuIEFscGhhIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJVcjVQVkZtRUl5RHJnV3VZQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,6 days ago,Full-time,,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
Quantitative Developer (Affiliated Trading),Kalshi,"New York, NY",Built In,https://serpapi.com/searches/685130ef932b0efa0d486db1/images/a82a73db96490fab04314f03b8f0ab9548aa41e3c0cb403bafa00efc064b5c97.jpeg,"['7 days ago', '60K–120K a year', 'Full-time', 'No degree mentioned']","Kalshi is defining a new category

Kalshi has defined a new category: prediction markets. Kalshi allows people to trade on the outcome of any events and turn any question about the future into a financial asset. Kalshi fought for years and legalized prediction markets in the US for the first time in history. Kalshi is currently the fastest growing financial market in America, and has thousands of markets across politics, economics, financials, weather, tech, AI, culture and more.

We believe prediction markets have the potential to be the largest financial market because they turn anything into a financial position.
• Our vision: well… build the largest financial market on the planet.
• Our mission: bring more truth to the world through the power of markets.

Building a new category is hard… like really hard. But it’s beautiful and deeply fulfilling. Our culture is simple: we hire really talented people, work really hard, and enjoy the climb. We are looking for ambitious and exceptional people to join our (relatively small) team to help us build the next generation of financial markets.
Role Roadmap

Kalshi Trading is the market-making arm of Kalshi. It aims to provide liquidity to all the markets in the Kalshi Exchange, as well as price them efficiently. As an Engineer, you will be responsible for planning, building and maintaining autonomous systems that execute and support our market making strategies on the Kalshi Exchange. We are looking for someone with 3-7 years of experience building distributed and performance engineering systems as well as a strong understanding of theoretical trading system design. We're scaling, which means your role will evolve and grow with the company; your initial attack threads include:
• Deal with large betting and sports datasets
• Building sports forecasting models using game data
• Using bookmaker odds data in conjunction with original modeling to generate prices
• Programming ability required (Python, R, or similar languages for statistical modeling)
• Experience working in the sports or betting industries preferred
• Building autonomous systems that will dynamically allocate liquidity on the Kalshi Exchange, based on the outputs from the forecasting models and algorithms
• Working on performance and ensuring the systems are operating reliably and with low latency
• Retrieving, organizing, storing and exposing data from the Kalshi Exchange as well as from a variety of external data sources
• Working with the research team to implement the forecasting models and algorithms they develop in scalable and efficient ways
• Maintaining an organized record of all of the trades executed by the market maker

The rest of what the role looks like is up to you - a big part of our approach is that you get to chart your path as we grow and evolve. You will have a lot of influence in shaping what both your role and the activity of Kalshi Trading look like as we grow. There's a lot of green field to conquer, we trust that you'll make a lot of it your own :)
Our Culture

Meritocracy is at our core, and we value people who take ownership and figure (usually hard) things out. We dream big. We love our craft deeply and are proud of what we put out in the world. We are committed to our vision of building something big… but also useful: a product that brings more truth through the power of markets.

Kalshians are Kalshi’s most important asset: we pick Kalshians carefully, so we trust them fully on day 1.

Commitment to Equal Opportunity

Kalshi is committed to creating a culture of inclusion and belonging, and we are proud to be an equal opportunity employer. We believe it is our collective responsibility to uphold these values and encourage candidates from all backgrounds to join us in our mission. All qualified applicants will be treated with respect and receive equal consideration for employment without regard to race, color, creed, religion, sex, gender identity, sexual orientation, national origin, disability, uniform service, veteran status, age, or any other protected characteristic per federal, state, or local law. If you are passionate about what you do and want to use your talents to support our mission and values, we’d love to hear from you.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIChBZmZpbGlhdGVkIFRyYWRpbmcpIiwiY29tcGFueV9uYW1lIjoiS2Fsc2hpIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJMQmRBQVVMZHlfMDRHMG0zQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,7 days ago,Full-time,60K–120K a year,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
Central Risk Services | Quantitative Developer,Citadel,"New York, NY",Built In NYC,https://serpapi.com/searches/685130ef932b0efa0d486db1/images/a82a73db96490fab2250d0510451f3de5ab0c23fe498548b4fdd49bf203594fc.png,"['4 days ago', '150K–300K a year', 'Full-time', 'No degree mentioned', 'Dental insurance', 'Health insurance']","Job Description
Title: Quantitative Developer
Business: Central Risk Services
Location: New York or London
Citadel is focused on continuously advancing its technology platform to maintain and expand its competitive advantage. We are looking for engineers to contribute to a unified risk platform that spans businesses and asset classes, enabling greater flexibility and improving efficiency across the firm.
Primary Responsibilities
• Use creative problem solving to build scalable, robust systems that work seamlessly across all asset classes.
• Work in a team environment that closely integrates trading, quantitative research, and technology.
• Design and develop a world-class next-generation risk analytics platform.
• Work on large-scale financial data problems, in a fast-paced, entrepreneurial, and highly collaborative team.
• Evaluate and select technology solutions that will directly impact Traders, Portfolio Managers, and Leadership.

Qualifications
• Expertise in engineering platform solutions using Java and C++ or Python on systems of considerable scale and complexity.
• Strong computer science fundamentals and deep software development experience in Java and C++ or Python.
• Exposure to real-time financial data management and analytics systems.
• Experience working on pricing & risk of vanilla and OTC products.
• Demonstrated ability to collaborate effectively with quantitative researchers or traders to understand their needs and design and engineer scalable, robust solutions.

In accordance with applicable law, the base salary range for this role is $150,000 to $300,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.
About Citadel
Citadel is one of the world's leading alternative investment managers. We manage capital on behalf of many of the world's preeminent private, public and nonprofit institutions. We seek the highest and best use of investor capital in order to deliver market leading results and contribute to broader economic growth. For over 30 years, Citadel has cultivated a culture of learning and collaboration among some of the most talented and accomplished investment professionals, researchers and engineers in the world. Our colleagues are empowered to test their ideas and develop commercial solutions that accelerate their growth and drive real impact.",eyJqb2JfdGl0bGUiOiJDZW50cmFsIFJpc2sgU2VydmljZXMgfCBRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIiwiY29tcGFueV9uYW1lIjoiQ2l0YWRlbCIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoicWVFcHlHZ3M5NDBGajRNd0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,4 days ago,Full-time,150K–300K a year,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
Quantitative Developer,Matlen Silver,"Jersey City, NJ",Matlen Silver,,['11 days ago'],"Job Title: Quant Developer

Duration: 18 Month W2 Contract

Location: Jersey City
$60-$70/hour

Job Description:
The team is a central team of PS and Quant software engineers partnering with the LOB to onboard production processes onto GCP platform.
Project Management Controls and Automation. Provide transparency of deliveries with E2E project management, Change management, and JIRA tracking.
• Production Quality Software Development. Build a strategic high quality production ready codebase to meet longer term needs of our teams aligned to GRA vision.
• Central S/W Engineering Pool. Hire and develop central pool of S/W Engineering talent which can be shared across our teams.
• Data Loading Optimization for developers. Build production ready optimized data model in codebase to minimize data inconsistencies for Tech deployments.
• GCP Integration & Onboarding of our Models. Provide GCP onboarding of our processes and implement code for GCP platform where applicable.
• S/W development Governance and Control. Apply SDLC and CI/CD controls for software development complying with GRA S/W governance standards and measure performance via metrics.
• Required and Desired Candidate Qualifications Including# of Years Prior Experience Needed: Project management across multiple teams and multiple stakeholders
• Creating project documentation and reporting utilizing Tableau
• Degree in quantitative, mathematics, economics, engineering, finance, or physics discipline
• SAS/Python Programming
• Hadoop/HIVE/Jira development
• Software Engineering

Job Description:
The candidate will have the opportunity to learn the latest developments in Global Risk Analytics, interact with industry-leading subject matter experts, apply software engineering skills and development skills to meet business and regulatory requirements, and develop a career in this fast-paced and ever-changing world. This role demands a highly technical skillset, including analytical, Database programming, organizational, communication, and functional documentation capabilities. This role will provide Business Analysis and project support for multiple projects for Global Risk Analytics/ SERA

Position Overview:
Responsible for independently performing Business analysis, Data analysis and providing the relevant materials. Strong DB programming , technical documentation, flow chart creation and basic project management skills are required. Participates in projects which are building out strategic model development infrastructure. Creates documentation for all activities and may work with technology staff in design of any system to run models developed. Incumbents possess excellent analytical and documentation skills and are able to influence strategic direction and develop delivery plans.
Candidate Requirements (Including Years): Required Skills and Experience:
Graduate degree in quantitative or STEM discipline (e.g. Mathematics, Economics, Engineering, Finance, Physics)
5+ experience in DB programming on DBs like Oracle, HIVE, Hadoop/HIVE, etc.
5+ years’ experience in creating flow charts and senior leadership presentations using Excel. Visio, Power Point
5+ years’ experience in performing data analysis and preparing presentation materials for the Analysis
5+ years’ experience in working with JIRA and Git and have experience running Scrum calls
3+ years’ experience in writing technical documentation and functional specs for software implementation
Strong analytical and problem-solving skills
Strategic thinker with strong verbal and written communications
Strong data analysis and data reporting skills required

Desired Skills and Experience:
• Experience with data structure design and data structure administration

About Matlen Silver

Experience Matters. Let your experience be driven by our experience. For more than 40 years, Matlen Silver has delivered solutions for complex talent and technology needs to Fortune 500 companies and industry leaders. Led by hard work, honesty, and a trusted team of experts, we can say that Matlen Silver technology has created a solutions experience and legacy of success that is the difference in the way the world works.

Matlen Silver is an Equal Opportunity Employer and considers all applicants for all positions without regard to race, color, religion, gender, national origin, age, sexual orientation, veteran status, the presence of a non-job-related medical condition or disability, or any other legally protected status.

If you are a person with a disability needing assistance with the application or at any point in the hiring process, please contact us at email and/or phone at: info@matlensilver.com // 908-393-8600",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIiwiY29tcGFueV9uYW1lIjoiTWF0bGVuIFNpbHZlciIsImFkZHJlc3NfY2l0eSI6IkplcnNleSBDaXR5LCBOSiIsImh0aWRvY2lkIjoiYjg2UEEwaXdaelZtLW5zU0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,11 days ago,,,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
Quant Systems: Systems Developer (London),The D. E. Shaw Group,"New York, NY",The D. E. Shaw Group,,"['6 hours ago', 'Full-time']",The D. E. Shaw group seeks an inquisitive technology enthusiast to join its Quant Systems team. This is a hands-on technical role within an engineering team responsible for high performance trading and research infrastructure.,eyJqb2JfdGl0bGUiOiJRdWFudCBTeXN0ZW1zOiBTeXN0ZW1zIERldmVsb3BlciAoTG9uZG9uKSIsImNvbXBhbnlfbmFtZSI6IlRoZSBELiBFLiBTaGF3IEdyb3VwIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiI0c2l5MXk1cVUwQTVfU3lCQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,6 hours ago,Full-time,,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
Quantitative Developer- Python & C++,"Denken Solutions,Inc","New York, NY",Denken Solutions,https://serpapi.com/searches/685130ef932b0efa0d486db1/images/a82a73db96490fab23fd315a8318b6ccf41bbc94262e19d1a6ae5af171e5410e.jpeg,"['14 days ago', 'Contractor']","Currently, we are looking for talented resources for one of our listed clients. If interested please reply to me with your updated resume or feel free to reach out to me for more details at (949) 889-0336 Hybrid role - 3 days Onsite and 2 days Remote Job Description: The candidate needs to be super programming proficient, knowing python and C++, can handle difficult programming or even system design questions This role is focused on the Quant Development (QD) side of the In Business Risk Quant team. In addition to providing technical support, the QDs in this team focus on tools, library architecture, testing and releases as well as development work. Many of the tools and framework development will be shared by other asset classes so a collaborative focus is essential. The business is subject to increasingly strict demands from regulators, in particular with respect to model testing. Investment is necessary to support these new regulatory requirements and Client's strategic initiative to unify tools and processes across every asset class. Providing technical and design support for Quants, and supporting clients of the library are also an important part of the role. Responsibilities: Develop analytics libraries used for pricing and risk-management on Windows and Linux Testing and reporting framework development including tools Library re-architecting including analytical code Library extensions and enhancements as dictated by the trading desks Collaborate closely with Quantitative Analysts, Traders, Structurers, and technology professionals Work in close partnership with control functions such as Legal, Compliance, Market and Credit Risk, Audit, Finance in order to ensure appropriate governance and control infrastructure Qualifications: 6+ years Experience in a comparable quantitative development or technology role Must have technical/programming skills; Python; and Software design and principles Desired: TypeScript, Product knowledge, Investments and Quantitative Methods Consistently demonstrates clear and concise written and verbal communication skills Education: Bachelor’s/University degree or equivalent experience This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required. About us: At our organization, we take our mission and values to heart! We are on a mission to offer more and better jobs all over the world! Our goal is to care for you while you care for our clients and get you paid the highest pay possible. All our associates working with us are expected to embrace our RACE values: R - Results Matter, A- Approachable, C - Care, and E - Emergency i.e. work with a sense of urgency. For more relevant job opportunities please visit our website: Denken Solutions Careers",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyLSBQeXRob24gXHUwMDI2IEMrKyIsImNvbXBhbnlfbmFtZSI6IkRlbmtlbiBTb2x1dGlvbnMsSW5jIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJRNHRsYmI5WDdGQlJXSy1iQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,14 days ago,Contractor,,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
Quantitative Developer - AI Implementation,WorldQuant,"New York, NY",LinkedIn,https://serpapi.com/searches/685130ef932b0efa0d486db1/images/a82a73db96490fabb373e3c78523051d79d0a91df6bc350cf3c229a3183e33af.jpeg,"['5 days ago', '150K–200K a year', 'Full-time', 'Health insurance', 'Paid time off', 'Dental insurance']","WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.

WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it.

The Role: WorldQuant offers an exciting opportunity for a Quantitative Strategist to join the Artificial Intelligence team. Reporting directly to the firm’s Head of AI, the individual will be part of a dynamic group of researchers. Together they enable the firm to implement AI at each layer of the investment process — from data to models to strategies and execution. The team has created a platform for the end-to-end optimization of all the modules used in trading.

On the AI team at WorldQuant, you will make a cross-functional impact and have the opportunity to:
• Build AI/ML/reinforcement learning/optimization models for investment selection, optimization, execution, and more
• Implement AI solutions throughout the firm via collaboration with portfolio management, risk, and other research teams
• Access the firm’s state-of-the-art data and hardware systems
• Develop the foundational software used for AI at WorldQuant

What You’ll Bring
• At least 2 years of experience training AI, ML, reinforcement learning, and related models -- in the technology, academia, or quantitative trading domains
• Hands-on experience building, testing and maintaining complex software systems
• Willingness to explain and defend employed models, their interpretation and business value to the team and stakeholders
• Experience developing AI/ML algorithms and infrastructure
• Excellent knowledge of Python, NumPy and Pandas
• Experience with at least one of: XGBoost, LightGBM, CatBoost, Tensorflow, PyTorch, MOSEK, CVXPY
• Graduate-level research experience in Artificial Intelligence or related field, including work published and/or accepted to major a conference is a plus.
• C++ knowledge is a plus

Our Benefits
• Core Benefits: Fully paid medical and dental insurance for employees and dependents, flexible spending account, 401(k), fully paid parental leave, generous PTO with unlimited sick days
• Perks: Employee discounts for gym memberships, wellness activities, healthy snacks, casual dress code
• Training: learning and development courses, speakers, team-building off-site
• Employee resource groups

WorldQuant is a total compensation organization where you will be eligible for a base salary, discretionary performance bonus, and benefits. The estimated salary range for this position is $150,000 to $200,000 which is specific to New York and may change in the future. When finalizing an offer we will take into consideration an individual’s experience compensation organization where you will be eligible for a base salary, discretionary performance level and the qualifications they bring to the role to formulate a competitive total compensation package.

By submitting this application, you acknowledge and consent to terms of the WorldQuant Privacy Policy. The privacy policy offers an explanation of how and why your data will be collected, how it will be used and disclosed, how it will be retained and secured, and what legal rights are associated with that data (including the rights of access, correction, and deletion). The policy also describes legal and contractual limitations on these rights. The specific rights and obligations of individuals living and working in different areas may vary by jurisdiction.

Copyright © 2025 WorldQuant, LLC. All Rights Reserved.

WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIC0gQUkgSW1wbGVtZW50YXRpb24iLCJjb21wYW55X25hbWUiOiJXb3JsZFF1YW50IiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJaSWpIdmp5MVFkTGlvRThnQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,5 days ago,Full-time,150K–200K a year,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
"Quantitative Developer, Systematic Investment Team",Millennium Management,"New York, NY",Indeed,https://serpapi.com/searches/685130ef932b0efa0d486db1/images/a82a73db96490faba791432e51bf2d897a10c7dd1c9f8d357d052dfac323098b.jpeg,"['18 days ago', '150K–200K a year', 'Full-time', 'Health insurance']","Quantitative Developer, Systematic Investment Team

Quantitative Developer, Systematic Investment Team

Please direct all resume submissions to QuantTalentUS@mlp.com.

Millennium is a top tier global hedge fund with a strong commitment to leveraging market innovations in technology and data to deliver high-quality returns.

Job Description

A fast-growing, collaborative and entrepreneurial systematic investment team is seeking a highly skilled Quantitative Developer with experience in quantitative trading. The ideal candidate will play a key role in developing and maintaining the internal research and trading infrastructure, managing production strategies, and optimizing data and execution pipelines. This position offers significant career growth opportunities and direct exposure to alpha research, with the potential to transition into a Quantitative Developer/Researcher role.

Location

New York

Principal Responsibilities
• Work closely with the Senior Portfolio Manager to support the development of systematic macro strategies, with a focus on:
• Internal platform and library ecosystem development
• Data pipeline design and management
• Production strategy monitoring and optimization
• Execution pipeline development
• Collaborate in a transparent and team-oriented environment, contributing to the broader research and trading infrastructure.
• Gain exposure to systematic macro alpha research, with opportunities to transition into a Quantitative Researcher/Developer role.

Preferred Technical Skillset
• Strong programming skills, with proficiency in Python.
• Solid experience with data analytics libraries (e.g., Pandas, SciPy, NumPy, Polars); extensive library-building experience in quantitative trading field.
• Masters or PhD degree in a quantitative subject such as Applied Mathematics, Statistics, Physics, Engineering, Financial Engineering, Computer Science or related field from a top ranked university. Strong candidates with Bachelor’s degree will also be considered.
• Exceptional problem-solving abilities, attention to details and intellectual curiosity in financial markets.
• Interest in alpha research, with a potential inclination toward a developer/researcher hybrid role.

Preferred Experience
• 2-5 years of experience in quantitative trading, with a strong background in library and infrastructure development.
• Experience in macro intraday strategies is a strong plus.
• Exposure to machine learning applications in quantitative trading is a plus.

Target Start Data
• Up to 6 months (strong preference for candidates who can start sooner)

Millennium pays a total compensation package which includes a base salary, discretionary performance bonus, and a comprehensive benefits package. The estimated base salary range for this position is $150,000 to $200,000, which is specific to New York and may change in the future. When finalizing an offer, we take into consideration an individual’s experience level and the qualifications they bring to the role to formulate a competitive total compensation package.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyLCBTeXN0ZW1hdGljIEludmVzdG1lbnQgVGVhbSIsImNvbXBhbnlfbmFtZSI6Ik1pbGxlbm5pdW0gTWFuYWdlbWVudCIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiWG9DS3dqa1BfanZBNmZNWkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,18 days ago,Full-time,150K–200K a year,2025-06-17 11:10:10.649863,Quantitative Developer,"New York, United States",
