title,company_name,location,via,thumbnail,extensions,description,job_id,posted_at,schedule_type,salary,date_time,search_term,search_location,work_from_home
Equity Quantitative Research | Equity Model Research | Quantitative Researcher,Citadel,"New York, NY",Citadel,https://serpapi.com/searches/68512e00d2d74032f20f29e4/images/076ca627678934ca114f8c0888908cd073dba09b333f11eab75e11bce1903d9f.png,"['1 day ago', 'Full-time', 'Dental insurance', 'Health insurance']","Business: Equity Quantitative Research (EQR)

Title: Quantitative Researcher, Equity Model Research (EMR)

Location: New York

About Citadel
Citadel is one of the world’s leading alternative investment managers. We manage capital on behalf of many of the world’s preeminent private, public and nonprofit institutions. We seek the highest and best use of investor capital in order to deliver market leading results and contribute to broader economic growth. For over 30 years, Citadel has cultivated a culture of learning and collaboration among some of the most talented and accomplished investment professionals, researchers and engineers in the world. Our colleagues are empowered to test their ideas and develop commercial solutions that accelerate their growth and drive real impact.

About Equity Quantitative Research
Equity Quantitative Research (EQR) sits at the intersection of fundamental investment approach and quantitative rigor and discipline. Teams of quantitative researchers and developers work together to build and scale one of the largest equities portfolios in the market by optimizing various aspects of the investment, risk management, portfolio construction, and trade execution lifecycle. EQR’s teams are small and highly collaborative – each member makes meaningful contributions to the research agenda and direction, and has visible impact in Citadel’s investments.

Equity Model Research
The Equity Model Research team (EMR) is responsible for the tools and analytics required for portfolio construction, risk management, and hedging of Citadel's equities portfolios. The customized risk models and hedging framework developed by EMR are central to Citadel's ability to manage our business and provide a competitive advantage to our investment teams.

Responsibilities
• Research portfolio construction and optimization in the context of large complex equity portfolios
• Apply cutting edge computational techniques and statistical methods to solve complex problems
• Build proprietary risk models for both fundamental and quant equity long-short strategies
• Develop econometric and mathematical models to define stress scenarios and estimate the statistical properties of drawdowns
• Leverage economic models and financial analysis to define fundamental factors driving the cross-section of stock returns
• Engage with a variety engineering and research teams to implement analytics in production
• Work closely with Portfolio Managers and Risk Managers to understand and incorporate risk metrics and methodologies within the investment process
• Stay up to date on the latest academic and industry research and challenge yourself to continually improve and challenge the way things are done
• Explore new and alternative data sources while developing a deep understanding of financial markets

Requirements
• Bachelors, Masters, or Ph.D. in Statistics, Mathematics, Operations Research, Economics or a related field
• Advanced training in Statistics, Mathematics, Finance/Financial Engineering or a related field
• Strong mathematical and/or statistical modeling background
• Demonstrated empirical skill; comfortable with analysis of large datasets
• Intellectual curiosity and passion for solving investment problems through the use of technology and fundamentals
• Demonstrated interest in or knowledge of investments, including asset pricing, empirical anomalies and market microstructure
• Previous exposure to a quantitative research role with exposure to equity factor models preferred
• Experience using statistical packages (e.g. Matlab, R) and experience with programming & scripting languages (e.g. Python, C/C++)

In accordance with applicable law, the base salary range for this role is $175,000 to $300,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.",eyJqb2JfdGl0bGUiOiJFcXVpdHkgUXVhbnRpdGF0aXZlIFJlc2VhcmNoIHwgRXF1aXR5IE1vZGVsIFJlc2VhcmNoIHwgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIiLCJjb21wYW55X25hbWUiOiJDaXRhZGVsIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJZOVRZNzJ4QmpPSmdVWVh1QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,1 day ago,Full-time,,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
"Quantitative Researcher, Portfolio Research",Point72,"New York, NY",LinkedIn,https://serpapi.com/searches/68512e00d2d74032f20f29e4/images/076ca627678934ca2a56d7786ef614934e8b3d178881e48d2ed94fb07de3076a.jpeg,"['9 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance']","Role:

The portfolio researcher role involves:
• Quantitative portfolio optimization
• Quantitative risk control and risk factor research
• Analysis and research on transaction costs and market impact
• Build consolidated forecasts from individual signals

Responsibilities:
• Conduct alpha, risk, and transaction cost research
• Monitor portfolio performance and identify opportunities for alpha research and risk control
• Work with engineers to build portfolio simulation and analysis tools

Requirements:
• 3+ years of experience with mid-frequency trading
• Deep understanding of portfolio optimization techniques, including:
• Mean-variance optimization
• Risk budgeting
• Transaction cost models
• Factor-neutral or dollar-neutral construction
• Demonstrated ability to maintain alpha decay discipline
• Deep intuition for portfolio-level risks: exposure to style/factor risk (e.g., momentum, value), sector risk, macro risk, and understanding of:
• Real-time risk monitoring
• Drawdown control and stop-loss frameworks
• Scenario analysis / stress testing
• Strong grasp of data engineering and research infrastructure—can work with our quant researchers and developers
• Commitment to the highest ethical standards

The annual base salary range for this role is $200,000-$300,000 (USD) , which does not include discretionary bonus compensation or our comprehensive benefits package. Actual compensation offered to the successful candidate may vary from posted hiring range based upon geographic location, work experience, education, and/or skill level, among other things.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciwgUG9ydGZvbGlvIFJlc2VhcmNoIiwiY29tcGFueV9uYW1lIjoiUG9pbnQ3MiIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiVGxnZFJiUkpmb0tVMEtNQUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,9 hours ago,Full-time,,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
All Positions in Quantitative Strategies,The D. E. Shaw Group,"New York, NY",The D. E. Shaw Group,,"['7 hours ago', 'Full-time', 'No degree mentioned']","Are you looking for new challenges and collaborative problem-solving opportunities at the firm, but finding that the perfect role for you might not be currently available? If you’d like the group to consider your candidacy without specifying a role, we invite you to submit a general, exploratory application here.",eyJqb2JfdGl0bGUiOiJBbGwgUG9zaXRpb25zIGluIFF1YW50aXRhdGl2ZSBTdHJhdGVnaWVzIiwiY29tcGFueV9uYW1lIjoiVGhlIEQuIEUuIFNoYXcgR3JvdXAiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6InQ3RkhkOEJkcUVmeUV3LUlBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,7 hours ago,Full-time,,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
Quantitative Researcher / Quantitative Research Analyst,Citadel Securities,"New York, NY",Built In NYC,https://serpapi.com/searches/68512e00d2d74032f20f29e4/images/076ca627678934caec44810433ae5ea722f4e5318e960df8348381eaf6fc8a5a.png,"['11 days ago', '250K–350K a year', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance']","Job Description
Role Summary
At Citadel Securities, a leading global market maker, our team of quantitative researchers models the markets and brings trading strategies to life every day. Specifically, this team develops and tests automated quant trading strategies using sophisticated statistical techniques. We're looking for an extraordinary quantitative researcher who is committed to our core values that include winning, acting with integrity, continuously learning, and cultivating a meritocracy.
Opportunities may be available from time to time in any location in which the business is based for suitable candidates. If you are interested in a career with Citadel, please share your details and we will contact you if there is a vacancy available.
Objectives
• Conduct research and statistical analyses in the evaluation of securities
• Work with large data sets, including unconventional data sources, to predict and test statistical market patterns
• Conceptualize valuation strategies, develop and continuously improve mathematical models, and translate algorithms into code
• Back test and implement trading models and signals in a live trading environment

Skills and Preferred Qualifications
• Advanced training in mathematics, statistics, physics, computer science, or another highly quantitative field
• Proficiency in probability & statistics (e.g. time-series analysis, machine learning, pattern recognition, NLP)
• Prior experience working in a data driven research environment
• Hands on programming experience in scripting (e.g. Python), analytical packages (e.g. R, Matlab) and/or compiled languages (e.g. C++)
• A background demonstrating strong analytical problem solving skills
• An ability to communicate advanced concepts in a concise and logical way
• Proficiency in creating and using algorithms to meticulously investigate and work through large data or error-checking problems

In accordance with applicable law, the base salary range for this role is $250,000 to $350,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.
About Citadel Securities
Citadel Securities is the next-generation capital markets firm and a leading global market maker. We provide institutional and retail investors with the liquidity they need to trade a broad array of equity and fixed income products in any market condition. The brightest minds in finance, science and technology use powerful, advanced analytics to solve the market's most critical challenges, turning big ideas into real-world outcomes.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAvIFF1YW50aXRhdGl2ZSBSZXNlYXJjaCBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiQ2l0YWRlbCBTZWN1cml0aWVzIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJQXzFVczBrWWE5WVF6LS02QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,11 days ago,Full-time,250K–350K a year,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
Quantitative Researcher/Trader - ETFs,Tardis Group,"New York, NY",Experteer,,"['3 days ago', '78,740–98,424 a year', 'Full-time']","Quantitative Researcher/Trader - ETFs
Company Description:

We are partnered with a systematic trading firm (intraday to multi day holding periods) distinct from larger, more traditional names, as they seek to expand their presence in the ETF market.

My client is uniquely positioned with the ability to trade ETFs across both their proprietary and hedge fund platforms.
Role Description:

The strategy is currently small but is a core focus for growth and investment.

In regard to how they view this opportunity, they’re inclined to adopt a portfolio-driven approach, rather than high-speed market-making or creation/redemption strategies.

This opportunity offers significant growth potential for an experienced professional.
Qualifications:
• An advanced degree in a STEM discipline.
• 6+ years of alpha generation experience in ETFs at a reputable firm within the ETF space.
• Experience trading ETFs from a portfolio-driven approach vs creation/redemption or high-speed MM strategies.
• Equities ETF experience preferred over Fixed Income/other products.

Locations: New York, London, or Remote.
• Please note that we will not respond and share information with applicants that we deem unsuitable for the position.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlci9UcmFkZXIgLSBFVEZzIiwiY29tcGFueV9uYW1lIjoiVGFyZGlzIEdyb3VwIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJLcTVyVTRYWkVKeTVZa0Z4QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,3 days ago,Full-time,"78,740–98,424 a year",2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
Quantitative Researcher - Machine Learning,Point72,"New York, NY",Built In NYC,https://serpapi.com/searches/68512e00d2d74032f20f29e4/images/076ca627678934cacf5d73a684626d57654ebf8174ff2531119ed1e0b2156c5c.jpeg,"['14 days ago', 'Full-time']","About Cubist

Cubist Systematic Strategies, an affiliate of Point72, deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources.

Role/Responsibilities:

We are seeking a quantitative researcher for the Cubist Machine Learning Research group with experience in machine learning, especially recent deep learning and natural language processing technology.

Researchers will use a rigorous scientific method to develop sophisticated trading models and shape our insights into how the markets will behave. Successful researchers manage all aspects of the research process including data ingestion and processing, data analysis, methodology selection, implementation and testing, prototyping, and performance evaluation.

Researchers will be introduced to industry standard datasets, including understanding which data may be relevant to a certain model or financial problem; how to collect, parse, and clean the data; how to incorporate the data into innovative functional models; how to construct and develop features from raw data; and how to estimate effectiveness of such features.

Researchers will also be provided with the opportunity to implement the full breadth of their knowledge and training to actively participate in all stages of research & development of financial models through use of machine learning. Based on experience from working with existing industry-standard models and algorithms, researchers will learn how to construct their own models in order to solve complex financial problems and enhance data prediction capabilities within the financial services industry.

Requirements:
• PhD or PhD candidate in machine learning, computer science, statistics, or a related field
• Experience with sequential modeling and time series forecasting using deep learning
• Experience with deep neural networks and representation learning
• Prior experience working in a data driven research environment
• Experience with translating mathematical models and algorithms into code
• Proficient in programming languages such as Python and R
• Experience with machine learning software libraries such as TensorFlow or PyTorch
• Experience with natural language processing technology a strong plus
• Excellent analytical skills, with strong attention to detail
• Interest in applying machine learning to finance
• Collaborative mindset with strong independent research ability
• Strong written and verbal communication skills

We’re looking for exceptional colleagues with unparalleled passion. If you’d like your resume to stand out, tell us about your exceptional personal achievements, even if they have nothing to do with finance. Of course we love to hear more about specific engineering or data projects that you’ve worked outside of school, or as part of your curriculum. If you’re proud of the work you did we want to hear about it. In addition to exceptional statisticians and engineers, we work with talented musicians, writers, mathematicians, and founders of non-profits; we’d love to learn more about what excites you.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAtIE1hY2hpbmUgTGVhcm5pbmciLCJjb21wYW55X25hbWUiOiJQb2ludDcyIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiItNW9KUzd1NHB5d1F5elJXQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,14 days ago,Full-time,,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
"Quantitative Researcher, Early Career",Aquatic Capital Management,"New York, NY",Built In,https://serpapi.com/searches/68512e00d2d74032f20f29e4/images/076ca627678934caf74b2d4c84d8a5d311a8988b42df1c764c2c7935363441d6.jpeg,"['6 days ago', '150K–200K a year', 'Full-time', 'Health insurance', 'Paid time off', 'Dental insurance']","Aquatic was founded with a shared passion for tackling some of the most complex challenges in one of the world’s most competitive arenas—global financial markets. From the very beginning, we have been driven by a deep commitment to applying cutting-edge scientific research and technological innovation to deliver unparalleled performance. Our journey is one of continuous growth and exploration, marked by a spirit of curiosity and relentless drive for excellence.

As a Quantitative Researcher, you will collaborate closely with a team to develop and implement quantitative trading signals, models, and strategies. Our role offers the opportunity to design, implement, and evaluate research systems components using rigorous statistical methodologies. As part of the team, you will gain exposure to diverse research areas, accelerating your expertise in quantitative finance.

Requirements:
• A Bachelor’s degree (BS) in mathematics, statistics, machine learning, physics, computer science, or other scientific disciplines is required.
• Candidates may have up to 3 years of professional experience or be actively pursuing a BS or MS in these fields, with an expected graduation date in 2025 or 2026.
• Demonstrated proficiency in quantitative analysis and problem-solving
• Proficiency in Python programming
• Prior experience tackling data-intensive challenges, conducting and completing statistical or applied mathematical research
• Successful participation in mathematical competitions is a plus e.g., IMO, Putnam
• Prior experience in a quantitative role within a trading environment a plus

Desired qualities:
• Intellectually curious, creative, and rigorous
• Willingness to challenge assumptions and revise opinions in the face of compelling evidence
• Self-motivated and highly productive, with a strong sense of urgency and accountability
• Willing to take ownership of one’s work, working both independently and within a small team
• Meticulous attention to detail
• Ability to manage and prioritize multiple threads of work
• Able to work across disciplines
• Excellent communication and collaboration skills
• Comfortable providing and receiving actionable feedback in a collaborative team setting

The base salary for this role is anticipated to be between $150,000 and $200,000, which is based on information at the time of posting. This position may also be eligible for additional forms of compensation, such as a discretionary bonus, and benefits. Discretionary bonus can be a significant portion of total compensation. Actual compensation for successful candidates will be carefully determined based on a number of factors, including their unique skills, qualifications and relevant experience.

Benefits:
• Benefits: For full-time employees, fully paid medical, dental, and vision for employees and dependents, competitive 401k plan, employer-paid life & disability insurance
• Perks: Wellness programs, casual dress, snacks, lunch, game room, team and company events
• Development: Open environment to maximize learning and knowledge sharing
• Time: Generous PTO, paid holidays, competitive paid caregiver leaves

Aquatic Capital

This role represents a unique opportunity to join a quantitative investment manager in its early stage of growth. The firm’s culture will be shaped by collaboration, meritocracy, ambition, and calm determination.

Aquatic is a proud equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciwgRWFybHkgQ2FyZWVyIiwiY29tcGFueV9uYW1lIjoiQXF1YXRpYyBDYXBpdGFsIE1hbmFnZW1lbnQiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6Im5wRWFnLWlSdEhNT1V0Nm5BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,6 days ago,Full-time,150K–200K a year,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
Quantitative Researcher – Market Structure Research,Squarepoint Capital,"New York, NY",Teal,,"['19 days ago', 'Full-time']","About the position

Squarepoint Services US LLC seeks a Quantitative Researcher – Market Structure Research for its New York, NY location. The role involves researching trade activities and order placement patterns for futures from various regions, utilizing data to construct cashflow and book imbalance signals to predict futures’ short-term price movement. The researcher will conduct alpha realization checks, turnover analysis, and cost analysis to facilitate signal selection and portfolio construction. Additionally, the researcher will work with the manager on alpha monetization for the CTA short-term team, conduct time of day analysis, bias analysis, and capacity research to understand alpha performance. The position also requires designing alpha-specific monetization solutions and building high-performance, scalable, and cost-efficient portfolios. The researcher will construct portfolios based on alphas, scale portfolios to desirable risk levels and turnover, develop C++ code to parse exchange raw feed messages, and generate enriched bar data of interest. Responsibilities include maintaining and upgrading code during exchange feed updates, managing research database generation and live data publication, collaborating with other portfolio managers to expand Tique functionality, and monitoring the portfolio trading process while promptly fixing production issues.

Responsibilities
• Research trade activities and order placement patterns for futures from various regions.
,
• Utilize data to construct cashflow and book imbalance signals to predict futures’ short-term price movement.
,
• Conduct alpha realization checks, turnover analysis, and cost analysis to facilitate signal selection and portfolio construction.
,
• Work with manager on alpha monetization for CTA short-term team.
,
• Conduct time of day analysis, bias analysis, and capacity research to understand alpha performance.
,
• Design alpha-specific monetization solutions and build high-performance, scalable, and cost-efficient portfolios.
,
• Construct portfolios based on alphas and scale portfolios to desirable risk levels and turnover.
,
• Develop C++ code to parse exchange raw feed messages and generate enriched bar data of interest.
,
• Maintain and upgrade code during exchange feed updates.
,
• Manage research database generation and live data publication.
,
• Work with other portfolio managers to expand Tique functionality and produce data based on their request.
,
• Monitor portfolio trading process and promptly fix production issues.

Requirements
• Must have a minimum of a Master’s degree or foreign equivalent in any STEM (Science, Technology, Engineering, or Math) field of study.
,
• Must have 3 years of experience as a Quantitative Researcher, Research Associate, Quantitative Analyst, or related position for an investment/asset management organization.
,
• Must have at least three (3) years of employment experience with coding in C++/kdb/Python to handle raw exchange feed and generate microstructure features.
,
• Experience in implementing strategies in production.
,
• Building high performance live feed handlers to process L3 high frequency feed for multiple futures exchanges in live using C++.
,
• Knowledge of and experience with global futures exchanges, exchange rules, and various microstructure feeds (futures/options/spreads).
,
• Research experience in futures intraday and daily alpha construction and global futures and FX Trading.
,
• Experience in signal selection, monetization, and implementation; portfolio risk scaling, cost analysis, and capacity/impact research.
,
• Experience in production coverage and monitoring, production issue identifying and handling.

Nice-to-haves

undefined

Benefits
• Salary / Rate Minimum/yr: $170,000
,
• Salary / Rate Maximum/yr: $195,000",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciDigJMgTWFya2V0IFN0cnVjdHVyZSBSZXNlYXJjaCIsImNvbXBhbnlfbmFtZSI6IlNxdWFyZXBvaW50IENhcGl0YWwiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6IjI2dVluSC14WTFlZXB0MjdBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,19 days ago,Full-time,,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
Quantitative Research Analyst,Invesco,"New York, NY",Indeed,https://serpapi.com/searches/68512e00d2d74032f20f29e4/images/076ca627678934ca34cf6baa5a50489bdca89fb3ba62d9391613a2b4243bff3b.jpeg,"['12 days ago', '125K–135K a year', 'Full-time', 'Paid time off', 'Health insurance']","As one of the world’s leading asset managers, Invesco is dedicated to helping investors worldwide achieve their financial objectives. By delivering the combined power of our distinctive investment management capabilities, we provide a wide range of investment strategies and vehicles to our clients around the world.

If you're looking for challenging work, smart colleagues, and a global employer with a social conscience, come explore your potential at Invesco. Make a difference every day!

Job Description

Invesco is seeking a highly skilled and motivated Quantitative Research Analyst to join our innovative and entrepreneurial Custom Equity team. This role is ideal for someone with strong development skills and a passion for quantitative investment management. You will collaborate closely with portfolio managers to develop and enhance our sophisticated portfolio management platform. Your efforts will be pivotal in improving the production quality, automation, and scalability of our proprietary tax-optimized equity separately managed account technologies. Additionally, you will play a vital role in the daily management and optimization of portfolios, ensuring their successful performance using our advanced platform.

Key Responsibilities:
• Platform Development: Develop and automate enhancements for our proprietary portfolio construction platform.
• Portfolio Management: Oversee daily portfolio implementation processes, including optimization review and trading oversight.
• Research Collaboration: Work with the research team to implement new investment capabilities and methodologies.
• Data Management: Manage information and data services requirements, ensuring robust research platform programming.

Required Qualifications:
• Experience: Minimum 3 years of experience as a developer or quantitative analyst, preferably in quantitative investment management.
• Technical Skills: Excellent coding skills with extensive hands-on experience in Python is required; experience in cloud-based environments such as AWS is preferred.
• Quantitative Knowledge: Understanding of quantitative equity investment strategies.
• Analytical Skills: Strong analytical and mathematical skills, especially optimization techniques are essential.
• Econometrics and Statistics: Excellent working knowledge, including time-series analysis is required.
• Project Management: Proven ability to independently plan, coordinate, and execute development projects.

Skills and Attributes:
• Passion: Genuine passion for quantitative investment management.
• Results-Driven: Strong focus on high-quality execution and results.
• Initiative: Demonstrated ownership of quantitative research projects and proactive development of new techniques.
• Communication: Excellent written and verbal communication skills.
• Interpersonal Skills: Ability to communicate effectively with researchers, portfolio managers, client portfolio managers, distribution teams, intermediaries, and clients.
• Motivation: Highly motivated and driven, with the ability to work collaboratively across groups while staying focused on core research functions.
• Team Player: Reliable and responsible team player.
• Flexibility: Ability to work effectively in both in-office and hybrid settings.

Formal Education:
• Advanced degree in a quantitative or technical field, with demonstrated academic excellence.

The salary range for this position in New York City is $125,000 - $135,000 / year. The total compensation offered for this position includes salary and incentive pay and will vary based on skills, experience and location.

Full Time / Part Time

Full time

Worker Type

Employee

Job Exempt (Yes / No)

Yes

Workplace Model

At Invesco, our workplace model supports our culture and meets the needs of our clients while providing flexibility our employees value. As a full-time employee, compliance with the workplace policy means working with your direct manager to create a schedule where you will work in your designated office at least three days a week, with two days working outside an Invesco office.

What’s in it for you?

Our people are at the very core of our success. Invesco employees get more out of life through our comprehensive compensation and benefit offerings including:
• Flexible paid time off
• Hybrid work schedule
• 401(K) matching of 100% up to the first 6% with a discretionary supplemental contribution
• Health & wellbeing benefits
• Parental Leave benefits
• Employee stock purchase plan

The above information on this description has been designed to indicate the general nature and level of work performed by employees within this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job. The job holder may be required to perform other duties as deemed appropriate by their manager from time to time.

Invesco's culture of inclusivity and its commitment to diversity in the workplace are demonstrated through our people practices. We are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, creed, color, religion, sex, gender, gender identity, sexual orientation, marital status, national origin, citizenship status, disability, age, or veteran status. Our equal opportunity employment efforts comply with all applicable U.S. state and federal laws governing non-discrimination in employment.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2ggQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IkludmVzY28iLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6IkZoMHFzM29WS1FJQTNDZ0VBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,12 days ago,Full-time,125K–135K a year,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
ETF Quantitative Researcher/Trader,Alexander Chapman,"New York, NY",LinkedIn,https://serpapi.com/searches/68512e00d2d74032f20f29e4/images/076ca627678934ca0f44101271b2304c1adec09694f1332d4c196bd7db0ca0f7.jpeg,"['5 days ago', 'Full-time', 'No degree mentioned']","🔍 ETF Quantitative Researcher/Trader – New York | Leading Quant Hedge Fund 🔍

I'm partnering with a top-tier systematic hedge fund seeking an ETF Quantitative Researcher/Trader to join their New York team. This is an opportunity to design, implement, and trade systematic ETF strategies with full autonomy, leveraging institutional-grade infrastructure and significant capital allocation.

Why this role stands out:
• Build and manage systematic ETF strategies within a highly quantitative and research-driven environment
• Access to extensive datasets, advanced research tools, and low-latency execution systems
• Collaborate with top-tier quants, data scientists, and engineers in a performance-focused, low-politics culture
• Competitive payout structure with scalability and deep capital support
• Ideal candidate profile:

🔹 Proven track record in designing and executing systematic ETF strategies, with clear alpha generation

🔹 Expertise in portfolio construction, liquidity analysis, and risk management within ETF markets

🔹 Strong quantitative skills and programming experience (e.g., Python, R, C++, or equivalent)

🔹 Deep understanding of market microstructure, basket optimization, and ETF arbitrage opportunities

🔹 Bonus: experience with high-frequency trading, alternative data, or machine learning for signal enhancement

If you are currently managing ETF strategies or have deployable IP ready for scale, I’d be happy to connect.",eyJqb2JfdGl0bGUiOiJFVEYgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIvVHJhZGVyIiwiY29tcGFueV9uYW1lIjoiQWxleGFuZGVyIENoYXBtYW4iLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6ImJLbjZDQ1o2MFV2QVRxcHVBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,5 days ago,Full-time,,2025-06-17 11:07:30.717751,Quantitative Researcher,"New York, United States",
