title,company_name,location,via,thumbnail,extensions,description,job_id,posted_at,schedule_type,salary,date_time,search_term,search_location,work_from_home,share_link,job_highlights,apply_options,paid_time_off,dental_coverage,health_insurance
Quantitative Analyst / Software Developer,Point72,"New York, NY",Built In NYC,https://serpapi.com/searches/685131683d870124b3dd03d3/images/4f898bd8939aff09ea1e4d5352d5d1a5bd44eb29d6958f043ff206b13158dfc6.jpeg,"['5 days ago', 'Full-time']","About our Team:

KEPL is a fast-growing team at Cubist Systematic Strategies. We are an elite team specialized in trading medium-frequency statistical arbitrage strategies with high Sharpe. Led by an ex-research head of D.E. Shaw, the team is made up of people from top universities such as Stanford and MIT and industry veterans from top tier trading and tech firms, including Two Sigma, Citadel, Tower Research, Facebook AI, etc. We have an open and collaborative culture, and we embrace cutting-edge technologies to facilitate innovative research.

Role/Experience:

We are looking for a hybrid role of quantitative research analyst and software developer to join our fast-growing team and contribute to multiple new initiatives that aim to expand our business. The candidate should have a passion in technology to provide optimal solution to research and trading. In this team, the candidate will gain full-stack exposure and build expertise in multiple aspects of quantitative research and trading. The candidate will play an essential role for the team’s successful expansion. The candidate will also collaborate with researchers to innovate research tools which will take our research and trading capability to the next level.

Responsibilities:
• Develop, maintain, and improve the production trading system. Conduct research to further enhance team’s monetization.
• Build technologies that bolster research & trading productivity.
• Expand the system to new markets and asset classes.

Requirements
• Master/PhD degree in math, physics, computer science, engineering, or other related discipline.
• 1-3 years of professional experience in software development or quantitative research.
• Strong combination of quantitative skills and programming skills.
• Proficiency in Python 3 and either C++ or Java.
• Familiarity with the Linux environment",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgQW5hbHlzdCAvIFNvZnR3YXJlIERldmVsb3BlciIsImNvbXBhbnlfbmFtZSI6IlBvaW50NzIiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6IjlWUDNCbEVUdkliTTVETXpBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,5 days ago,Full-time,,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Front Office Quantitative Developer (Python) – HFT – NYC – WFH - Market Leading Compensation,Mondrian Alpha,"New York, NY",LinkedIn,https://serpapi.com/searches/685131683d870124b3dd03d3/images/4f898bd8939aff092fe78c1fb912b07f4d566c5d2b89442cadb0b5eb517bf288.jpeg,"['1 day ago', 'Full-time']","Front Office Quantitative Developer (Python) – HFT – NYC – WFH - Market Leading Compensation

Join a high-performing investment firm with a global footprint and a deeply collaborative culture, where you'll build the next generation of risk analytics infrastructure from the ground up.

We are hiring a Senior Python Developer to join a lean, high-impact Risk Technology team as an individual contributor. This is a newly created role due to increased project demand and the success of internally developed tools. You’ll work closely with risk managers and investment professionals to design and scale core systems that support portfolio-level risk attribution, exposure analytics, and performance reporting.

Key Responsibilities:
• Design, build, and optimize high-performance systems to process massive datasets for real-time and batch analytics.
• Developing front office tooling for Portfolio Managers and Traders
• Develop internal tools for risk attribution, PnL decomposition, and exposure reporting.
• Collaborate directly with risk managers and other stakeholders to translate requirements into scalable software systems.
• Maintain and evolve the infrastructure supporting firmwide risk reporting at the board and portfolio level.

Required Technical Skills:
• Deep Python and C++ expertise, particularly around performance optimization, memory management, and multi-threading.
• Strong foundation in data structures, algorithms, and memory models.
• Ideally, experience with Java, C++, or C# to complement lower-level computing knowledge.
• Demonstrated ability to solve complex technical problems from first principles (not reliant on ChatGPT or rote memorization).

Preferred Background:
• Experience from high-performance trading firms, quant shops, or HFTs (e.g., top-tier hedge funds or tech-driven trading firms).
• Strong CS fundamentals, with a track record of building complex, performant systems end-to-end.
• Background in technical competitions, open-source projects, or academic excellence in technical domains a strong plus.

Why Join?
• Work on mission-critical systems alongside a small, elite engineering team with high visibility across the firm.
• Enjoy the flexibility to shape the architecture and drive innovation from the ground up.
• Hybrid NYC-based model with optional access to satellite offices and a high degree of ownership.

If you’re a hands-on builder who thrives on complex technical challenges and wants to drive innovation in a flat, collaborative environment—apply now.",eyJqb2JfdGl0bGUiOiJGcm9udCBPZmZpY2UgUXVhbnRpdGF0aXZlIERldmVsb3BlciAoUHl0aG9uKSDigJMgSEZUIOKAkyBOWUMg4oCTIFdGSCAtIE1hcmtldCBMZWFkaW5nIENvbXBlbnNhdGlvbiIsImNvbXBhbnlfbmFtZSI6Ik1vbmRyaWFuIEFscGhhIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJYNVB1LWN3MXp5MHhMTE05QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,1 day ago,Full-time,,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Quantitative Developer (Early Career),Manifold Technologies LLC,"New York, NY",LinkedIn,https://serpapi.com/searches/685131683d870124b3dd03d3/images/4f898bd8939aff093ea4ea9b808ec8ffe3b4c06f85bf0304251073f6458b7199.jpeg,"['19 days ago', '150K–200K a year', 'Full-time', 'Health insurance']","About Us

Manifold Technologies is a quantitative trading firm building systems that curve with the market’s geometry. We don’t chase trends—we curve the field until structure reveals itself. Most systems collapse when curvature shifts. Ours adapts because it is built from within. Bayesian inference and differential geometry aren’t frameworks we borrow—they are the native language of our architecture.

We’re expanding our engineering core and seeking an exceptional early-career engineer to help implement, extend, and maintain the recursive infrastructure that powers our trading algorithms. You’ll work on real components in a system already shaped by the constraints of curvature and the realities of execution.

An ideal candidate has excelled in computer science or mathematics at a top-tier institution (e.g., Stanford, MIT, Berkeley, CMU), with a major GPA of 3.9 or higher. In addition, they’ll typically have one or more of the following: an exceptional placement in ICPC, Putnam, IOI, or IMO; a tier-1 quant internship (Jane Street, Citadel, HRT, etc.); or multiple internships at top tech firms in quantitatively rigorous roles. We assume strong programming ability and expect a solid foundation in linear algebra, probability, statistics, and machine learning.

Who You Are
• You’ve studied computer science, mathematics, or a related field at a top institution, and performed at the highest academic level
• You move comfortably between abstraction and implementation, and can reason through complexity without needing a predefined path
• You're a fluent programmer who can translate geometric or statistical insight into working systems
• You thrive in lean, fast-moving environments where ownership is implicit and structure emerges through iteration
• You’re not just technically sharp—you’re intellectually open. You want to see mathematics differently, and you’re ready to work on something that might reshape how you think

Responsibilities
• Take ownership of core engineering tasks, particularly those involving execution logic, inter-process communication, and exchange connectivity
• Work on concurrency-sensitive components, helping ensure the system remains robust under live market conditions and asynchronous inputs
• Contribute to the refinement and expansion of our internal mathematical infrastructure, translating geometric and statistical structures into clean, maintainable code
• Collaborate directly with the chief executive and senior quantitative researchers to align implementation with the system’s recursive foundation
• Operate within a live, evolving system, debugging, optimizing, and shaping components that matter under real-world pressure

Compensation

Base salary for this role ranges from $150,000 to $200,000, with a year-end performance bonus. The role also includes meaningful equity incentives designed to reward long-term impact and ownership. Additional benefits—such as health coverage, wellness stipends, or retirement contributions—may be offered depending on the final structure of the offer.

Manifold Technologies is an Equal Opportunity Employer.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIChFYXJseSBDYXJlZXIpIiwiY29tcGFueV9uYW1lIjoiTWFuaWZvbGQgVGVjaG5vbG9naWVzIExMQyIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiU2dYU2JRaDNHSF8wd0szUUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,19 days ago,Full-time,150K–200K a year,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Quantitative Developer (Python) - Tier 1 Fund - Discreet Search - Up to $400k TC,Mondrian Alpha,"New York, NY",LinkedIn,https://serpapi.com/searches/685131683d870124b3dd03d3/images/4f898bd8939aff0976400e0ef34172efe26f5141d2f40f55f3e3f5cf5681c8b1.jpeg,"['6 days ago', 'Full-time', 'No degree mentioned', 'Health insurance']","I am working with a leading global hedge fund who are seeking an elite Quantitative Developer to join their New York office.

My client is seeking a skilled Python Quantitative Developer to join their Quant Team and drive their new systematic platform to unparalleled heights.

As a member of this team, you will be working closely with existing quants to optimise and enhance their existing systematic trading platform, and work closely with systematic PMs on idea generation and construction of strategies that support their investment ideas.

You will be joining a highly prolific team in the firm, working alongside some of the brightest quants and engineers in the industry, and tasked with building out a new systematic trading platform that will service various systematic portfolio managers. You will report directly into the Head of Technology and have continuous exposure to and interaction with PMs, traders and senior management.

My client anticipates to pay a strong performer upwards of $400k year 1 total compensation package. As well as a market-leading compensation package, they offer exceptional benefits including a top-tier healthcare package, fully subsidised qualifications plus breakfast and lunch paid for each day.

To apply, either respond to this advert or send your CV directly to sasha.duquesne@mondrian-alpha.com.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIChQeXRob24pIC0gVGllciAxIEZ1bmQgLSBEaXNjcmVldCBTZWFyY2ggLSBVcCB0byAkNDAwayBUQyIsImNvbXBhbnlfbmFtZSI6Ik1vbmRyaWFuIEFscGhhIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJVcjVQVkZtRUl5RHJnV3VZQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,6 days ago,Full-time,,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Quantitative Developer - AI Implementation,WorldQuant,"New York, NY",LinkedIn,https://serpapi.com/searches/685131683d870124b3dd03d3/images/4f898bd8939aff091962d522804a4e311180d82069f04a9d6c06f0839db34e48.jpeg,"['5 days ago', '150K–200K a year', 'Full-time', 'Health insurance', 'Dental insurance', 'Paid time off']","WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets. We seek to produce high-quality predictive signals (alphas) through our proprietary research platform to employ financial strategies focused on market inefficiencies. Our teams work collaboratively to drive the production of alphas and financial strategies – the foundation of a balanced, global investment platform.

WorldQuant is built on a culture that pairs academic sensibility with accountability for results. Employees are encouraged to think openly about problems, balancing intellectualism and practicality. Excellent ideas come from anyone, anywhere. Employees are encouraged to challenge conventional thinking and possess an attitude of continuous improvement.

Our goal is to hire the best and the brightest. We value intellectual horsepower first and foremost, and people who demonstrate an outstanding talent. There is no roadmap to future success, so we need people who can help us build it.

The Role: WorldQuant offers an exciting opportunity for a Quantitative Strategist to join the Artificial Intelligence team. Reporting directly to the firm’s Head of AI, the individual will be part of a dynamic group of researchers. Together they enable the firm to implement AI at each layer of the investment process — from data to models to strategies and execution. The team has created a platform for the end-to-end optimization of all the modules used in trading.

On the AI team at WorldQuant, you will make a cross-functional impact and have the opportunity to:
• Build AI/ML/reinforcement learning/optimization models for investment selection, optimization, execution, and more
• Implement AI solutions throughout the firm via collaboration with portfolio management, risk, and other research teams
• Access the firm’s state-of-the-art data and hardware systems
• Develop the foundational software used for AI at WorldQuant

What You’ll Bring
• At least 2 years of experience training AI, ML, reinforcement learning, and related models -- in the technology, academia, or quantitative trading domains
• Hands-on experience building, testing and maintaining complex software systems
• Willingness to explain and defend employed models, their interpretation and business value to the team and stakeholders
• Experience developing AI/ML algorithms and infrastructure
• Excellent knowledge of Python, NumPy and Pandas
• Experience with at least one of: XGBoost, LightGBM, CatBoost, Tensorflow, PyTorch, MOSEK, CVXPY
• Graduate-level research experience in Artificial Intelligence or related field, including work published and/or accepted to major a conference is a plus.
• C++ knowledge is a plus

Our Benefits
• Core Benefits: Fully paid medical and dental insurance for employees and dependents, flexible spending account, 401(k), fully paid parental leave, generous PTO with unlimited sick days
• Perks: Employee discounts for gym memberships, wellness activities, healthy snacks, casual dress code
• Training: learning and development courses, speakers, team-building off-site
• Employee resource groups

WorldQuant is a total compensation organization where you will be eligible for a base salary, discretionary performance bonus, and benefits. The estimated salary range for this position is $150,000 to $200,000 which is specific to New York and may change in the future. When finalizing an offer we will take into consideration an individual’s experience compensation organization where you will be eligible for a base salary, discretionary performance level and the qualifications they bring to the role to formulate a competitive total compensation package.

By submitting this application, you acknowledge and consent to terms of the WorldQuant Privacy Policy. The privacy policy offers an explanation of how and why your data will be collected, how it will be used and disclosed, how it will be retained and secured, and what legal rights are associated with that data (including the rights of access, correction, and deletion). The policy also describes legal and contractual limitations on these rights. The specific rights and obligations of individuals living and working in different areas may vary by jurisdiction.

Copyright © 2025 WorldQuant, LLC. All Rights Reserved.

WorldQuant is an equal opportunity employer and does not discriminate in hiring on the basis of race, color, creed, religion, sex, sexual orientation or preference, age, marital status, citizenship, national origin, disability, military status, genetic predisposition or carrier status, or any other protected characteristic as established by applicable law.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIC0gQUkgSW1wbGVtZW50YXRpb24iLCJjb21wYW55X25hbWUiOiJXb3JsZFF1YW50IiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJaSWpIdmp5MVFkTGlvRThnQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,5 days ago,Full-time,150K–200K a year,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Software Developer: Generative AI,The D. E. Shaw Group,"New York, NY",The D. E. Shaw Group,,"['16 hours ago', 'Full-time']","At the D. E. Shaw group, technology is integral to virtually everything we do. We’re seeking exceptional software developers with expertise in generative AI (GAI) to join our team. As a software developer in GAI, you’ll work on innovative projects, leveraging your quantitative and programming skills to advance our GAI initiatives. By making GAI more accessible for both technical and non-technical users across the firm, you’ll drive substantial business impact.",eyJqb2JfdGl0bGUiOiJTb2Z0d2FyZSBEZXZlbG9wZXI6IEdlbmVyYXRpdmUgQUkiLCJjb21wYW55X25hbWUiOiJUaGUgRC4gRS4gU2hhdyBHcm91cCIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiaG5uY2U2T2dpc25Oa29takFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,16 hours ago,Full-time,,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Quantitative Developer,Matlen Silver,"Jersey City, NJ",Matlen Silver,,['11 days ago'],"Job Title: Quant Developer

Duration: 18 Month W2 Contract

Location: Jersey City
$60-$70/hour

Job Description:
The team is a central team of PS and Quant software engineers partnering with the LOB to onboard production processes onto GCP platform.
Project Management Controls and Automation. Provide transparency of deliveries with E2E project management, Change management, and JIRA tracking.
• Production Quality Software Development. Build a strategic high quality production ready codebase to meet longer term needs of our teams aligned to GRA vision.
• Central S/W Engineering Pool. Hire and develop central pool of S/W Engineering talent which can be shared across our teams.
• Data Loading Optimization for developers. Build production ready optimized data model in codebase to minimize data inconsistencies for Tech deployments.
• GCP Integration & Onboarding of our Models. Provide GCP onboarding of our processes and implement code for GCP platform where applicable.
• S/W development Governance and Control. Apply SDLC and CI/CD controls for software development complying with GRA S/W governance standards and measure performance via metrics.
• Required and Desired Candidate Qualifications Including# of Years Prior Experience Needed: Project management across multiple teams and multiple stakeholders
• Creating project documentation and reporting utilizing Tableau
• Degree in quantitative, mathematics, economics, engineering, finance, or physics discipline
• SAS/Python Programming
• Hadoop/HIVE/Jira development
• Software Engineering

Job Description:
The candidate will have the opportunity to learn the latest developments in Global Risk Analytics, interact with industry-leading subject matter experts, apply software engineering skills and development skills to meet business and regulatory requirements, and develop a career in this fast-paced and ever-changing world. This role demands a highly technical skillset, including analytical, Database programming, organizational, communication, and functional documentation capabilities. This role will provide Business Analysis and project support for multiple projects for Global Risk Analytics/ SERA

Position Overview:
Responsible for independently performing Business analysis, Data analysis and providing the relevant materials. Strong DB programming , technical documentation, flow chart creation and basic project management skills are required. Participates in projects which are building out strategic model development infrastructure. Creates documentation for all activities and may work with technology staff in design of any system to run models developed. Incumbents possess excellent analytical and documentation skills and are able to influence strategic direction and develop delivery plans.
Candidate Requirements (Including Years): Required Skills and Experience:
Graduate degree in quantitative or STEM discipline (e.g. Mathematics, Economics, Engineering, Finance, Physics)
5+ experience in DB programming on DBs like Oracle, HIVE, Hadoop/HIVE, etc.
5+ years’ experience in creating flow charts and senior leadership presentations using Excel. Visio, Power Point
5+ years’ experience in performing data analysis and preparing presentation materials for the Analysis
5+ years’ experience in working with JIRA and Git and have experience running Scrum calls
3+ years’ experience in writing technical documentation and functional specs for software implementation
Strong analytical and problem-solving skills
Strategic thinker with strong verbal and written communications
Strong data analysis and data reporting skills required

Desired Skills and Experience:
• Experience with data structure design and data structure administration

About Matlen Silver

Experience Matters. Let your experience be driven by our experience. For more than 40 years, Matlen Silver has delivered solutions for complex talent and technology needs to Fortune 500 companies and industry leaders. Led by hard work, honesty, and a trusted team of experts, we can say that Matlen Silver technology has created a solutions experience and legacy of success that is the difference in the way the world works.

Matlen Silver is an Equal Opportunity Employer and considers all applicants for all positions without regard to race, color, religion, gender, national origin, age, sexual orientation, veteran status, the presence of a non-job-related medical condition or disability, or any other legally protected status.

If you are a person with a disability needing assistance with the application or at any point in the hiring process, please contact us at email and/or phone at: info@matlensilver.com // 908-393-8600",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIiwiY29tcGFueV9uYW1lIjoiTWF0bGVuIFNpbHZlciIsImFkZHJlc3NfY2l0eSI6IkplcnNleSBDaXR5LCBOSiIsImh0aWRvY2lkIjoiYjg2UEEwaXdaelZtLW5zU0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,11 days ago,,,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Central Risk Services | Quantitative Developer,Citadel,"New York, NY",Built In NYC,https://serpapi.com/searches/685131683d870124b3dd03d3/images/4f898bd8939aff093cf056f462fde3308264b5724d1330cf859ac0034feddc58.png,"['4 days ago', '150K–300K a year', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance']","Job Description
Title: Quantitative Developer
Business: Central Risk Services
Location: New York or London
Citadel is focused on continuously advancing its technology platform to maintain and expand its competitive advantage. We are looking for engineers to contribute to a unified risk platform that spans businesses and asset classes, enabling greater flexibility and improving efficiency across the firm.
Primary Responsibilities
• Use creative problem solving to build scalable, robust systems that work seamlessly across all asset classes.
• Work in a team environment that closely integrates trading, quantitative research, and technology.
• Design and develop a world-class next-generation risk analytics platform.
• Work on large-scale financial data problems, in a fast-paced, entrepreneurial, and highly collaborative team.
• Evaluate and select technology solutions that will directly impact Traders, Portfolio Managers, and Leadership.

Qualifications
• Expertise in engineering platform solutions using Java and C++ or Python on systems of considerable scale and complexity.
• Strong computer science fundamentals and deep software development experience in Java and C++ or Python.
• Exposure to real-time financial data management and analytics systems.
• Experience working on pricing & risk of vanilla and OTC products.
• Demonstrated ability to collaborate effectively with quantitative researchers or traders to understand their needs and design and engineer scalable, robust solutions.

In accordance with applicable law, the base salary range for this role is $150,000 to $300,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.
About Citadel
Citadel is one of the world's leading alternative investment managers. We manage capital on behalf of many of the world's preeminent private, public and nonprofit institutions. We seek the highest and best use of investor capital in order to deliver market leading results and contribute to broader economic growth. For over 30 years, Citadel has cultivated a culture of learning and collaboration among some of the most talented and accomplished investment professionals, researchers and engineers in the world. Our colleagues are empowered to test their ideas and develop commercial solutions that accelerate their growth and drive real impact.",eyJqb2JfdGl0bGUiOiJDZW50cmFsIFJpc2sgU2VydmljZXMgfCBRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIiwiY29tcGFueV9uYW1lIjoiQ2l0YWRlbCIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoicWVFcHlHZ3M5NDBGajRNd0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,4 days ago,Full-time,150K–300K a year,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Quantitative Developer -  AI Implementation,WorldQuant,"New York, NY",Towards AI Jobs,https://serpapi.com/searches/685131683d870124b3dd03d3/images/4f898bd8939aff092dcd7df98bd2857786bc09bf7adde100f8db7cadd9c44ddb.jpeg,"['5 days ago', 'Full-time']","WorldQuant offers an opportunity for a Quantitative Strategist to join their Artificial Intelligence team. The role involves collaborating with researchers to implement AI throughout the investment process, enhancing data management, model creation, and strategy execution. Team members work on building AI, machine learning, and optimization models, driving innovations in investment selection and execution. The firm emphasizes a culture of intellectual challenge and continuous improvement in tackling financial market inefficiencies.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIC0gIEFJIEltcGxlbWVudGF0aW9uIiwiY29tcGFueV9uYW1lIjoiV29ybGRRdWFudCIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiTko1QzZTeDVRc0Vtcm0taEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,5 days ago,Full-time,,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
Quantitative Developer (Affiliated Trading),Kalshi,"New York, NY",Built In,https://serpapi.com/searches/685131683d870124b3dd03d3/images/4f898bd8939aff09b7d55f2f8cc9fbcdedfa26da206a0e4f5635986bbe20ee74.jpeg,"['7 days ago', '60K–120K a year', 'Full-time', 'No degree mentioned']","Kalshi is defining a new category

Kalshi has defined a new category: prediction markets. Kalshi allows people to trade on the outcome of any events and turn any question about the future into a financial asset. Kalshi fought for years and legalized prediction markets in the US for the first time in history. Kalshi is currently the fastest growing financial market in America, and has thousands of markets across politics, economics, financials, weather, tech, AI, culture and more.

We believe prediction markets have the potential to be the largest financial market because they turn anything into a financial position.
• Our vision: well… build the largest financial market on the planet.
• Our mission: bring more truth to the world through the power of markets.

Building a new category is hard… like really hard. But it’s beautiful and deeply fulfilling. Our culture is simple: we hire really talented people, work really hard, and enjoy the climb. We are looking for ambitious and exceptional people to join our (relatively small) team to help us build the next generation of financial markets.
Role Roadmap

Kalshi Trading is the market-making arm of Kalshi. It aims to provide liquidity to all the markets in the Kalshi Exchange, as well as price them efficiently. As an Engineer, you will be responsible for planning, building and maintaining autonomous systems that execute and support our market making strategies on the Kalshi Exchange. We are looking for someone with 3-7 years of experience building distributed and performance engineering systems as well as a strong understanding of theoretical trading system design. We're scaling, which means your role will evolve and grow with the company; your initial attack threads include:
• Deal with large betting and sports datasets
• Building sports forecasting models using game data
• Using bookmaker odds data in conjunction with original modeling to generate prices
• Programming ability required (Python, R, or similar languages for statistical modeling)
• Experience working in the sports or betting industries preferred
• Building autonomous systems that will dynamically allocate liquidity on the Kalshi Exchange, based on the outputs from the forecasting models and algorithms
• Working on performance and ensuring the systems are operating reliably and with low latency
• Retrieving, organizing, storing and exposing data from the Kalshi Exchange as well as from a variety of external data sources
• Working with the research team to implement the forecasting models and algorithms they develop in scalable and efficient ways
• Maintaining an organized record of all of the trades executed by the market maker

The rest of what the role looks like is up to you - a big part of our approach is that you get to chart your path as we grow and evolve. You will have a lot of influence in shaping what both your role and the activity of Kalshi Trading look like as we grow. There's a lot of green field to conquer, we trust that you'll make a lot of it your own :)
Our Culture

Meritocracy is at our core, and we value people who take ownership and figure (usually hard) things out. We dream big. We love our craft deeply and are proud of what we put out in the world. We are committed to our vision of building something big… but also useful: a product that brings more truth through the power of markets.

Kalshians are Kalshi’s most important asset: we pick Kalshians carefully, so we trust them fully on day 1.

Commitment to Equal Opportunity

Kalshi is committed to creating a culture of inclusion and belonging, and we are proud to be an equal opportunity employer. We believe it is our collective responsibility to uphold these values and encourage candidates from all backgrounds to join us in our mission. All qualified applicants will be treated with respect and receive equal consideration for employment without regard to race, color, creed, religion, sex, gender identity, sexual orientation, national origin, disability, uniform service, veteran status, age, or any other protected characteristic per federal, state, or local law. If you are passionate about what you do and want to use your talents to support our mission and values, we’d love to hear from you.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIChBZmZpbGlhdGVkIFRyYWRpbmcpIiwiY29tcGFueV9uYW1lIjoiS2Fsc2hpIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJMQmRBQVVMZHlfMDRHMG0zQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,7 days ago,Full-time,60K–120K a year,2025-06-17 11:12:09.911774,Quantitative Software Engineer,"New York, United States",,,,,,,
