title,company_name,location,via,thumbnail,extensions,description,job_id,posted_at,salary,schedule_type,date_time,search_term,search_location,work_from_home
"Junior Quant Trader | Manhattan, NY, USA | In-Office",Selby Jennings,"New York, NY",EFinancialCareers,https://serpapi.com/searches/68512eda1f758a11331b85e8/images/ffea3b62f792a49cb4fd1d730d4332c74682bee16894cfc260947eb7e3b1253b.png,"['6 days ago', '200K–300K a year', 'Full-time']","Our NYC based client is seeking a Junior Quantitative Trader to join their tight-knit and collaborate team. Their main focus is in high frequency & short-term systematic strategies, trading liquid products globally. This firm is known for technology innovation, and improving the efficiency of global markets. Their vision is ambitious and by joining this team you will be able to make an impact on the business from day one.

You will have the opportunity to collaborate closely with the team of traders, developers, and engineers; contributing to the generation of new trading ideas and assisting in the management of existing trades. They are seeking someone with an entrepreneurial mindset & passion for trading, who is ready to step into a fast-paced, evolving environment.

You'd be responsible for:
• Research and development of systematic trading strategies
• Conduct data analysis
• Generate alpha signals
• Work with software engineers to productionize trades
• Collaborate with senior members of the team, across different trading desks.

Requirements:
• Bachelor or Masters in a quantitative field from a top university (computer science or mathematics preferred)
• 1-3 years of experience within trading or relevant quantitative role (research, strategist, analyst, etc.)
• Passionate about trading & financial markets
• Looking for a startup environment/culture
• Adaptable and a good communicator
• Proficiency in Python and/or C++",eyJqb2JfdGl0bGUiOiJKdW5pb3IgUXVhbnQgVHJhZGVyIHwgTWFuaGF0dGFuLCBOWSwgVVNBIHwgSW4tT2ZmaWNlIiwiY29tcGFueV9uYW1lIjoiU2VsYnkgSmVubmluZ3MiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6IjZ2aHYtUmpvZWUweXlMLTVBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,6 days ago,200K–300K a year,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
Quantitative Analyst,The D. E. Shaw Group,"New York, NY",The D. E. Shaw Group,,"['19 hours ago', 'Full-time']","Quants at the D. E. Shaw group apply mathematical techniques and write software to develop, analyze, and implement statistical models for our computerized financial trading strategies. They utilize their creativity and innovation to create novel approaches to trade profitably in markets around the globe with a firm that offers an inclusive, collaborative, and engaging working environment.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlRoZSBELiBFLiBTaGF3IEdyb3VwIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJ6QnYzbmVjZzZub2JkenNXQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,19 hours ago,,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
Associate - Equity Financing Quantitative Trader,BNP Paribas Corporate & Institutional Banking,"New York, NY",Groupe BNP Paribas,https://serpapi.com/searches/68512eda1f758a11331b85e8/images/ffea3b62f792a49c02d4d83f910dd908a9183b0a9a9f3e7eda06135ca57835dc.jpeg,"['13 days ago', 'Full-time']","BNP Paribas Securities Corp.

Job Title: Associate - Equity Financing Quantitative Trader

Location: 787 7th Avenue, New York 10019

Duties: Price products and actively take risk on derivatives and stock loan products on ETFs and Canada market. Assess, check and hedge all risks related to the trading book: delta, FX, financing, and interest rate. Identify trading opportunities and actively communicate with the sales team. Track completion and hit ratio. Enhance our Python Library by coding new trading strategies, new position optimizers and additional analytics. Liaise with Quantitative Research on upgrade of pricing methodology for ETFs (FX, credit and interest rate pricing). Work closely with Operations, Tax/Legal and technology to ensure trades are appropriately serviced. Monitor and optimize Basle IV liquidity indicators and balance sheet consumption.

SALARY: $150,000 - $175,000/ year

Work Schedule: 9am to 5pm, 40 hours a week. (Monday – Friday)

Job Requirements: Master's degree (U.S. or Foreign Equivalent) in Computational Finance, Statistics, Mathematics or related field and three (3) years of experience in offered or related role(s). Must have 3 years of experience with the following: Delta One, Prime Brokerage, or Equity Quantitative Research; Designing and developing quantitative trading strategies and models; analyzing financial market data to identify trends and insights; developing solutions and processes to reduce operational risk, increase profitability and reduce time spent on trading systems; and evaluating P&L movement, assessing risk estimations, and reviewing computations.

BNP Paribas is committed to providing a work environment that fosters diversity, inclusion, and equal employment opportunity without regard to race, color, gender, age, creed, sex, religion, national origin, disability (physical or mental), marital status, citizenship, ancestry, sexual orientation, gender identity and gender expression, or any other legally protected status.

Protect yourself from fraudulent job postings. Emails about jobs at BNP Paribas will always come from addresses ending @bnpparibas.com, @us.bnpparibas.com, @ca.bnpparibas.com, or @br.bnpparibas.com. You should be suspicious of emails regarding employment with BNP Paribas coming from any other domains and should not respond. BNP Paribas will never send payments to or request payments from candidates for positions posted by BNP Paribas.",eyJqb2JfdGl0bGUiOiJBc3NvY2lhdGUgLSBFcXVpdHkgRmluYW5jaW5nIFF1YW50aXRhdGl2ZSBUcmFkZXIiLCJjb21wYW55X25hbWUiOiJCTlAgUGFyaWJhcyBDb3Jwb3JhdGUgXHUwMDI2IEluc3RpdHV0aW9uYWwgQmFua2luZyIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoic1QzMmtQUWdtZ3JmSGt4UUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,13 days ago,,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
Quantitative Trading  - 2025 University Graduate (US),Citadel Securities,"New York, NY",Built In NYC,https://serpapi.com/searches/68512eda1f758a11331b85e8/images/ffea3b62f792a49c57c183afcab35ff8e9b8b73976c2788d940865f7225110c5.png,"['10 days ago', '225K–300K a year', 'Full-time', 'Dental insurance', 'Health insurance']","Job Description
At Citadel Securities, our traders make complex risk decisions and execute trades at scale, in real-time. As a markets and trading expert, you'll use predictive analytics and advanced technology to monitor risk, respond to market signals and execute trading strategies across Options, ETFs, Equities, Fixed Income, Commodities and Currencies.
Your Objectives:
• Develop in-depth knowledge of a financial market
• Apply advanced statistical techniques to trading
• Constantly learn and adapt trading approaches
• Innovate by using one of the industry's most powerful trading platforms

Your Skills & Talents:
• Bachelor's, master's or PhD in applied math, engineering, statistical modeling, calculus, computer science, physics or related disciplines required
• Ability to think about the world systematically and quantitatively, as well as the ability to deal with uncertainty in a rigorous and statistical approach
• Interest in applying technology and/or quantitative skills to solve complex trading problems
• Passion for the markets and a desire to seize investment opportunities
• Experience with programming, scripting, and/or statistical software strongly preferred

Opportunities available in Miami, New York.
In accordance with applicable law, the base salary range for this role is $225,000 to $300,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.
About Citadel Securities
Citadel Securities is the next-generation capital markets firm and a leading global market maker. We provide institutional and retail investors with the liquidity they need to trade a broad array of equity and fixed income products in any market condition. The brightest minds in finance, science and technology use powerful, advanced analytics to solve the market's most critical challenges, turning big ideas into real-world outcomes.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgVHJhZGluZyAgLSAyMDI1IFVuaXZlcnNpdHkgR3JhZHVhdGUgKFVTKSIsImNvbXBhbnlfbmFtZSI6IkNpdGFkZWwgU2VjdXJpdGllcyIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiOFZaRjVWWEx3djJEVzBQNEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,10 days ago,225K–300K a year,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
Quantitative Options Trader,Blocktech,"New York, NY",ZipRecruiter,https://serpapi.com/searches/68512eda1f758a11331b85e8/images/ffea3b62f792a49c744f8f88d5c88035fd52747f73479e9217dd141a0de3e896.jpeg,"['11 days ago', 'Full-time']","Who are we looking for?

BlockTech is a fast-paced algorithmic trading firm facilitating global cryptocurrency trading while expanding into regulated markets. As we continue to grow rapidly, we are looking for a Quantitative Options Trader to join us amid our exciting scale-up phase!

What will you do?

As a Quantitative Trader in the New York office, you will be part of our brand new division, focused on trading options in the S&P 500 complex. As part of a pioneering team, we are looking for highly innovative traders who are interested and skilled in defining and fine-tuning new trading strategies and algorithms, as much as they are in operating them.

After receiving extensive training in our Amsterdam office, you will ensure our automated trading systems run smoothly in the US markets

Your responsibilities will include, but are not limited to:
• Managing trading positions
• Develop and test new strategies
• Interpreting market flow and events
• Evaluating trading performance
• Fine-tuning automated trading algorithms
• Design trading tools

You will become an expert in trading and know when and how to assist the trading system in capturing opportunities when necessary. Beyond the responsibilities listed above, you will actively collaborate with quantitative developers, software engineers, and data scientists to enhance our current trading setup and weigh in on the priorities of new projects.

At BlockTech, you will take on a lot of responsibility, with the freedom to chart your course to innovative solutions!

What is in it for you?
• A full-time position in a relaxed and modern office in New York
• Competitive compensation consisting of a base salary combined with a very attractive bonus plan based on individual and company performance
• Outstanding performance is rewarded with the opportunity to buy into the trading fund
• Extensive in-house training program + an annual Learning & Development budget
• Highly collaborative and experienced Scrum/Agile team across the globe
• The opportunity to work at the forefront of automated trading, using state-of-the-art technology
• Breakfast, warm lunch, snacks and drinks are provided throughout the day.
• Reimbursement of your gym membership and/or other sports activities

Our culture

At our core, we are a team of passionate trading and tech enthusiasts committed to revolutionizing trading through automation. Our collaborative approach ensures that everyone contributes to achieving our ambitious goals.

In this role, you will be both challenged and stretched, with ample opportunities for growth and development, both within and beyond your main responsibilities.

We invest in our people by offering competitive compensation and benefits, fostering innovation, and celebrating success. Our commitment to personal development transcends traditional norms; we provide an equal playing field, promote reverse leadership, and offer boundless growth opportunities for all our employees.

Join us to unlock your potential and drive innovation in the exciting world of algorithmic trading.
• Relevant professional work experience as a Quantitative Options Trader
• An academic degree in Econometrics, Mathematics, Physics, or another quantitative field
• Strong numerical skills
• Programming experience in Python
• Proven versatility and ability to pick up new technologies and learn systems quickly
• A positive can-do attitude and a creative mind
• A sincere interest in financial markets
• Willingness to commit long-term
• Fluency in English (written and verbal)",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgT3B0aW9ucyBUcmFkZXIiLCJjb21wYW55X25hbWUiOiJCbG9ja3RlY2giLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6IlcxOVZ5OC1Ka0gtYlVNbnRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,11 days ago,,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
Quantitative Trader /Strategist - High Frequency trading,Aquis Search,"New York, NY",LinkedIn,https://serpapi.com/searches/68512eda1f758a11331b85e8/images/ffea3b62f792a49cab8448264d08988264bc0c0c48bd436cbee328414869cf12.jpeg,"['14 days ago', 'Full-time', 'No degree mentioned']","Quant Strategist / Trader – US Markets | New York

Build strategies. Drive alpha. Create your own desk.

I’m hiring on behalf of a leading high-frequency trading firm that’s expanding into the US markets and looking for exceptional Quant Traders / Strategists to join their growing team in New York.

You’ll have two options:

🔹 Join an established team led by a successful Portfolio Manager, contributing to alpha research and execution strategies.

🔹 Or, build your own independent desk with full autonomy, infrastructure support, and a proven path to scale.

What we’re looking for:
• 2+ years of experience trading US markets (equities, futures, ETFs, etc.)
• A solid track record in alpha research, signal generation, or predictive modeling
• Strong C++ development skills for real-time implementation
• Background in math, physics, computer science, or a related quantitative field
• Bonus: We're open to candidates from academia or tech with experience in building predictive models (e.g., recommendation engines, time series prediction)

For experienced traders with a profitable track record, this is a rare chance to spin up your own strategies within a highly capitalized and tech-driven platform — no bureaucracy, just results.

Why this firm?
• Elite quant + tech culture
• Real PnL ownership and meaningful upside
• Flat, collaborative team with global reach
• You’ll be backed by 15+ years of success in Asia and now scaling rapidly across new markets

Location: New York

If you’re curious or know someone exceptional, feel free to reach out confidentially to discuss more.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgVHJhZGVyIC9TdHJhdGVnaXN0IC0gSGlnaCBGcmVxdWVuY3kgdHJhZGluZyIsImNvbXBhbnlfbmFtZSI6IkFxdWlzIFNlYXJjaCIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiTmVFcmJOenVBbmxLUnFhcEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,14 days ago,,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
Quantitative Researcher/Trader - ETFs,Tardis Group,"New York, NY",Experteer,,"['3 days ago', '78,740–98,424 a year', 'Full-time']","Quantitative Researcher/Trader - ETFs
Company Description:

We are partnered with a systematic trading firm (intraday to multi day holding periods) distinct from larger, more traditional names, as they seek to expand their presence in the ETF market.

My client is uniquely positioned with the ability to trade ETFs across both their proprietary and hedge fund platforms.
Role Description:

The strategy is currently small but is a core focus for growth and investment.

In regard to how they view this opportunity, they’re inclined to adopt a portfolio-driven approach, rather than high-speed market-making or creation/redemption strategies.

This opportunity offers significant growth potential for an experienced professional.
Qualifications:
• An advanced degree in a STEM discipline.
• 6+ years of alpha generation experience in ETFs at a reputable firm within the ETF space.
• Experience trading ETFs from a portfolio-driven approach vs creation/redemption or high-speed MM strategies.
• Equities ETF experience preferred over Fixed Income/other products.

Locations: New York, London, or Remote.
• Please note that we will not respond and share information with applicants that we deem unsuitable for the position.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlci9UcmFkZXIgLSBFVEZzIiwiY29tcGFueV9uYW1lIjoiVGFyZGlzIEdyb3VwIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJLcTVyVTRYWkVKeTVZa0Z4QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,3 days ago,"78,740–98,424 a year",Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
Quantitative Systematic Trader – Master's: 2025,Susquehanna International Group,"New York, NY",LinkedIn,https://serpapi.com/searches/68512eda1f758a11331b85e8/images/ffea3b62f792a49c40af1c900f71bdac9c8a3df13fc745d582717dc0e2954c8e.jpeg,"['11 days ago', 'Full-time', 'Health insurance']","Overview

We’re looking for quant-minded strategists who value the power of interdisciplinary knowledge and cooperative thinking. Our Quantitative Systematic Traders combine the skills of quantitative research with the knowledge of trading to develop new electronic strategies and monitor real-time performance. As a true hybrid of our core disciplines, Quantitative Systematic Traders are constantly communicating and connecting ideas between trading, technology, and quantitative research.

The general life cycle of a quant project begins with an idea:
• This idea can come from anyone: you, the mentor who sits beside you, or someone you meet in the cafeteria.
• As a Quantitative Systematic Trader, you will investigate that idea by immersing yourself in market data, leveraging tools in mathematics, statistics, and programming.
• Through your research, you may discover a new pattern that can transform into a trading signal.
• To assess the strength of that trading signal, you will run it through our backtesting environment and carefully analyze its performance.
• If that signal produces profitable results, you will work side-by-side with technologists and put it into production.
• Once that signal is embedded in our electronic trading strategies, you will actively monitor its real-time performance in the financial markets.
• As your trading strategy evolves, you will discuss with other researchers, strategists, and traders to collect feedback and brainstorm new ideas.
• Some of those ideas will turn into new quant projects, and the life cycle starts all over again.

We have a comprehensive orientation program designed to bridge the gap between academia and industry. Education topics include an introduction to options pricing, exposure to our proprietary data sets, and opportunities to practice data analysis techniques. Beyond orientation, our trading floor serves as an unlimited source of discussion for learning and development.

What We're Looking For
• Master's degree in a quantitative field such as Mathematics, Physics, Statistics, Electrical Engineering, Computer Science, Operations Research, or Economics
• Solid, analytical problem-solving skills
• Excellent logical reasoning
• Strong communication skills in a fast-paced and/or highly collaborative environment are essential
• Experience writing code to process and analyze large sets of data, especially in Python
• Experience in C++ or other low level programming languages is a plus
• Demonstrated interest in strategic games and/or competitive activities
• Ability to thrive in a fast-paced environment

By applying to this role, you will be automatically considered for the Quantitative Researcher position. There is no need to apply to both positions in order to be considered for both.

Visa sponsorship is available for this position.

The annual base pay range for this role is $250,000 + discretionary bonus + benefits. Susquehanna considers factors such as scope and responsibilities of the position, work experience, education/training, key skills, as well as market and organizational considerations when extending an offer.

If you're a recruiting agency and want to partner with us, please reach out to recruiting@sig.com . Any resume or referral submitted in the absence of a signed agreement will not be eligible for an agency fee.

FT24",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgU3lzdGVtYXRpYyBUcmFkZXIg4oCTIE1hc3RlcidzOiAyMDI1IiwiY29tcGFueV9uYW1lIjoiU3VzcXVlaGFubmEgSW50ZXJuYXRpb25hbCBHcm91cCIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrLCBOWSIsImh0aWRvY2lkIjoiT0xvMUx0TlIxQ0tkc3FhbEFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,11 days ago,,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
Equity Quantitative Research | Equity Model Research | Quantitative Researcher,Citadel,"New York, NY",Citadel,https://serpapi.com/searches/68512eda1f758a11331b85e8/images/ffea3b62f792a49c046945015787097e8adaa25f871f5a2ac3e58b60ecfc1c3c.png,"['1 day ago', 'Full-time', 'Dental insurance', 'Health insurance']","Business: Equity Quantitative Research (EQR)

Title: Quantitative Researcher, Equity Model Research (EMR)

Location: New York

About Citadel
Citadel is one of the world’s leading alternative investment managers. We manage capital on behalf of many of the world’s preeminent private, public and nonprofit institutions. We seek the highest and best use of investor capital in order to deliver market leading results and contribute to broader economic growth. For over 30 years, Citadel has cultivated a culture of learning and collaboration among some of the most talented and accomplished investment professionals, researchers and engineers in the world. Our colleagues are empowered to test their ideas and develop commercial solutions that accelerate their growth and drive real impact.

About Equity Quantitative Research
Equity Quantitative Research (EQR) sits at the intersection of fundamental investment approach and quantitative rigor and discipline. Teams of quantitative researchers and developers work together to build and scale one of the largest equities portfolios in the market by optimizing various aspects of the investment, risk management, portfolio construction, and trade execution lifecycle. EQR’s teams are small and highly collaborative – each member makes meaningful contributions to the research agenda and direction, and has visible impact in Citadel’s investments.

Equity Model Research
The Equity Model Research team (EMR) is responsible for the tools and analytics required for portfolio construction, risk management, and hedging of Citadel's equities portfolios. The customized risk models and hedging framework developed by EMR are central to Citadel's ability to manage our business and provide a competitive advantage to our investment teams.

Responsibilities
• Research portfolio construction and optimization in the context of large complex equity portfolios
• Apply cutting edge computational techniques and statistical methods to solve complex problems
• Build proprietary risk models for both fundamental and quant equity long-short strategies
• Develop econometric and mathematical models to define stress scenarios and estimate the statistical properties of drawdowns
• Leverage economic models and financial analysis to define fundamental factors driving the cross-section of stock returns
• Engage with a variety engineering and research teams to implement analytics in production
• Work closely with Portfolio Managers and Risk Managers to understand and incorporate risk metrics and methodologies within the investment process
• Stay up to date on the latest academic and industry research and challenge yourself to continually improve and challenge the way things are done
• Explore new and alternative data sources while developing a deep understanding of financial markets

Requirements
• Bachelors, Masters, or Ph.D. in Statistics, Mathematics, Operations Research, Economics or a related field
• Advanced training in Statistics, Mathematics, Finance/Financial Engineering or a related field
• Strong mathematical and/or statistical modeling background
• Demonstrated empirical skill; comfortable with analysis of large datasets
• Intellectual curiosity and passion for solving investment problems through the use of technology and fundamentals
• Demonstrated interest in or knowledge of investments, including asset pricing, empirical anomalies and market microstructure
• Previous exposure to a quantitative research role with exposure to equity factor models preferred
• Experience using statistical packages (e.g. Matlab, R) and experience with programming & scripting languages (e.g. Python, C/C++)

In accordance with applicable law, the base salary range for this role is $175,000 to $300,000.
In addition, the employee who fills this role will be eligible to participate in a discretionary incentive compensation program,
as well as a wide array of benefit programs, such as medical and life insurance, retirement and tax-free savings plans,
and access to other healthcare programs.",eyJqb2JfdGl0bGUiOiJFcXVpdHkgUXVhbnRpdGF0aXZlIFJlc2VhcmNoIHwgRXF1aXR5IE1vZGVsIFJlc2VhcmNoIHwgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIiLCJjb21wYW55X25hbWUiOiJDaXRhZGVsIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJZOVRZNzJ4QmpPSmdVWVh1QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,1 day ago,,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
ETF Quantitative Researcher/Trader,Alexander Chapman,"New York, NY",LinkedIn,https://serpapi.com/searches/68512eda1f758a11331b85e8/images/ffea3b62f792a49c54651e5ac1927821c9796c9657ce9b4e1e05ab5b87d303eb.jpeg,"['5 days ago', 'Full-time', 'No degree mentioned']","🔍 ETF Quantitative Researcher/Trader – New York | Leading Quant Hedge Fund 🔍

I'm partnering with a top-tier systematic hedge fund seeking an ETF Quantitative Researcher/Trader to join their New York team. This is an opportunity to design, implement, and trade systematic ETF strategies with full autonomy, leveraging institutional-grade infrastructure and significant capital allocation.

Why this role stands out:
• Build and manage systematic ETF strategies within a highly quantitative and research-driven environment
• Access to extensive datasets, advanced research tools, and low-latency execution systems
• Collaborate with top-tier quants, data scientists, and engineers in a performance-focused, low-politics culture
• Competitive payout structure with scalability and deep capital support
• Ideal candidate profile:

🔹 Proven track record in designing and executing systematic ETF strategies, with clear alpha generation

🔹 Expertise in portfolio construction, liquidity analysis, and risk management within ETF markets

🔹 Strong quantitative skills and programming experience (e.g., Python, R, C++, or equivalent)

🔹 Deep understanding of market microstructure, basket optimization, and ETF arbitrage opportunities

🔹 Bonus: experience with high-frequency trading, alternative data, or machine learning for signal enhancement

If you are currently managing ETF strategies or have deployable IP ready for scale, I’d be happy to connect.",eyJqb2JfdGl0bGUiOiJFVEYgUXVhbnRpdGF0aXZlIFJlc2VhcmNoZXIvVHJhZGVyIiwiY29tcGFueV9uYW1lIjoiQWxleGFuZGVyIENoYXBtYW4iLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6ImJLbjZDQ1o2MFV2QVRxcHVBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,5 days ago,,Full-time,2025-06-17 11:08:02.136450,Quantitative Trader,"New York, United States",
