Geography,Views,Average view duration,Watch time (hours)
Total,32479,0:03:54,2114.3768
US,6095,0:04:25,450.0582
IN,4401,0:02:56,215.7152
GB,1917,0:05:11,166.0105
DE,1110,0:04:30,83.403
CA,859,0:03:46,54.0638
AU,710,0:04:25,52.3481
FR,684,0:03:44,42.7395
IT,378,0:03:46,23.7543
NL,377,0:03:36,22.6267
ZA,351,0:03:30,20.5594
BR,274,0:03:38,16.6177
PL,229,0:01:45,6.6793
CH,226,0:04:35,17.2805
SG,221,0:04:00,14.7541
HK,201,0:03:07,10.4439
MX,176,0:03:19,9.7773
ID,159,0:04:05,10.8452
VN,145,0:02:32,6.1232
ES,134,0:03:38,8.1218
TR,129,0:04:54,10.5657
KE,90,0:05:55,8.8991
TH,69,0:03:02,3.4927
NO,60,0:05:05,5.0834
KR,54,0:03:30,3.1606
SE,50,0:04:40,3.8921
BE,46,0:04:22,3.3488
DK,42,0:05:21,3.7486
JP,39,0:06:01,3.9196
MY,37,0:02:04,1.2842
NG,37,0:02:33,1.5792
CL,30,0:00:41,0.3428
TW,22,0:01:49,0.6679
GR,20,0:01:17,0.4305
IL,16,0:04:02,1.0795
LK,15,0:08:49,2.2078
LV,15,0:03:20,0.8346
LT,13,0:11:33,2.5035
CO,12,0:03:52,0.7749
CZ,12,0:07:08,1.4269
IE,11,0:03:12,0.5876
AT,10,0:09:04,1.5122
DZ,10,0:09:14,1.5397
EG,10,0:04:55,0.8213
RO,10,0:02:37,0.438
RS,10,0:01:05,0.1808
PR,0,,0
UA,0,,0
